TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-14 17:40:12.357,0.6343817,0.85890466,0.2807325,0.4771534,0.4169677,0.86306417,0.027260179,0.23382711,0.61265534,0.8754515,0.24937965,0.56981236,0.01575203,0.3443705,-0.055702157,0.39217773,-0.10221451,-0.4213759,-0.4660907,-0.011226795
2024-02-14 17:40:12.890,0.6121486,0.9352193,0.111524075,0.46494603,-0.10990993,0.9495921,-0.13786262,0.1748124,0.3506479,0.8699427,0.16172081,0.6344468,0.15958966,0.46519864,-0.028424947,0.37753463,-0.15306361,-0.3359356,-0.4502803,-0.017808422
2024-02-14 17:40:13.424,0.52473265,0.9352193,0.19808407,0.3331527,-0.14371632,0.9495921,-0.122881286,0.14942484,0.5099243,0.8699427,0.10187865,0.6001341,0.26889986,0.46519864,0.047144573,0.37383166,-0.12511109,-0.3359356,-0.543409,-0.021279346
2024-02-14 17:40:13.950,0.53906333,0.9352193,0.57575077,0.31986699,-0.13855204,0.9495921,0.37411457,-0.028172405,0.49581137,0.8699427,0.44486535,0.41285184,0.29722527,0.46519864,0.120177045,0.45992774,-0.10487489,-0.3359356,-0.35559765,-0.027941702
2024-02-14 17:40:14.470,0.35174772,1.3388932,0.67165434,0.259738,-0.1468167,0.6086251,0.36183223,-0.025263596,0.48162356,0.7697092,0.44535175,0.38825512,0.440625,0.36044806,0.08404567,0.5238619,-0.052936338,-0.08324796,-0.33649063,0.00040295997
2024-02-14 17:40:14.993,0.21069252,1.2258521,0.6361094,0.259738,-0.01030532,0.5076117,0.33957207,-0.025263596,0.57091004,0.7697092,0.4471616,0.38825512,0.27587944,0.2874457,0.023299623,0.5238619,-0.26060337,-0.13842173,-0.3078327,0.00040295997
2024-02-14 17:40:15.502,0.71002924,1.1758806,0.8812556,0.259738,0.013794408,0.5260258,0.015778258,-0.025263596,0.5903862,0.6504531,0.31501988,0.38825512,0.3300279,0.29742318,0.028329227,0.5238619,-0.2613508,-0.12113484,-0.48881513,0.00040295997
2024-02-14 17:40:16.022,0.798932,0.9800101,1.0885272,0.259738,0.08675046,0.30809385,0.05796391,-0.025263596,0.64767545,0.49704957,0.37460506,0.38825512,0.33587736,0.14225301,0.049563564,0.5238619,-0.15138415,-0.24705577,-0.4924932,0.00040295997
2024-02-14 17:40:16.538,0.9673226,0.9800101,1.1497116,0.259738,0.21358645,0.30809385,0.008096956,-0.025263596,0.73998696,0.49704957,0.34479144,0.38825512,0.3818274,0.14225301,0.06371158,0.5238619,-0.06504782,-0.24705577,-0.49797007,0.00040295997
2024-02-14 17:40:17.057,0.96122867,1.013635,0.958806,0.99278647,0.36159134,0.13521905,-0.19725484,0.08745023,1.1384126,0.395721,0.3297308,0.5586291,0.38366765,0.18059014,-0.023003893,0.41839552,0.011954436,-0.4150877,-0.45805326,-0.077435255
