TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-03 12:21:59.559,0.70584446,0.94202477,0.15025008,0.3685553,0.6536631,-0.092251986,-0.24860089,0.08006637,1.0122836,0.20924848,0.068146266,0.7438834,0.8508347,-0.19011742,0.5284993,0.18360172,0.12730816,-0.52150637,0.23545241,-0.17094775
2024-02-03 12:22:00.088,0.70584446,0.752803,0.75872767,0.14804538,0.6536631,-0.09002936,0.10819532,-0.118007414,1.0122836,0.18800938,-0.0050273063,0.7049233,0.8508347,-0.21590738,0.5781974,0.1130845,0.12730816,-0.49941197,0.14008352,-0.14407687
2024-02-03 12:22:00.601,0.70584446,0.6154262,0.75872767,0.17630102,0.6536631,-0.08215416,0.10819532,-0.042196237,1.0122836,0.1003701,-0.0050273063,0.34952188,0.8508347,-0.22361158,0.5781974,0.11590103,0.12730816,-0.48582378,0.14008352,-0.15486535
2024-02-03 12:22:01.123,0.70584446,0.62984633,0.75872767,0.2364618,0.6536631,-0.073521815,0.10819532,-0.079688,1.0122836,0.06637249,-0.0050273063,0.5516408,0.8508347,-0.2679738,0.5781974,0.07834375,0.12730816,-0.5357741,0.14008352,-0.09020869
2024-02-03 12:22:01.627,0.70584446,0.5926966,0.81122595,0.14506626,0.6536631,-0.14393532,0.13589141,0.040762927,1.0122836,0.08405406,-0.017136347,0.76911175,0.8508347,-0.19888054,0.59558034,0.19323893,0.12730816,-0.4740452,0.09780072,-0.07536393
2024-02-03 12:22:02.153,0.9419272,0.39151672,0.81122595,0.33567846,1.1799836,-0.28387687,0.13589141,0.16636631,1.3542725,0.01778329,-0.017136347,0.77503544,0.4519997,-0.16007303,0.59558034,0.20614265,-0.031348374,-0.50447214,0.09780072,-0.117742166
2024-02-03 12:22:02.662,0.9782783,0.24282812,0.81122595,0.41115472,1.0127156,-0.38941976,0.13589141,0.17055374,1.3542725,0.0036209656,-0.017136347,0.77254754,0.39819875,-0.06469165,0.59558034,0.19091289,-0.11921755,-0.5301321,0.09780072,-0.2539281
2024-02-03 12:22:03.176,0.9782783,0.19863878,0.6202292,0.5278501,1.0127156,-0.2731283,0.2360068,0.14636797,1.3542725,-0.06521907,0.4178677,0.49173775,0.39819875,-0.06520502,0.63553536,0.11315918,-0.11921755,-0.6550259,0.2532701,-0.36954448
2024-02-03 12:22:03.688,1.019816,0.25959358,0.6767337,0.42647323,0.6283592,-0.013347179,0.32888263,-0.16232997,1.2496142,0.20458864,0.45132202,0.34974018,0.31996226,-0.006509489,0.6397224,-0.038449083,-0.2620716,-0.54243046,0.26544827,-0.32435566
2024-02-03 12:22:04.194,1.019816,0.46258846,0.5963861,0.42647323,0.6283592,0.06472949,0.202957,-0.16232997,1.2496142,0.39057848,0.45460758,0.34974018,0.31996226,0.038460255,0.6801268,-0.038449083,-0.2620716,-0.45691288,0.23994644,-0.32435566
2024-02-03 12:22:04.705,0.92815155,0.58211,0.24352977,0.33199692,0.35960355,0.050239917,-0.11086555,0.26659715,0.6581435,0.44307712,0.47251093,1.1016678,0.33681718,0.10452047,0.7377031,0.3403425,-0.07179212,-0.35080066,0.16422224,-0.24162516
2024-02-03 12:22:05.216,0.92815155,0.7276394,0.2002294,0.33199692,0.35960355,-0.18391801,-0.15009555,0.26659715,0.6581435,0.40795746,0.46002162,1.1016678,0.33681718,0.122704834,0.7679467,0.3403425,-0.07179212,-0.3613069,0.1250478,-0.24162516
2024-02-03 12:22:05.738,0.92815155,0.7691365,0.23861964,0.3496666,0.35960355,-0.4225299,0.06375215,0.31007123,0.6581435,0.30317682,0.47000057,1.1016678,0.33681718,0.16621158,0.7547492,0.3424054,-0.07179212,-0.33809388,0.111016475,-0.21456221
2024-02-03 12:22:06.251,0.8282311,0.7691365,0.23861964,0.23806371,0.123347655,-0.4225299,0.06375215,0.09295372,0.6695657,0.30317682,0.47000057,0.21247678,0.2601052,0.16621158,0.7547492,0.32187957,-0.026737263,-0.33809388,0.111016475,-0.006145799
2024-02-03 12:22:06.759,0.77108246,0.7691365,0.23861964,0.27951887,0.30718872,-0.4225299,0.06375215,0.32851863,0.94756913,0.30317682,0.47000057,0.4071605,0.24660611,0.16621158,0.7547492,0.32192004,-0.08135488,-0.33809388,0.111016475,-0.1009598
2024-02-03 12:22:07.270,0.7018387,0.7691365,0.23861964,0.39097762,0.3247625,-0.4225299,0.06375215,0.26635444,0.97867304,0.30317682,0.47000057,0.5019313,0.29436138,0.16621158,0.7547492,0.29858062,-0.08349888,-0.33809388,0.111016475,-0.09901475
2024-02-03 12:22:07.790,0.49181065,0.7691365,0.23861964,0.47431958,0.40779972,-0.4225299,0.06375215,0.2293534,0.9653376,0.30317682,0.47000057,0.68137074,0.27560604,0.16621158,0.7547492,0.31593552,-0.16135107,-0.33809388,0.111016475,-0.20999753
2024-02-03 12:22:08.302,0.276525,0.76288056,0.23861964,0.45473656,0.260009,0.036593657,0.06375215,-0.03433062,0.9997755,0.18482393,0.47000057,0.8095868,0.27297866,0.07773419,0.7547492,0.297451,-0.1903487,-0.4659772,0.111016475,-0.2882782
2024-02-03 12:22:08.807,0.27290905,0.6528111,0.4512713,0.3516216,0.1555797,0.08817331,0.08365991,-0.084736966,1.0594559,0.21025266,0.18273138,0.8131663,0.28746277,-0.012216273,0.7372381,0.27428216,-0.2557933,-0.44027787,0.22927216,-0.4350241
2024-02-03 12:22:09.311,0.34885293,0.5704617,0.3326189,0.15769874,-0.0873544,0.07097466,0.10871114,0.03535371,1.0348359,0.21325053,0.2896844,0.8022379,0.25087312,-0.0004391233,0.6532375,0.1777875,-0.31410003,-0.4608165,0.1638782,-0.43717328
2024-02-03 12:22:09.837,0.29926756,0.428108,0.2723653,0.054447804,0.10549767,0.05374782,0.18407157,0.13896973,1.0069885,0.059627432,0.21700025,0.7193187,0.22646186,-0.030010471,0.604482,0.14035292,-0.39213353,-0.53622,0.1022915,-0.40573382
2024-02-03 12:22:10.359,0.15358934,0.37009624,0.26607636,0.12569758,0.18814908,0.03801657,0.22367989,0.26406792,0.6519691,-0.017134754,0.26486015,0.55232966,0.20610534,-0.01115542,0.54640764,0.14408083,-0.38236332,-0.61384606,0.08084897,-0.31963804
2024-02-03 12:22:10.876,-0.021551626,0.3075017,0.33119172,0.2584862,0.28380617,0.04256084,0.11590196,0.28668463,0.68537635,-0.037114885,0.25978264,0.5480787,0.3037168,-0.11200523,0.615334,0.18823808,-0.43634656,-0.7076993,0.23686363,-0.15725332
2024-02-03 12:22:11.383,0.18300991,0.5680759,0.39134353,0.30448684,0.19899835,0.010148529,-0.15693851,0.16096511,0.79312223,0.16649966,0.2803328,0.6250162,0.35863122,-0.25059426,0.65530765,0.1884926,-0.41290036,-0.624368,0.3088717,-0.074387565
2024-02-03 12:22:11.885,0.19769265,0.690983,0.453735,0.20890045,0.19351803,-0.041677028,-0.21155758,0.0083314385,0.88345474,0.2406272,0.27969632,0.73695403,0.36902848,-0.16688797,0.65797937,0.23817874,-0.21855998,-0.5679337,0.3327504,-0.061223373
2024-02-03 12:22:12.403,0.21692248,0.71469307,0.5901624,0.2005071,0.13187352,-0.11162899,-0.18688361,-0.0109482175,0.93017113,0.26543364,0.25943837,0.7525717,0.35742787,-0.04746304,0.68216777,0.3201398,-0.04814102,-0.4615434,0.32427934,-0.0888023
2024-02-03 12:22:12.913,0.17288087,0.46276227,0.40316585,0.30086276,0.20970272,-0.24377204,-0.2557886,0.039701298,0.9731279,0.2581423,0.40662992,0.76159716,0.3767888,0.06294234,0.79819494,0.42006946,-0.035155874,-0.37953088,0.1382057,-0.06876263
2024-02-03 12:22:13.435,0.12882093,0.18978795,0.40753132,0.31358725,0.20293567,-0.2750934,-0.27552646,0.041257508,0.9651272,0.15077204,0.40662992,0.65802157,0.3479353,0.029263595,0.74477863,0.4122562,-0.0644212,-0.42105287,0.11832429,-0.02300379
2024-02-03 12:22:13.961,0.17059542,0.26102713,0.33725703,0.26381028,0.20708482,-0.14672293,-0.20999096,-0.03583901,0.8403479,0.45611057,0.48768696,0.8564145,0.24993382,-0.030460741,0.69573385,0.31746858,-0.24923918,-0.5284418,0.12037786,-0.035339016
2024-02-03 12:22:14.481,0.11868655,0.30269545,0.2620265,0.34473866,0.25484362,-0.014467822,-0.122462995,0.17107317,1.3774363,0.5517935,0.28478077,0.9928265,0.22910155,-0.089314386,0.65286165,0.21638578,-0.2772481,-0.65718085,0.12063962,-0.05494047
2024-02-03 12:22:15.001,0.37516665,0.3572482,0.2582839,0.41993493,0.36981,-0.007145166,0.05393235,0.48748076,1.3907474,0.5534278,0.22303176,1.0901833,0.32048246,-0.11110467,0.6464148,0.2568888,-0.26994318,-0.65798855,0.13350923,-0.15610331
2024-02-03 12:22:15.517,0.37227052,0.21058439,0.23982334,0.38957292,0.38702852,-0.08712612,0.067900605,0.56331784,1.3907474,0.5096391,0.25216463,1.0834529,0.36702088,-0.10721034,0.65436196,0.25447777,-0.20651169,-0.55846065,0.0872784,-0.21206217
2024-02-03 12:22:16.021,0.37079906,0.28483564,0.17448053,0.26388198,0.5030748,-0.058251172,0.0049040196,0.5496735,1.3873779,0.46175924,0.31817812,0.9522943,0.31598184,-0.18386137,0.62209505,0.21835382,-0.17180343,-0.51064456,0.103958584,-0.19517498
2024-02-03 12:22:16.532,0.29786786,0.15534489,0.025054548,0.31084946,0.45834565,-0.059051085,-0.16670586,0.28407672,1.1281879,0.38924193,0.44704115,0.6773897,0.29915315,-0.13777572,0.60708654,0.14824016,-0.25939938,-0.44812927,0.14423648,-0.21128151
2024-02-03 12:22:17.044,0.45926556,0.7091546,0.17261972,0.433638,0.53019375,0.03874773,-0.34134033,0.111338325,1.1264135,0.35971698,0.5383855,0.7766047,0.39489797,-0.10321437,0.5830577,0.1922443,-0.30283728,-0.5270344,0.13919221,-0.26124746
2024-02-03 12:22:17.554,0.5297406,0.7626778,0.31202027,0.47360876,0.41330767,-0.042097583,-0.30700973,0.07529692,0.97607946,0.46629792,0.5450588,0.7571953,0.39755592,-0.020707313,0.5856393,0.20186545,-0.3347169,-0.5662408,0.12158098,-0.4134759
2024-02-03 12:22:18.071,0.44355747,0.80687016,0.39665145,0.35779145,0.5349277,0.11260679,-0.34826484,0.2506498,1.1622379,0.6631069,0.48090264,0.83370197,0.33826652,-0.06481392,0.58371305,0.18893297,-0.24017061,-0.4949835,0.07844428,-0.4392138
2024-02-03 12:22:18.594,0.1787801,0.39758137,0.41967484,0.26320845,0.63531023,-0.014641626,-0.15122187,0.26819938,1.2674799,0.6628058,0.33849272,0.7909378,0.27523774,-0.0402305,0.52383333,0.21924728,-0.23166427,-0.43641263,0.23087929,-0.42170575
2024-02-03 12:22:19.119,0.042632602,0.29702806,0.39603359,0.26379725,0.61766005,-0.006942204,-0.13840078,0.19502845,1.2674799,0.6647107,0.33928925,0.73573726,0.2845965,-0.06292898,0.5383598,0.23554628,-0.26827127,-0.46201956,0.18465845,-0.4270393
2024-02-03 12:22:19.622,0.037915997,0.17853387,0.45124027,0.26114887,0.49693373,-0.5249178,-0.07034024,-0.011130535,1.1718882,0.24667117,0.3326731,0.59657,0.2673028,0.022948636,0.5009566,0.23792595,-0.34653994,-0.60736865,0.14492206,-0.33426493
2024-02-03 12:22:20.140,0.11630627,0.032482415,0.20681523,0.32394904,0.34337148,-0.56569874,-0.074769564,0.11392568,1.0407661,0.21621487,0.025338577,0.4727281,0.21577866,-0.011034862,0.5728093,0.14804536,-0.39086062,-0.66371936,0.0403525,-0.35468838
2024-02-03 12:22:20.655,0.24423501,-0.41277128,0.08809974,0.38442656,0.3541339,-0.34669966,-0.25660965,0.17752303,0.9355276,0.12582661,0.06237069,0.4737942,0.14407773,0.03202935,0.57605714,0.07403639,-0.33509713,-0.44321966,0.24645527,-0.32382536
2024-02-03 12:22:21.159,0.29738036,0.26544338,0.20988841,0.48432723,0.315691,0.0606115,-0.14215493,0.21083719,0.8186058,0.285791,0.23222195,0.48596925,0.1095388,0.031219276,0.6358626,0.056237664,-0.35286346,-0.53968805,0.20154282,-0.4125104
2024-02-03 12:22:21.666,0.18437783,0.71996844,0.251658,0.45936137,0.25628126,0.23877606,-0.14647143,-0.08748603,0.76332384,0.3385394,0.20780595,0.32042772,0.041712705,0.058425855,0.67423546,0.039255418,-0.36174083,-0.5523527,0.24718209,-0.4018029
2024-02-03 12:22:22.182,-0.07713327,0.7426359,0.2751911,0.4366992,0.19445889,0.22911735,0.07080157,-0.25785694,0.62492406,0.28232944,0.21748385,0.29389665,0.012114034,0.09094619,0.71776223,0.010612992,-0.3529247,-0.49401718,0.00081929634,-0.40654635
2024-02-03 12:22:22.693,0.7668369,0.7918392,0.10828972,0.54978234,0.4082729,0.18496884,0.120503664,0.18693312,0.7436957,0.2941716,0.15091282,0.31509304,0.18943743,0.051045246,0.6555585,0.3221216,-0.11220596,-0.49421576,-0.11760689,-0.3429538
2024-02-03 12:22:23.197,0.5635281,0.69258606,0.10828972,0.5655015,0.47668737,-0.13290325,0.120503664,0.18280227,1.0464402,0.1200451,0.15091282,0.7026348,0.15725939,0.056224946,0.6555585,0.28524038,-0.100608364,-0.50466204,-0.11760689,-0.24481143
2024-02-03 12:22:23.716,0.4028217,0.77887887,0.1359473,0.46861053,0.44657463,-0.092528686,0.15612334,0.07280148,1.0566795,0.06213448,0.13515277,0.7121115,0.11739267,0.05191127,0.6549195,0.2810619,-0.11991631,-0.5606981,-0.12521672,-0.29110372
2024-02-03 12:22:24.238,0.11283164,0.6674497,0.1359473,0.42779166,0.35063314,-0.083799765,0.15612334,-0.041105557,1.1177412,0.09868419,0.13515277,0.8636924,0.15171245,0.08677234,0.6549195,0.19109002,-0.15250154,-0.5222993,-0.12521672,-0.25724134
2024-02-03 12:22:24.749,0.25182006,0.3035793,0.01231465,0.42513913,0.19771533,-0.11464752,-0.17854284,-0.06834418,1.0769887,0.098397754,-0.26866898,0.6881769,0.15486468,0.017738411,0.6396902,0.17259908,-0.16277473,-0.42059174,0.11935788,-0.25925577
2024-02-03 12:22:25.258,0.6138658,-0.019401437,0.01231465,0.5646507,0.065641776,-0.11192051,-0.17854284,0.03104654,0.8662218,0.11487893,-0.26866898,0.69540995,0.18549144,-0.049350705,0.6396902,0.13981704,-0.21898678,-0.4524529,0.11935788,-0.18012242
2024-02-03 12:22:25.759,0.709648,-0.03336145,0.01231465,0.6717472,0.03773471,-0.09707223,-0.17854284,0.009451032,0.80081135,0.012886676,-0.26866898,0.7568746,0.18356033,-0.08539335,0.6396902,0.28022346,-0.2413502,-0.41114467,0.11935788,0.101774424
2024-02-03 12:22:26.259,0.6717633,0.037403837,0.01231465,0.69091207,0.19730143,-0.28162503,-0.17854284,0.09664952,0.8927381,-0.13669324,-0.26866898,0.84213,0.23022844,-0.11984299,0.6396902,0.25684896,-0.34241897,-0.58088076,0.11935788,0.085646346
2024-02-03 12:22:26.771,0.37708482,0.12273288,0.01231465,0.5971258,0.2652332,-0.340457,-0.17854284,0.23724447,1.1965802,-0.17633598,-0.26866898,0.9644391,0.2864251,-0.109141335,0.6396902,0.2578053,-0.3070716,-0.629678,0.11935788,0.07555119
2024-02-03 12:22:27.276,0.02057216,-0.09816879,0.45965964,0.2542537,0.31653836,0.29642442,0.117888264,0.31461388,1.2284355,0.29607105,0.15938796,0.8695824,0.24594367,-0.090838104,0.52297705,0.12830673,-0.33867493,-0.6895684,0.43008912,-0.24994893
2024-02-03 12:22:27.798,-0.099734575,-0.07502933,0.42727542,-0.14163251,0.2070344,0.16816406,0.05247028,0.2821375,1.2435163,0.38845932,0.20502584,0.86301804,0.26407802,0.060866658,0.50178,0.16682856,-0.28052315,-0.5441997,0.43137044,-0.2778612
2024-02-03 12:22:28.304,0.28248832,0.022184199,0.28027126,0.18418695,0.23581064,0.01780134,-0.03214483,0.28080535,1.208622,0.38845932,0.18962836,0.83247465,0.27319762,0.06439605,0.49058905,0.24025355,-0.2931336,-0.53351104,0.3858626,-0.3400114
2024-02-03 12:22:28.827,0.37970054,0.023652894,0.23928577,0.2649288,0.19183066,-0.22405133,-0.1869533,0.23415586,1.0155686,0.3682718,0.124300025,0.73866886,0.28690848,0.060197067,0.4977657,0.24721968,-0.31616232,-0.4891585,0.33762,-0.36357126
2024-02-03 12:22:29.356,0.38203013,0.077478185,0.21158548,0.2855025,0.3059397,-0.04183959,-0.22417343,0.23204963,0.9783661,0.15771948,0.06284432,0.80690944,0.23591813,0.02680977,0.5547479,0.24458525,-0.38598633,-0.55575496,0.27106607,-0.3419121
2024-02-03 12:22:29.882,0.1264561,0.030665215,0.15650608,0.16458534,0.43614203,0.021753896,-0.15194106,0.2132969,1.0400658,0.30345976,0.22502,0.81191796,0.1400845,0.0018408552,0.5801877,0.15059681,-0.46449742,-0.5752903,0.2772212,-0.31843972
2024-02-03 12:22:30.403,0.109513305,0.03554042,0.06033562,0.1326678,0.44868907,0.10111344,-0.13397677,0.23952895,1.1030477,0.43706062,0.29430652,0.7850988,0.11499194,-0.0008448195,0.5113338,0.1218914,-0.46274403,-0.5960562,0.23203224,-0.2618894
2024-02-03 12:22:30.920,0.26689923,0.032349307,0.08142658,0.3346358,0.304938,-0.10708893,-0.13908951,0.2616894,1.1052182,0.47005022,0.43300802,0.72648966,0.19154966,-0.058425758,0.40070266,0.18218377,-0.35835558,-0.55361426,0.13028193,-0.25550047
