TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-07 23:34:05.457,1.0199168,0.5101473,0.91400415,0.8182574,0.48816302,0.08470688,0.8491412,0.48958597,0.8619635,0.33392885,0.9676139,0.74658364,0.35052887,0.30123934,0.6038493,0.3206401,0.009637304,-0.28975445,0.019688422,-0.13580707
2024-02-07 23:34:05.986,1.0897332,0.47393724,1.0021645,0.90602124,0.5014872,0.1390302,0.8925991,0.58148515,0.85683405,0.33392885,0.9683573,0.7457038,0.31372958,0.28574964,0.6120575,0.32005015,-0.005222105,-0.28394628,0.031051476,-0.11796737
2024-02-07 23:34:06.493,0.9284215,0.51636916,0.9779,0.7548754,0.563339,0.3115774,0.86764544,0.7263183,0.85683405,0.23512827,1.0237242,0.73958534,0.31160066,0.25916934,0.63467515,0.38571516,-0.050957438,-0.32600477,0.049915783,-0.046558287
2024-02-07 23:34:07.003,0.86515045,1.0092694,1.0801365,0.63223463,0.43939626,0.18377027,0.7202462,0.7241607,0.81545746,0.35687837,0.72578126,0.73958534,0.32838476,0.14881456,0.60630673,0.40599975,-0.069215044,-0.2922134,0.024525432,-0.061814908
2024-02-07 23:34:07.529,0.7022962,1.0439943,1.0496731,0.63223463,0.42549706,0.24667577,0.5475118,0.7241607,0.7388388,0.5072371,0.7065178,0.73958534,0.3520682,0.13062072,0.69087666,0.40599975,-0.014426,-0.26288542,-0.03146845,-0.061814908
2024-02-07 23:34:08.047,0.6586857,0.9115444,0.9728914,0.63223463,0.3438305,0.18275413,0.6478941,0.7241607,0.6103823,0.5072371,0.7666964,0.73958534,0.4079864,0.15251373,0.6232825,0.40599975,-0.036191672,-0.29291317,-0.041947864,-0.061814908
2024-02-07 23:34:08.575,0.51444626,0.7427102,0.61120164,0.61226356,0.24537453,0.20931277,0.6453301,0.20383944,0.77719027,0.5020196,0.7178537,0.53983545,0.2711613,0.15751942,0.6047942,0.2379172,-0.27943367,-0.21026652,-0.040933073,0.063505545
2024-02-07 23:34:09.098,0.6549516,0.4419409,0.62275475,0.8065497,0.39300656,0.1986048,0.53949803,0.23298669,0.79362994,0.45510963,0.72602725,0.63311446,0.38952476,0.1541781,0.53784406,0.31518108,-0.2996616,-0.29892033,-0.01828962,0.029246211
2024-02-07 23:34:09.614,0.66584843,0.49401042,0.6299818,0.7817131,0.44088367,0.28925055,0.4397854,0.20557363,0.8256216,0.39500394,0.63253963,0.67534363,0.42454296,0.16643225,0.5445604,0.33467644,-0.27290615,-0.26674,-0.029704075,0.022587357
2024-02-07 23:34:10.158,0.7682834,0.54833287,0.7267739,0.8889828,0.5381499,0.30922857,0.46628153,0.22418311,0.798301,0.38640204,0.61418176,0.6677355,0.49948275,0.16282421,0.48464084,0.3867206,-0.2562183,-0.41197127,-0.013553128,-0.04440521
2024-02-07 23:34:10.674,0.78140527,0.5608524,0.80428207,0.809309,0.6351917,0.35690004,0.59802663,0.17967327,0.78656965,0.3411045,0.61418176,0.61823356,0.53823453,0.21449852,0.60951704,0.4244559,-0.20723592,-0.27703476,-0.10043368,-0.2284302
2024-02-07 23:34:11.213,0.78140527,0.5608524,0.80428207,0.809309,0.6351917,0.35690004,0.59802663,0.17967327,0.78656965,0.3411045,0.61418176,0.61823356,0.53823453,0.21449852,0.60951704,0.4244559,-0.20723592,-0.27703476,-0.10043368,-0.2284302
2024-02-07 23:34:11.729,0.44343534,0.5608524,0.80428207,1.0989853,0.3848504,0.35690004,0.59802663,0.89742893,0.8299232,0.3411045,0.61418176,0.89560145,0.60000175,0.21449852,0.60951704,0.43452185,0.108624905,-0.27703476,-0.10043368,-0.3811894
2024-02-07 23:34:12.252,0.59918314,0.5608524,0.80428207,1.1033511,0.35068116,0.35690004,0.59802663,0.82547915,0.8299232,0.3411045,0.61418176,0.8961304,0.51197124,0.21449852,0.60951704,0.41977316,-0.024858465,-0.27703476,-0.10043368,-0.39293736
