TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-07 23:42:15.992,0.43149266,0.33211532,0.95830274,0.4185077,0.38391066,0.26114777,0.18806984,0.23956172,0.8811292,0.18991725,-0.023423892,0.7371578,0.13877866,-0.21229622,-0.18622737,0.24106123,-0.19180669,-0.5668341,-0.34296384,-0.24319828
2024-02-07 23:42:16.525,0.47781423,0.42134598,0.95830274,0.45046523,0.5089876,0.1625346,0.18806984,0.19903205,0.8162469,0.44873604,-0.023423892,0.51901543,0.17448282,-0.21064171,-0.18622737,0.17436829,-0.16677378,-0.60748196,-0.34296384,-0.20101954
2024-02-07 23:42:17.048,0.49284706,0.47679105,0.95830274,0.47314492,0.5559192,0.013294053,0.18806984,0.14893904,0.77162206,0.41919088,-0.023423892,0.505841,0.21816882,-0.12904069,-0.18622737,0.18902987,-0.2610084,-0.6103814,-0.34296384,-0.2524503
2024-02-07 23:42:17.574,0.36035904,0.42982802,0.95830274,0.52710795,0.5138296,-0.015409657,0.18806984,-0.021764386,0.73521066,0.41919088,-0.023423892,0.45588958,0.21650255,-0.08342942,-0.18622737,0.15750025,-0.27768204,-0.48125696,-0.34296384,-0.2613922
2024-02-07 23:42:18.082,0.42831305,0.32289416,0.95830274,0.51488274,0.22450912,0.024293486,0.18806984,0.34536818,0.73508036,0.14175685,-0.023423892,0.69582236,0.34466687,-0.029157255,-0.18622737,0.056421474,-0.006439076,-0.39530596,-0.34296384,-0.15783145
2024-02-07 23:42:18.605,0.64361,0.27371225,0.95830274,0.56601375,0.39569452,0.1068238,0.18806984,0.26883417,0.73508036,0.0732572,-0.023423892,0.69684416,0.29089218,-0.07487494,-0.18622737,0.26371706,-0.08700279,-0.42350987,-0.34296384,-0.15062363
2024-02-07 23:42:19.147,0.8936345,0.14985725,0.95830274,0.6511194,0.37827805,0.06227651,0.18806984,0.30398324,0.7376745,0.10595844,-0.023423892,0.7876026,0.24407542,-0.109204076,-0.18622737,0.25149262,-0.09209672,-0.51632524,-0.34296384,-0.14466383
2024-02-07 23:42:19.649,1.0177897,0.47263992,0.95830274,0.7589141,0.42920446,-0.02401888,0.18806984,0.45272437,0.52085114,0.18404156,-0.023423892,0.84047824,0.1494428,-0.15956697,-0.18622737,0.2640471,-0.1568474,-0.5844512,-0.34296384,-0.2615698
2024-02-07 23:42:20.153,0.9715287,0.42489567,0.6377765,0.6947994,0.40724233,-0.26392624,0.120030835,0.4970891,0.7281584,0.16820808,0.25626758,0.8577634,0.21696806,-0.105674185,-0.03957272,0.28778845,-0.1138695,-0.5305984,-0.48334616,-0.42486933
2024-02-07 23:42:20.669,0.7416639,0.38186795,0.6434586,0.7942601,0.3767887,-0.3977859,0.104780145,0.3535428,0.7340818,0.19916435,0.32584572,0.85839117,0.2450744,-0.10362188,0.09236919,0.33038843,-0.12831357,-0.5238086,-0.31260923,-0.19269824
2024-02-07 23:42:21.180,0.5756622,0.24719508,0.83464044,0.73707676,0.33518055,-0.24115182,0.3414684,0.25291604,0.76962376,0.21007453,0.58544374,0.83459765,0.27414748,-0.118440576,0.22345264,0.34087202,-0.11125455,-0.56971073,-0.33712927,-0.08106346
2024-02-07 23:42:21.693,0.552948,0.23911056,0.8310348,0.6805334,0.41292897,-0.120428115,0.32740545,0.32291937,1.0415831,0.18056065,0.5647982,0.87701684,0.2773767,-0.16126959,0.2920154,0.28986102,-0.12801039,-0.5892232,-0.31247208,-0.019855361
2024-02-07 23:42:22.218,0.59059185,0.28995448,0.79556715,0.53966707,0.4513985,-0.108078964,0.3694249,0.5049042,1.0334302,0.15815158,0.6017635,0.9253875,0.32720235,-0.025497194,0.27458453,0.27355835,-0.05463058,-0.60167384,-0.3764024,-0.04804637
2024-02-07 23:42:22.768,0.67017674,0.1614034,0.66299915,0.5588982,0.56360775,-0.09579838,0.17547756,0.635821,1.0335772,0.31244057,0.47883588,0.92160726,0.3689033,0.054462202,0.10054715,0.37224713,-0.020335723,-0.6346855,-0.43344045,-0.013297324
2024-02-07 23:42:23.286,0.54060936,0.3869333,0.74051535,0.69724685,0.5534716,0.058176782,0.3329509,0.7391594,0.7559186,0.33937073,0.47047296,0.830537,0.34715754,0.036105,-0.045259092,0.4220749,0.057210736,-0.49920416,-0.3559383,0.06898164
2024-02-07 23:42:23.793,0.5357123,0.34913248,0.7667768,0.7206498,0.6671028,0.22876656,0.3735447,0.83511895,0.7305908,0.33545947,0.38598448,0.69497526,0.34943944,-0.09500247,-0.08935583,0.5016325,0.021591887,-0.41661298,-0.30224672,0.06969834
2024-02-07 23:42:24.312,0.5357123,0.25697315,0.6853814,0.7206498,0.6671028,0.22412907,0.3394006,0.83511895,0.7305908,0.23923764,0.38170978,0.69497526,0.34943944,-0.16864827,-0.060404833,0.5016325,0.021591887,-0.38024768,-0.2636789,0.06969834
2024-02-07 23:42:24.851,0.448003,-0.034138504,0.58194405,0.22064303,0.09065704,0.09449474,0.1831522,0.4363582,1.0590546,0.20577124,0.44030994,0.7905285,0.15236263,-0.14693373,0.05539037,0.336138,-0.28421012,-0.51798457,-0.3523384,-0.29346895
2024-02-07 23:42:25.355,0.7128646,-0.06781816,0.66306305,0.523769,0.22066534,-0.15514731,-0.05524475,0.4865729,1.076729,0.11762698,0.4244076,0.8475786,0.26218915,-0.18370813,0.06695379,0.29306236,-0.26700976,-0.5461087,-0.33154112,-0.16381863
2024-02-07 23:42:25.874,0.82844037,0.3697248,0.76217353,0.523769,0.23586106,-0.22299056,-0.0024098153,0.4865729,1.0720885,0.06060031,0.39775595,0.8475786,0.29383886,-0.15518543,0.10976599,0.29306236,-0.2719017,-0.45832786,-0.27951148,-0.16381863
2024-02-07 23:42:26.391,0.95610654,0.5143419,0.89623123,0.7005567,0.22650875,-0.11930535,-0.052414205,0.53157866,1.0152066,-0.0801403,0.035504133,0.6526567,0.325263,-0.15121509,0.06506579,0.24523903,-0.2652419,-0.35716373,-0.19189899,-0.064106
2024-02-07 23:42:26.901,1.0191022,0.7553433,0.96962005,0.7005567,0.019142322,-0.17684764,-0.09823194,0.53157866,0.892524,-0.090512484,-0.0014851794,0.6526567,0.25679892,-0.1260349,0.06560308,0.24523903,-0.28958157,-0.27672422,-0.19704275,-0.064106
2024-02-07 23:42:27.433,0.28579044,0.8383482,0.96962005,0.7005567,0.20111215,0.077561095,-0.09823194,0.53157866,0.33342808,0.18681529,-0.0014851794,0.6526567,0.4962214,-0.1285081,0.06560308,0.24523903,0.31368214,-0.231126,-0.19704275,-0.064106
2024-02-07 23:42:27.990,0.43920487,0.66538566,0.96962005,0.72117877,0.34038994,0.080176905,-0.09823194,0.38862073,0.48234624,0.3096642,-0.0014851794,0.76816314,0.50507104,-0.06357291,0.06560308,0.44617167,0.3065299,-0.2772476,-0.19704275,0.034738123
2024-02-07 23:42:28.504,0.47091207,0.45545408,0.96962005,0.6768556,0.29644567,-0.031777285,-0.09823194,0.3772239,0.7420382,0.3151564,-0.0014851794,0.88718164,0.56724584,-0.0033787545,0.06560308,0.41859922,0.3709781,-0.2686262,-0.19704275,0.17413512
2024-02-07 23:42:29.009,0.5175397,0.22615756,0.96962005,0.56468606,0.28918582,-0.051253907,-0.09823194,0.35172424,0.7420382,0.36302373,-0.0014851794,0.88718164,0.51887923,0.074347764,0.06560308,0.40479568,0.43130395,-0.33547688,-0.19704275,0.12642168
2024-02-07 23:42:29.539,0.5320397,0.41884077,0.96962005,0.46491563,0.3744247,0.14316463,-0.09823194,0.4205386,0.7585791,0.37991935,-0.0014851794,0.96992546,0.4627343,0.054983903,0.06560308,0.3188515,0.4103083,-0.3864241,-0.19704275,0.10742614
2024-02-07 23:42:30.045,0.70020604,0.590027,0.96962005,0.29398772,0.39775568,0.19263802,-0.09823194,0.4034339,0.7474745,0.37635088,-0.0014851794,0.9411478,0.26323572,-0.00040054854,0.06560308,0.20974447,0.2779263,-0.48335332,-0.19704275,-0.087100886
2024-02-07 23:42:30.547,1.0021242,0.61234146,0.96962005,0.4763254,0.5048928,0.2107169,-0.09823194,0.4605365,0.6795347,0.38931045,-0.0014851794,0.95313305,0.2810278,-0.16795073,0.06560308,0.08314374,0.06658513,-0.4394006,-0.19704275,-0.110355064
2024-02-07 23:42:31.049,1.1532255,0.5747224,0.685572,0.65843284,0.4253945,0.022858923,0.2758055,0.3197254,0.619941,0.3939572,0.4734509,0.66375947,0.34952965,-0.18669131,0.35091725,0.10134195,0.026226293,-0.3868102,-0.5135892,-0.11106188
2024-02-07 23:42:31.576,1.3352757,0.6944425,0.685572,0.65843284,0.5279751,-0.012348414,0.2758055,0.3197254,0.6067886,0.4047031,0.4734509,0.66375947,0.4008366,-0.19448431,0.35091725,0.10134195,0.07503442,-0.3593048,-0.5135892,-0.11106188
2024-02-07 23:42:32.080,1.3352757,0.66130126,0.685572,0.65843284,0.5279751,-0.020627322,0.2758055,0.3197254,0.6067886,0.2580916,0.4734509,0.66375947,0.4008366,-0.054821122,0.35091725,0.10134195,0.07503442,-0.34333408,-0.5135892,-0.11106188
2024-02-07 23:42:32.611,0.44847825,0.51627094,0.7439007,1.0619448,0.49758247,-0.0033591604,0.41994622,0.6996756,1.075861,0.19863246,0.38061184,0.88862145,0.2317738,-0.04712456,0.29351023,0.5752763,-0.44719622,-0.39248088,-0.26873443,0.574339
2024-02-07 23:42:33.155,0.6573456,0.088963635,0.67498267,1.0619448,0.63204956,-0.008631252,0.295693,0.6996756,1.075861,0.26930618,0.4672386,0.88862145,0.25397667,-0.0424413,0.28431737,0.5752763,-0.29844683,-0.46280196,-0.22834814,0.574339
2024-02-07 23:42:33.665,0.59531426,-0.06192909,0.87057316,0.7762763,0.60135037,-0.2502462,0.274278,0.4216029,1.0546007,0.34550503,0.6262429,0.90482205,0.33039224,-0.07543787,0.26519197,0.405985,-0.2272717,-0.5878684,-0.21970403,0.3826838
2024-02-07 23:42:34.178,0.49886468,0.2270656,0.9552303,0.5035992,0.5646306,-0.50896996,0.28508094,0.096734114,1.0648575,0.4061775,0.6150595,0.46908662,0.40181744,-0.068446934,0.1525603,0.30334988,-0.16734485,-0.5346166,-0.24605979,0.06034435
2024-02-07 23:42:34.698,0.5330342,0.31598753,1.1096627,0.59219456,0.57911456,-0.39616376,0.38466996,0.15175474,1.09608,0.4368169,0.5984836,0.47977686,0.42151016,-0.068463184,0.07512001,0.30670902,-0.1424091,-0.5497388,-0.3296084,0.026680838
2024-02-07 23:42:35.230,0.5987226,0.3344708,1.105471,0.7118281,0.66021425,-0.090727545,0.4952777,0.23691182,1.050924,0.30082756,0.50890106,0.38458228,0.4602158,-0.068412,0.03233354,0.3455086,-0.08757646,-0.5342103,-0.3227928,-0.10318424
