TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-03 11:40:28.790,1.2083931,0.28757483,0.6672634,0.36386713,0.65448856,-0.13043274,0.068478495,0.36021417,1.3166783,0.24630155,0.22996807,1.3409555,0.43224984,-0.005014154,-0.30955493,0.20359649,-0.3798082,-0.47328204,-0.4738849,-0.3370065
2024-02-03 11:40:29.294,0.6319865,0.28965014,0.34233147,0.42659238,0.24110281,-0.21929799,-0.09784782,0.25287765,1.1802042,0.18739864,-0.07748802,1.310744,0.10227989,0.02238059,-0.31507474,0.14162165,-0.4353899,-0.53968203,-0.477883,-0.26243874
2024-02-03 11:40:29.800,0.62597364,0.22982542,0.057480592,0.35261148,0.32943088,-0.21547312,-0.055269368,0.26546508,1.0750204,0.1578402,-0.13227803,1.0663501,0.0663905,-0.06950809,-0.28378212,0.12408917,-0.45376018,-0.5262423,-0.5793726,-0.2445937
2024-02-03 11:40:30.307,0.44459677,0.24715205,0.018737145,0.29548746,0.2731835,-0.1599093,-0.0037640156,0.14555748,1.0084686,0.22265641,0.22053765,1.1667979,0.019965405,-0.14782408,-0.23935501,0.24730404,-0.49681592,-0.598204,-0.59409815,-0.25605446
2024-02-03 11:40:30.823,0.40921584,-0.10143601,-0.053717952,0.24385454,0.5025315,-0.16344129,0.0125312535,0.31248072,1.0209205,0.2598248,0.24923901,1.1667808,0.09609723,-0.14173478,-0.20997255,0.27481413,-0.51226085,-0.6207349,-0.6617274,-0.27467605
2024-02-03 11:40:31.333,0.16228835,-0.007920516,0.17670402,0.2950563,0.46556747,-0.09954994,0.009442419,0.32331192,1.0385928,0.3722528,0.25352132,1.1777575,0.12052657,-0.040110685,-0.2097084,0.26169768,-0.4167403,-0.65874445,-0.6626775,-0.2809008
2024-02-03 11:40:31.842,0.12973729,-0.12579466,0.2238091,0.34465203,0.44568774,-0.21019156,-0.019819409,0.35018218,1.0501499,0.41113538,0.104244426,1.0562136,0.22036819,-0.011409017,-0.2867901,0.20702617,-0.2942144,-0.67005056,-0.6394545,-0.25366095
2024-02-03 11:40:32.344,0.31076628,0.060966585,0.36268535,0.29651234,0.41777286,-0.04028435,-0.20968601,0.2578479,1.0657525,0.35143888,-0.053683452,1.0627422,0.28066027,-0.07056027,-0.3479005,0.16572423,-0.2747611,-0.6441768,-0.5710711,-0.29838756
2024-02-03 11:40:32.877,0.6493542,0.27091035,0.3433916,0.42869842,0.43684936,-0.018443752,-0.3096756,0.16579711,1.0929769,0.33920372,0.040102486,1.0657635,0.38894334,-0.16112863,-0.37612957,0.2525634,-0.3496341,-0.62981427,-0.44612226,-0.38574883
2024-02-03 11:40:33.390,0.750259,0.45197883,0.53965056,0.39493516,0.5945397,0.06261606,-0.17686042,0.32072252,0.96781796,0.31667805,0.081957065,0.99698025,0.34345827,-0.20923916,-0.30704263,0.26792622,-0.4588056,-0.5504388,-0.4606163,-0.417325
