TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-14 23:24:22.878,0.71564305,1.1789451,1.213222,0.92402935,0.7600131,0.81944317,0.89957976,0.77519065,0.96249497,0.9443084,0.5194982,0.91925424,0.4817821,0.2187137,0.50698715,0.6824812,-0.01105888,0.09293063,-0.39218554,-0.03531463
2024-02-14 23:24:23.390,0.71564305,1.0119693,1.213222,0.92402935,0.7600131,0.88036,0.89957976,0.77519065,0.96249497,0.84652936,0.5194982,0.91925424,0.4817821,0.2356296,0.50698715,0.6824812,-0.01105888,0.14195977,-0.39218554,-0.03531463
2024-02-14 23:24:23.922,0.71564305,1.0223682,1.213222,0.92402935,0.7600131,0.91067934,0.89957976,0.77519065,0.96249497,0.8154766,0.5194982,0.91925424,0.4817821,0.27489185,0.50698715,0.6824812,-0.01105888,0.14458631,-0.39218554,-0.03531463
2024-02-14 23:24:24.428,0.71564305,1.1001956,1.213222,0.92402935,0.7600131,0.49023595,0.89957976,0.77519065,0.96249497,0.2325871,0.5194982,0.91925424,0.4817821,0.19392903,0.50698715,0.6824812,-0.01105888,-0.18331479,-0.39218554,-0.03531463
2024-02-14 23:24:24.941,0.71564305,0.9527218,1.213222,0.92402935,0.7600131,0.5619025,0.89957976,0.77519065,0.96249497,0.24559772,0.5194982,0.91925424,0.4817821,0.19870177,0.50698715,0.6824812,-0.01105888,-0.19890071,-0.39218554,-0.03531463
2024-02-14 23:24:25.468,0.71564305,0.9191085,1.213222,0.92402935,0.7600131,0.52618605,0.89957976,0.77519065,0.96249497,0.67250204,0.5194982,0.91925424,0.4817821,0.2267477,0.50698715,0.6824812,-0.01105888,-0.21221495,-0.39218554,-0.03531463
2024-02-14 23:24:25.977,0.71564305,0.7929706,1.213222,0.92402935,0.7600131,0.6195599,0.89957976,0.77519065,0.96249497,0.82593423,0.5194982,0.91925424,0.4817821,0.29818437,0.50698715,0.6824812,-0.01105888,-0.24716024,-0.39218554,-0.03531463
2024-02-14 23:24:26.478,0.71564305,0.83067983,1.213222,0.92402935,0.7600131,0.70197785,0.89957976,0.77519065,0.96249497,0.8704492,0.5194982,0.91925424,0.4817821,0.32625747,0.50698715,0.6824812,-0.01105888,-0.29362032,-0.39218554,-0.03531463
2024-02-14 23:24:26.994,0.71564305,0.90907896,1.037565,0.92402935,0.7600131,0.7504652,0.9265622,0.77519065,0.96249497,0.8704492,1.0477878,0.91925424,0.4817821,0.36289445,0.1723526,0.6824812,-0.01105888,-0.34505415,-0.17814036,-0.03531463
2024-02-14 23:24:27.500,0.71564305,0.9838495,0.98448575,0.7577069,0.7600131,0.7304727,0.9555739,0.9444177,0.96249497,0.60484374,1.0613112,1.1865307,0.4817821,0.37127733,0.22246422,0.6840704,-0.01105888,-0.36053798,-0.21069507,-0.12710166
2024-02-14 23:24:28.014,0.91139257,0.9709238,0.9099604,1.0024331,0.8548504,0.7232578,0.8642453,0.97650087,0.7735098,0.554533,0.8403428,1.2004018,0.5894412,0.46200985,0.31014284,0.7006217,-0.202344,-0.34038946,-0.27683812,-0.12254197
