TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-03 12:05:34.918,1.3738717,0.29146653,0.79482347,0.5891403,0.81955177,-0.32721004,0.43744045,0.44653904,1.0767477,-0.2614353,0.58805585,0.92485785,0.8172364,-0.22202972,0.6038509,0.30517784,0.051231347,-0.41736862,0.12276435,-0.1918823
2024-02-03 12:05:35.422,0.85328513,0.29146653,0.79482347,0.7288394,0.26790136,-0.32721004,0.43744045,0.46484396,0.82922286,-0.2614353,0.58805585,0.90848583,0.45002443,-0.22202972,0.6038509,0.24995872,0.1557897,-0.41736862,0.12276435,-0.22274971
2024-02-03 12:05:35.949,0.7519646,0.29146653,0.79482347,0.7358896,0.2579287,-0.32721004,0.43744045,0.38145012,0.9086207,-0.2614353,0.58805585,0.8361925,0.38568628,-0.22202972,0.6038509,0.22832645,0.102408536,-0.41736862,0.12276435,-0.19835363
2024-02-03 12:05:36.453,0.8084263,0.94390935,0.79482347,0.7793109,0.35347947,0.1260716,0.43744045,0.42160925,0.9320762,0.4517749,0.58805585,0.9163313,0.39613202,-0.026971318,0.6038509,0.18579799,-0.012775515,-0.47477105,0.12276435,-0.18494305
2024-02-03 12:05:36.964,0.73572206,0.86566806,0.79482347,0.76407933,0.33709604,0.14652568,0.43744045,0.43028226,0.9320762,0.4517749,0.58805585,0.8871609,0.35630706,-0.08177221,0.6038509,0.24909732,-0.08911509,-0.47127914,0.12276435,-0.11495759
2024-02-03 12:05:37.474,0.8602066,0.77683806,0.79482347,0.6812008,0.40330157,0.1452286,0.43744045,0.35419345,0.66472876,0.26130965,0.58805585,0.95981765,0.42430124,-0.11560882,0.6038509,0.2235715,-0.18108353,-0.46273676,0.12276435,-0.10643612
2024-02-03 12:05:37.989,1.1801069,0.77357006,0.79482347,0.5942072,0.74417526,0.120861106,0.43744045,0.42095786,0.93660897,0.03451941,0.58805585,0.9964447,0.566322,-0.22368729,0.6038509,0.2164686,-0.007234047,-0.44327313,0.12276435,-0.10067647
2024-02-03 12:05:38.504,1.1801069,0.69879574,0.79482347,0.5702669,0.74417526,-0.049245626,0.43744045,0.45353192,0.93660897,-0.015763264,0.58805585,1.082953,0.566322,-0.2927652,0.6038509,0.20853685,-0.007234047,-0.46314365,0.12276435,-0.10073264
2024-02-03 12:05:39.024,1.1801069,0.69879574,0.79482347,0.5599471,0.74417526,-0.049245626,0.43744045,0.45862085,0.93660897,-0.015763264,0.58805585,1.2758967,0.566322,-0.2927652,0.6038509,0.24323565,-0.007234047,-0.46314365,0.12276435,-0.07065018
2024-02-03 12:05:39.529,1.2673509,1.0706244,0.79482347,0.4809176,0.6236174,0.056519814,0.43744045,0.52510816,1.0078695,0.3471928,0.58805585,1.2631521,0.5248463,-0.11302535,0.6038509,0.2650931,0.27268842,-0.4534412,0.12276435,-0.04225932
2024-02-03 12:05:40.045,1.2827312,0.9110765,0.79482347,0.3289657,0.7471169,-0.019067762,0.43744045,0.5311671,1.081697,0.38443568,0.58805585,1.2624271,0.52278113,-0.08274593,0.6038509,0.24673156,0.2179643,-0.5098116,0.12276435,-0.08373452
2024-02-03 12:05:40.548,1.3004471,0.82417995,0.39903018,0.37217185,0.743758,0.11091873,0.14855227,0.53107923,1.081697,0.32729593,0.6159094,1.0321976,0.524137,-0.05240676,0.56761223,0.179527,0.20594475,-0.4653917,0.30932224,-0.17854282
2024-02-03 12:05:41.063,1.3004961,0.9768619,0.7365298,0.35387284,0.8600611,0.5482535,0.684144,0.23053898,1.0321281,0.33490372,1.1628907,1.1044883,0.5202899,-0.020128677,0.78967035,0.28045705,0.14164963,-0.42961574,0.40065092,-0.19706327
2024-02-03 12:05:41.564,1.3234903,1.1286042,0.77416074,0.42981935,0.908699,0.67109716,0.73616135,0.3146839,1.0136073,0.22365065,1.1628907,1.1507375,0.5214985,0.00472414,0.82091725,0.29063365,0.14104766,-0.3240454,0.4118806,-0.19748208
2024-02-03 12:05:42.069,1.3234903,1.2898206,0.9633213,0.50409764,0.908699,0.8123768,0.9351542,0.32762527,1.0136073,0.12332386,1.1628907,1.0806035,0.5214985,0.031048797,0.98886424,0.30485225,0.14104766,-0.31694552,0.49792066,-0.16879012
2024-02-03 12:05:42.569,1.0305113,1.2283745,0.9633213,0.48683557,0.8324963,0.74490845,0.9351542,0.44095087,0.9078982,0.023121482,1.1628907,1.080041,0.46691826,0.039868895,0.98886424,0.26583618,-0.080990314,-0.25087506,0.49792066,-0.13222697
2024-02-03 12:05:43.071,1.0625881,0.28550926,0.9633213,0.42132273,0.87354815,-0.06788699,0.9351542,0.32862622,1.0486097,0.040465225,1.1628907,0.64843386,0.60921043,0.115347095,0.98886424,0.30037975,0.13561496,-0.19415049,0.49792066,-0.1290792
2024-02-03 12:05:43.581,1.3415858,0.26866212,0.9633213,0.4024475,1.006159,0.17143576,0.9351542,0.22690076,1.0881417,0.15688702,1.1628907,0.7171801,0.63283896,0.042482007,0.98886424,0.4507654,0.22866185,-0.40142477,0.49792066,-0.17927332
2024-02-03 12:05:44.096,1.3881781,0.39713153,0.9633213,0.5776947,0.946128,0.05734449,0.9351542,0.51069385,0.9789932,0.16547212,1.1628907,1.1374294,0.59979224,0.08043721,0.98886424,0.4901791,0.25253436,-0.4102731,0.49792066,-0.13546702
2024-02-03 12:05:44.612,1.2497001,0.51577425,0.9633213,0.6581611,0.90251064,0.11896619,0.9351542,0.6624163,1.0562956,0.2398697,1.1628907,1.1374294,0.5265859,0.023408823,0.98886424,0.44100124,0.19819124,-0.5554215,0.49792066,-0.08733336
2024-02-03 12:05:45.128,0.91903436,0.75373834,0.9633213,0.5860452,0.7483819,-0.07716642,0.9351542,0.80274296,1.048455,0.17683864,1.1628907,1.1334512,0.52287716,0.047203474,0.98886424,0.38732177,0.15193273,-0.54364085,0.49792066,-0.047268555
2024-02-03 12:05:45.635,1.0087618,0.8032416,0.58383113,0.50274926,0.72006214,-0.10549074,0.24345385,0.64178365,1.0243073,0.16544618,0.14749874,0.8079193,0.53928375,0.0053225174,0.51726294,0.37073493,0.14337052,-0.6088261,0.37182432,-0.11708651
2024-02-03 12:05:46.145,1.2514852,0.7403752,0.5623785,0.3776713,0.49657115,-0.17316723,0.22307378,0.5415733,0.5891289,0.00018742742,0.19631505,0.7081909,0.5055362,0.022855666,0.55034673,0.41438243,0.027603406,-0.5372043,0.377183,-0.14321354
2024-02-03 12:05:46.660,1.1978804,0.58069044,0.58362424,0.59753877,0.7014648,-0.11936732,0.23080696,0.14564753,0.78126425,0.011168698,0.20501806,0.5745543,0.39615524,-0.11017463,0.60788834,0.36700273,0.18365777,-0.4556923,0.373267,-0.070546046
2024-02-03 12:05:47.161,0.5214888,0.41342187,0.4192632,0.6889311,0.70056397,0.04994181,0.029432414,0.3102214,0.859742,0.11870976,0.30014274,0.6789754,0.34719485,-0.17751275,0.5585249,0.16553466,0.21648702,-0.46009904,0.22912002,-0.05608541
2024-02-03 12:05:47.672,0.5728511,0.36080825,0.36139074,0.5834017,0.5507518,0.12481628,-0.07068622,0.3116181,0.859742,0.12368679,0.28611517,0.8607293,0.31071055,-0.17859922,0.53042513,0.15854901,0.10748603,-0.5219933,0.1210082,0.016064283
2024-02-03 12:05:48.179,0.55163294,0.036856174,0.34495577,0.46966562,0.42931628,0.19532786,-0.086402155,0.37485415,0.8650889,0.049757008,0.33374637,0.90161026,0.2871094,-0.02652334,0.53602964,0.2553191,0.014539571,-0.53304344,0.09854548,-0.06896832
2024-02-03 12:05:48.698,0.85644543,-0.067459695,0.2500565,0.33760267,0.39881614,0.18617302,0.08767447,0.3317742,0.553558,0.11204061,0.23559402,0.90161026,0.27149495,-0.035917073,0.45533013,0.34125683,-0.22168636,-0.47483093,0.10983744,-0.08194085
2024-02-03 12:05:49.217,0.97774,-0.017305208,0.18453945,0.43550402,0.55422574,0.07401036,-0.013561023,0.41343918,0.48889482,0.15600817,0.30475312,0.89639026,0.29232967,-0.09831722,0.4365885,0.40775377,-0.28377098,-0.49742946,0.18039386,-0.09264331
2024-02-03 12:05:49.723,1.1302549,0.17569679,0.11485609,0.5130048,0.8095014,-0.08397294,-0.028480252,0.3936839,0.57947046,0.10641967,0.19746168,0.7583226,0.4375825,-0.24492133,0.3793922,0.32777,-0.23745897,-0.6088879,0.18525365,-0.13369086
2024-02-03 12:05:50.245,1.2939621,0.29017308,0.09111979,0.49509397,0.9100843,-0.2033475,0.12837762,0.39833042,1.0197256,0.12518689,0.17446333,0.9963511,0.5594974,-0.24543256,0.37172234,0.24668938,0.16893412,-0.64038146,0.19432546,-0.10995639
2024-02-03 12:05:50.749,1.1646408,0.32633382,0.05975721,0.4552148,0.7963945,-0.1537528,0.31902993,0.4098356,1.1512166,0.13588056,0.220741,1.1143204,0.49541894,-0.16461864,0.43083575,0.27054575,0.19965543,-0.57318014,0.14035356,-0.09949278
2024-02-03 12:05:51.273,0.9638857,0.48672774,0.20736134,0.6409895,0.6416427,0.025285888,0.33846062,0.49002528,1.1791021,0.14960992,0.18123911,1.1498475,0.47718263,-0.09338672,0.464058,0.33174947,0.21620257,-0.5159822,0.15671667,-0.012892356
2024-02-03 12:05:51.774,0.6384719,0.4601682,0.2598188,0.6352889,0.48143774,0.012236125,0.30962768,0.4560752,1.1938559,0.24715479,0.5634145,1.1341639,0.47620273,-0.045634896,0.4201243,0.3063986,0.095909156,-0.5699369,0.21400182,-0.05120316
2024-02-03 12:05:52.298,0.5239821,0.63348484,0.34748486,0.5806211,0.40733978,0.026333822,0.27436563,0.28971893,1.0176024,0.2900034,0.6976253,0.95774204,0.48582384,-0.05583513,0.39788103,0.31749803,0.03525919,-0.5426333,0.2435726,-0.07855094
2024-02-03 12:05:52.824,0.53222865,0.66832817,0.34814206,0.32213762,0.37860885,-0.13864249,0.31019843,0.070830256,0.92040366,0.31957576,0.72716516,1.0263394,0.48475966,-0.053044584,0.4232566,0.26218602,0.04809516,-0.61970603,0.29813895,-0.16277003
2024-02-03 12:05:53.331,0.5967725,0.72630215,0.61974114,0.52928203,0.48841006,0.10250061,0.29541516,0.26909488,0.8671832,0.30666935,0.75898176,1.0489299,0.4891035,-0.09964141,0.45136157,0.23465368,0.077660404,-0.5665292,0.2811463,-0.15234703
2024-02-03 12:05:53.853,1.0046569,0.67889,0.66468763,0.64895624,0.633244,0.14150818,0.29111993,0.41962966,0.9586815,0.3462734,0.7406805,1.0467899,0.50883955,-0.1748098,0.4011773,0.077481695,0.09019323,-0.53890157,0.3112278,-0.18100251
2024-02-03 12:05:54.360,1.0877666,0.5362021,0.7505862,0.5781767,0.59017026,0.1390989,0.2405062,0.39305642,1.0303005,0.38234764,0.5653431,1.003042,0.46158642,-0.24369791,0.4014684,0.2239305,0.08902201,-0.48194194,0.29717493,-0.1725305
2024-02-03 12:05:54.889,1.0855742,0.36763337,0.5360425,0.25397047,0.576937,-0.052370816,0.086108,0.34573612,1.1537131,0.37243888,0.5291074,0.570607,0.3074011,-0.27406666,0.44152704,0.22147411,0.06916379,-0.46687767,0.37036926,-0.21688867
2024-02-03 12:05:55.402,0.84587955,0.15714896,0.46741062,0.2714282,0.4950368,-0.17773642,0.074428804,0.37286386,1.1817243,0.3292381,0.28261936,0.87556744,0.210906,-0.22015071,0.4650163,0.19351237,-0.050931904,-0.4544061,0.37417638,-0.23911923
2024-02-03 12:05:55.925,0.67091006,0.2903304,0.32089356,0.33614832,0.5744537,0.0267189,0.05980644,0.3516208,1.3717072,0.19025157,0.31871668,1.1833583,0.35473737,-0.14536412,0.5137883,0.21080154,-0.116075955,-0.43325052,0.31481814,-0.2460382
2024-02-03 12:05:56.440,0.8838813,0.44093925,0.29922447,0.75061816,0.6572747,0.09760349,0.17705692,0.32769582,1.322528,0.19129755,0.31140617,1.2069509,0.5004557,-0.09796485,0.5307823,0.31034976,-0.018015226,-0.41932997,0.23449628,-0.087648764
2024-02-03 12:05:56.956,0.950509,0.3884708,0.32707733,0.9533063,0.7078445,0.26425213,0.0067057204,0.42154905,1.3168098,0.11886732,0.2180493,1.1806906,0.5592348,-0.064027034,0.5661922,0.3974073,0.110284775,-0.52448386,0.07007433,0.053842116
2024-02-03 12:05:57.461,0.93463296,0.41483632,0.5108889,0.97570735,0.63316435,0.27464187,-0.3772248,0.41196227,1.036577,0.094721206,0.22672187,1.0176804,0.50813854,-0.06882842,0.5256437,0.42839608,0.06694573,-0.54692316,0.12983112,0.06726244
