TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-15 21:47:57.141,0.53401965,0.72894955,0.45719466,0.6070757,0.19903283,0.0643426,-0.11329962,0.32436997,0.57804793,0.12314465,0.30154207,0.53939426,0.23700652,0.10618096,0.030846797,0.21420923,0.02916521,-0.47377405,-0.3389903,-0.07219521
2024-02-15 21:47:57.650,0.39981258,0.62096953,0.2583075,0.32195142,0.19476502,-0.011365773,-0.071688436,0.11584163,0.5362634,0.119017884,0.2677595,0.5768291,0.19463669,0.10460867,0.044876512,0.21551527,-0.12829621,-0.55517864,-0.6161349,-0.073370285
2024-02-15 21:47:58.161,0.45580617,0.5336141,0.089531094,0.3688624,0.33212763,-0.052101783,-0.13671057,0.22611411,0.61226815,0.03571699,0.11182759,0.73885727,0.18717608,0.09738939,0.06297516,0.3327453,-0.2123216,-0.43218163,-0.5451137,-0.092173174
2024-02-15 21:47:58.696,0.45317677,0.3098507,0.041491814,0.41900498,0.3434804,-0.0636209,-0.16207214,0.33667573,0.58574235,0.047889292,-0.0075626955,0.7705111,0.1289702,0.049283512,-0.033420995,0.35201275,-0.29441524,-0.3826788,-0.5556203,-0.20757833
2024-02-15 21:47:59.249,0.52247643,0.2651608,0.01637441,0.66209185,0.27130193,0.006446416,-0.3454837,0.44908053,0.6293555,0.19696665,0.123575464,0.7507326,0.1612636,-0.02886446,-0.10236424,0.32142442,-0.23749894,-0.33952615,-0.3418,-0.18311754
2024-02-15 21:47:59.764,0.42209727,0.12909424,-0.050780848,0.67852277,-0.058975697,-0.079737134,-0.31543705,0.4177697,0.6808717,0.20281824,0.0726903,0.67588377,0.15635307,0.033563614,-0.20990539,0.22779664,-0.22046062,-0.46061325,-0.25521114,-0.19485888
2024-02-15 21:48:00.273,0.37310645,0.06416048,0.006817747,0.8330134,0.0022671237,-0.13593456,-0.3373413,0.3611746,0.83685106,0.21302058,0.2384396,0.54825425,0.22363698,0.010254045,-0.005980055,0.17449853,-0.2678864,-0.4900895,-0.22642854,-0.11280109
2024-02-15 21:48:00.785,0.20394644,0.2721285,0.034108106,0.8091975,0.12059722,-0.1302328,-0.023376413,0.29866958,0.8420408,0.09828317,0.17518474,0.54825425,0.2947513,0.108389266,0.110603936,0.18706225,-0.23924755,-0.48477823,-0.40493768,-0.14520058
2024-02-15 21:48:01.336,0.39864922,0.3475698,0.040591013,0.18946339,0.24822387,-0.007222385,0.016220657,0.2141715,0.8324249,0.12706397,0.15972377,0.34090582,0.31553623,0.088140644,0.14590749,0.31406796,-0.20116709,-0.5024822,-0.5774115,-0.079186976
2024-02-15 21:48:01.854,0.5072357,0.51065254,0.22203223,0.19877353,0.27187383,0.0155389495,0.051958382,0.17436111,0.8122847,0.21532372,0.041207194,0.345702,0.33399662,0.15325464,-0.010724271,0.3024883,-0.048621085,-0.53290933,-0.5600364,-0.090469725
2024-02-15 21:48:02.386,1.1460202,0.39031142,0.2936102,0.16518517,0.6909308,-0.010948503,0.04082896,0.13535444,0.7027468,0.18124256,-0.010629295,0.33699903,0.39119858,0.16957377,-0.10677002,0.34298924,0.074684605,-0.5883979,-0.4257525,-0.15145625
2024-02-15 21:48:02.925,0.91783935,0.5007999,0.2945144,0.12221735,0.5865318,-0.16581573,0.027232943,0.061989915,0.7789934,0.16816306,0.051526085,0.33699903,0.35482335,0.14418913,-0.10838458,0.342454,0.04361778,-0.47405428,-0.42643917,-0.17048183
2024-02-15 21:48:03.437,0.7195761,0.42417133,0.16052249,0.12221735,0.42189905,-0.22204186,0.051538024,0.061989915,0.8185548,0.19268858,0.047987103,0.33699903,0.26245868,0.063411675,-0.1558216,0.342454,-0.0715655,-0.41614655,-0.41945255,-0.17048183
2024-02-15 21:48:03.978,0.31805408,0.38256982,-0.0067490665,0.12221735,0.3185433,-0.0055983444,0.012560374,0.061989915,0.6064506,0.25148317,-0.072243065,0.33699903,0.14729777,0.064737186,-0.14764327,0.342454,-0.21798667,-0.38758102,-0.51284426,-0.17048183
2024-02-15 21:48:04.507,0.26272163,0.19387335,-0.25767177,0.12221735,0.32000333,0.036251556,-0.086617686,0.061989915,0.6339304,0.24699417,0.17814954,0.33699903,0.14763026,0.124143705,-0.08888076,0.342454,-0.29339007,-0.45372173,-0.41431722,-0.17048183
