TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-21 18:18:45.265,0.5777176,0.1368535,0.14995018,0.6380664,0.3712349,-0.29740512,-0.24693248,0.4240059,1.0207775,0.24069631,0.3010921,1.2411684,0.6412913,1.2150244,0.7652611,0.49930537,0.059658047,0.93925077,0.60235167,0.23282103
2024-02-21 18:18:45.778,0.48028484,0.070427515,0.020226812,0.62357706,0.37419742,-0.2719306,-0.09595216,0.5438337,1.0202454,0.26148456,0.26779532,1.2264812,0.5470475,1.1053878,0.7326103,0.4081802,0.23568675,0.8340538,0.6250626,0.13967471
2024-02-21 18:18:46.308,0.42855603,0.050422452,0.3005058,0.5013372,0.50034386,-0.12628777,0.06404113,0.7193315,0.90476763,0.353562,0.22575504,1.2264812,0.468349,1.1377298,0.6422418,0.43936285,0.3074921,0.7386808,0.60636204,0.13338538
2024-02-21 18:18:46.823,0.36989617,0.069585666,0.5749669,0.59408915,0.50830626,-0.0707704,0.050416954,0.6838083,0.8357875,0.34167004,0.21272767,1.0347166,0.39574105,1.224438,0.66812956,0.47857928,0.2916101,0.7320514,0.6733212,0.1457497
2024-02-21 18:18:47.331,0.29565316,0.13106756,0.6349811,0.519244,0.5112352,0.11002619,0.0466807,0.6635112,1.1600901,0.3909619,0.1808112,1.1706854,0.49399814,1.3183625,0.7155841,0.61730045,0.17055856,0.6662262,0.612221,0.08317154
2024-02-21 18:18:47.840,0.18262757,0.25649226,0.58320975,0.50043005,0.36877605,-0.069929495,-0.008112476,0.39424437,1.1657342,0.25590324,0.20912196,1.1704397,0.51269835,1.1571444,0.7588252,0.616517,0.045899738,0.68321073,0.65044034,0.12797068
2024-02-21 18:18:48.370,0.29112706,0.2406347,0.26476574,0.47216037,0.48109704,-0.11042439,-0.022267163,0.3070446,1.1826046,0.32768658,0.29422423,1.1712232,0.51499844,1.2282385,0.7358684,0.60727185,-0.045676913,0.689965,0.5696474,0.03287757
2024-02-21 18:18:48.880,0.5910637,0.27230626,0.17605895,0.75153756,0.49726275,-0.17665306,-0.08352962,0.24339873,0.8259705,0.29177865,0.26712695,0.8548596,0.47933203,1.2448617,0.6405471,0.51029176,0.0076024826,0.6947023,0.5906743,0.062793456
2024-02-21 18:18:49.401,0.7255256,0.20706914,-0.14481509,0.8829539,0.55551666,-0.204875,-0.17442746,0.29948685,0.763465,0.15278369,0.17515434,0.7873039,0.50916916,1.3428518,0.61964023,0.5595537,0.04877381,0.7031663,0.53264546,-0.029049184
2024-02-21 18:18:49.934,0.85735124,0.20706914,-0.20071255,1.1379834,0.47091302,-0.204875,-0.24350597,0.4441322,0.62483704,0.15278369,0.15233186,0.7974334,0.55343676,1.3428518,0.52324814,0.48248073,0.09953716,0.7031663,0.51641804,0.06459108
2024-02-21 18:18:50.453,0.8586836,0.20706914,-0.20071255,0.96688867,0.4251481,-0.204875,-0.24350597,0.644817,0.73936355,0.15278369,0.15233186,0.7491816,0.6145444,1.3428518,0.52324814,0.5766171,0.20554459,0.7031663,0.51641804,0.3817935
2024-02-21 18:18:50.973,0.7011919,0.20706914,-0.20071255,0.756042,0.50486326,-0.204875,-0.24350597,0.6650217,0.7537665,0.15278369,0.15233186,0.76899457,0.66373634,1.3428518,0.52324814,0.6233538,0.24954402,0.7031663,0.51641804,0.3192157
2024-02-21 18:18:51.482,0.7493549,0.20706914,0.26430652,0.6863552,0.4787182,-0.204875,-0.21245702,0.567688,0.73556066,0.15278369,0.16318454,0.652595,0.6557537,1.3428518,0.80644447,0.6903724,0.21492073,0.7031663,0.08040855,0.25211343
2024-02-21 18:18:52.001,0.74600744,-0.029902639,0.26567823,0.5905604,0.5232133,-0.064412825,-0.28432232,0.53852654,0.7570099,0.097458266,0.25388166,0.8066137,0.5937746,1.2073016,0.7286793,0.6274144,0.20850423,0.9129698,0.28058222,0.14649118
2024-02-21 18:18:52.511,0.7984525,-0.08599304,0.14748013,0.5594491,0.46939555,0.03782575,-0.33365062,0.38362196,0.69774497,0.05636545,0.25156757,0.91602504,0.44876882,1.2380315,0.8275256,0.6130222,0.23075114,0.94231796,0.33133307,0.087844424
2024-02-21 18:18:53.044,0.76333356,-0.050731532,0.1153211,0.77170396,0.5030321,-0.07278161,-0.051244397,0.64344364,0.73214275,0.13705243,0.16180316,0.91712064,0.37318033,1.1886982,0.83696496,0.591088,0.32794842,0.9007822,0.44839072,0.113937505
2024-02-21 18:18:53.552,0.8754292,0.20215389,0.08591635,1.0396175,0.70459014,-0.043946326,-0.017034974,0.8697101,0.8521491,0.1310981,0.056626856,1.0541892,0.38478377,1.1903471,0.84193754,0.6704219,0.33454624,0.86370695,0.4587744,0.17209429
2024-02-21 18:18:54.080,0.9715685,0.1946219,0.027425716,1.0701956,0.9185384,-0.12747607,-0.010520248,0.92856425,0.8490128,0.11195974,0.061025996,0.9727297,0.47877675,1.2134503,0.73208714,0.71229094,0.27956012,0.7773148,0.6103913,0.23314196
2024-02-21 18:18:54.608,0.97158855,0.2844392,-0.045632463,1.0510468,0.9298131,-0.16459553,-0.22632529,0.8908523,0.8686083,0.23249255,0.079836614,0.9797155,0.49356776,1.2799573,0.71626,0.67373,0.21995753,0.65109533,0.66093105,0.25897625
2024-02-21 18:18:55.152,0.9427804,0.1427496,-0.17542377,0.94366896,0.81983477,-0.34913075,-0.009285609,0.74281126,0.84889066,0.18759184,0.23689674,0.9134562,0.5478369,1.2251992,0.7265841,0.633512,0.20157395,0.5176731,0.6786049,0.24670614
2024-02-21 18:18:55.678,0.8384141,0.17451371,-0.0020961324,0.9270343,0.59974724,-0.3986478,0.06497959,0.6857188,0.5453399,0.124361746,0.22061393,0.5826949,0.48796016,1.1722884,0.71110076,0.5158118,0.13941403,0.65447086,0.57753426,0.10943895
2024-02-21 18:18:56.181,0.9094149,0.0003675422,-0.023383448,0.8740388,0.5998664,-0.27218,0.060666703,0.55352944,0.4674395,0.09294445,0.2528264,0.5032293,0.50700986,1.1472757,0.6963076,0.4801745,0.061338764,0.8479184,0.5414715,0.07092
2024-02-21 18:18:56.719,0.81876194,-0.022724912,-0.024200598,0.7642778,0.7062481,-0.024916723,-0.09979572,0.6548078,0.4408649,0.1322207,0.20797652,0.5269291,0.45703176,1.1944761,0.7629666,0.49482393,0.031677417,0.88557166,0.62753767,0.11404155
2024-02-21 18:18:57.247,0.93705106,0.08056318,-0.11361953,0.86354756,0.62104505,0.025357705,-0.15509711,0.6439688,0.37330675,0.19361235,0.16815798,0.5622028,0.53128225,1.2180039,0.7978058,0.5461008,0.12644908,0.82699084,0.66700655,0.17481756
2024-02-21 18:18:57.789,0.80945826,0.2102832,0.0066345413,0.8613735,0.6975205,0.03726821,0.046143916,0.7086097,0.93337756,0.2692847,0.30130133,0.93499136,0.50150436,1.2553641,0.8123709,0.5567258,0.15412287,0.82368815,0.63828003,0.24512662
2024-02-21 18:18:58.333,0.815928,0.22606017,0.16927904,0.97371274,0.70160836,-0.23843558,0.1599374,0.6853814,0.9523109,0.1908293,0.42194763,0.9651594,0.4963981,1.264907,0.78056514,0.5937104,0.23504229,0.89052147,0.7077864,0.25013885
2024-02-21 18:18:58.855,0.7581463,0.28713873,0.18379074,0.98143196,0.76972306,-0.24825108,0.16548137,0.77847916,0.94890434,0.1908293,0.41843092,0.937783,0.46775642,1.3040844,0.8256808,0.5606283,0.27307916,0.93959844,0.8623632,0.30420184
2024-02-21 18:18:59.361,0.89532924,0.031449392,0.13220555,1.0970262,0.59420013,-0.4026571,-0.10707726,0.72420865,0.73246926,0.08101234,0.38671446,0.9526094,0.58104837,1.149112,0.9035093,0.6513858,0.28786477,0.922144,0.93501776,0.25900316
2024-02-21 18:18:59.884,0.94939905,0.02931704,0.0055005024,1.0481141,0.35395056,-0.21839136,-0.12628044,0.5814672,0.7088977,0.24422312,0.19142593,0.8313074,0.68214756,1.2727238,1.0038815,0.7511806,0.26608095,0.96573865,0.8825845,0.270355
2024-02-21 18:19:00.410,0.9131136,0.05906845,0.005931441,0.98654914,0.24970676,-0.09919589,-0.03337404,0.54109687,0.70924795,0.2428106,0.17979403,0.8475917,0.734836,1.2184061,1.017149,0.7594688,0.24243607,0.9388125,0.8442309,0.26751792
2024-02-21 18:19:00.930,0.7138991,0.08286047,-0.050685093,0.835912,0.18654461,-0.02610751,0.038685825,0.49623322,0.65897346,0.2931268,0.14412202,0.8586726,0.62037855,1.1699368,0.94398093,0.6326616,0.20857777,0.8931773,0.8038836,0.22585443
2024-02-21 18:19:01.473,0.68616676,-0.034346744,-0.21512522,0.89722925,0.1774978,-0.114413686,0.02169532,0.46014696,0.6211281,0.2667899,0.4346381,0.87669283,0.53664166,1.0596471,0.86495423,0.5712504,0.18882015,0.9036347,0.7582376,0.22116348
2024-02-21 18:19:02.019,0.70056134,-0.2837101,-0.16601935,0.91449565,0.13957174,-0.43301478,-0.1439485,0.38364542,0.8405316,0.1938822,0.47998184,0.9467123,0.49312666,1.1443139,0.78605413,0.5434198,0.25148973,0.8995763,0.70254856,0.22422397
2024-02-21 18:19:02.561,0.88815707,-0.2918627,-0.044967756,1.0097457,0.21420892,-0.6696231,-0.19751626,0.23309423,1.1346834,0.2166002,0.48464882,0.9433566,0.5753933,1.1867443,0.826126,0.7083971,0.29240146,0.8811917,0.6259997,0.26550162
2024-02-21 18:19:03.089,0.98169225,-0.08409443,0.08094706,1.2146126,0.23814005,-0.5824812,-0.23371536,0.26950532,1.1313701,0.21853113,0.24716783,0.86260915,0.62738687,1.1509879,0.8777283,0.7357601,0.2687291,0.86784637,0.6088949,0.22124533
2024-02-21 18:19:03.629,1.0485004,0.042199325,0.029140487,1.1643943,0.3090157,-0.35835883,-0.096865095,0.450932,1.1353775,0.19055806,0.16084741,0.68566304,0.5957187,1.1588705,0.94630575,0.65916973,0.17874318,0.885586,0.5935153,0.11977649
2024-02-21 18:19:04.169,0.8402861,0.08061933,-0.123504214,0.8780364,0.40392908,-0.08786407,-0.05744994,0.6367569,0.69287956,0.15690272,0.03932359,0.4269113,0.6471617,1.2476431,0.98299176,0.6415638,0.115913175,0.8661544,0.63657016,-0.05993492
2024-02-21 18:19:04.700,0.62560236,0.22386031,-0.20092916,0.72457844,0.4347394,0.011199873,-0.1430232,0.6127805,0.7466736,0.28357664,0.09244898,1.0933417,0.6070545,1.3312562,0.9809634,0.576078,0.19146088,0.75699985,0.63679564,0.105630465
2024-02-21 18:19:05.239,0.21105373,0.25229466,-0.143015,0.61902285,0.41251704,0.027895432,-0.13694471,0.7403575,0.87108535,0.3106138,0.17308776,1.1572003,0.5323158,1.3353615,0.8708568,0.5599571,0.19361755,0.7315916,0.6544004,0.23988786
