TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-10 11:41:11.127,0.2264622,-0.24600182,0.7747154,0.36787635,0.05684918,0.030832523,0.5633181,0.22682332,1.1322267,0.15753636,0.67661345,0.94299906,0.36016172,0.18354991,0.47391406,0.2502517,0.14668468,-0.030730544,0.19342121,0.1712648
2024-02-10 11:41:12.152,0.35104626,-0.046337258,0.52938616,0.37534973,0.15040857,-0.02337922,0.3964657,0.10562655,1.1512339,-0.01500009,0.72438234,0.87852377,0.367074,0.08913904,0.5555194,0.21412693,0.16096805,0.03758797,0.31745237,0.2201623
2024-02-10 11:41:13.175,1.1126591,0.38529855,0.5899548,0.17492639,0.82487106,-0.068227656,0.34185946,-0.15320247,0.9194463,0.014227263,0.6538657,0.50545865,0.5177861,0.1326932,0.5038113,0.29171067,0.06889913,-0.009926586,0.34761384,0.16063718
2024-02-10 11:41:14.194,0.7021965,-0.039655264,0.84345806,0.9017295,0.28657803,-0.22016914,0.26167655,0.19902998,0.8139322,-0.024207428,0.44706765,0.657707,0.3080352,0.20992644,0.54801357,0.5200667,-0.09944107,-0.16198117,0.1533039,0.14137629
2024-02-10 11:41:15.211,0.19757685,-0.26027414,0.8098726,-0.0066665513,0.30437177,-0.45434088,0.31335735,0.15187441,0.92326796,-0.076599024,0.4898211,0.859932,0.38364398,0.08278422,0.53301257,0.33437756,0.09622263,-0.11687907,0.027856464,0.18479401
2024-02-10 11:41:16.232,0.04235831,-0.50390434,0.8071498,0.06814724,0.28830338,-0.43231276,0.33486855,0.024294736,0.8583708,-0.0665629,0.38072565,0.78328985,0.3718602,0.17117526,0.4451635,0.4169995,0.39838263,0.016568953,0.22072248,0.3307644
2024-02-10 11:41:17.243,0.13285865,-0.4279923,0.64606774,0.2557074,0.03934881,-0.21547392,0.22711727,0.15995756,0.5021477,-0.13387297,0.5004346,0.5521526,0.39978233,0.105010435,0.4478473,0.33448437,0.34593925,0.08368984,0.16676694,0.28943387
2024-02-10 11:41:18.261,0.17971756,-0.25703886,0.6794873,0.14790456,-0.11923397,-0.4245687,0.40035078,-0.08002815,0.59028935,0.08006461,0.790327,0.5452905,0.38612872,-0.05013403,0.45617428,0.40991765,0.1829259,-0.10221385,0.14487323,0.30377442
2024-02-10 11:41:19.286,0.24346419,-0.15754691,0.55213547,0.25112897,0.14695881,-0.32437873,0.27729222,0.06686734,0.39934665,0.13849099,0.7842732,0.5673235,0.3584759,-0.041975137,0.53324854,0.3332481,0.23871425,-0.1584396,0.12988633,0.4093534
2024-02-10 11:41:20.308,0.61480355,0.26848564,0.38615537,0.7809758,0.2352033,-0.18960802,0.19101141,0.22303188,0.49717528,0.110645324,0.70057386,0.53017694,0.28147337,0.037976347,0.47841245,0.46656236,0.1663427,-0.09824396,0.10829305,0.38820478
