TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-13 23:26:16.209,0.68575406,-0.078733444,-0.5552279,1.672983,0.5972502,-0.034017246,0.26001304,1.6897085,0.63375616,0.61410886,0.7044191,1.3649979,0.9890263,1.1589885,1.7091402,1.1826787,0.7191016,1.1389943,1.6569023,1.0851038
2024-02-13 23:26:16.737,0.69500446,-0.16439144,-0.5552279,1.672983,0.584401,-0.08424575,0.26001304,1.6897085,0.5462811,0.61285424,0.7044191,1.3649979,1.0470451,1.221431,1.7091402,1.1826787,0.74345064,1.1718892,1.6569023,1.0851038
2024-02-13 23:26:17.289,0.62773293,-0.11818366,-0.5552279,1.672983,0.44091132,-0.11586249,0.26001304,1.6897085,0.26487482,0.20364468,0.7044191,1.3649979,1.1910406,1.3639129,1.7091402,1.1826787,0.8825724,1.2318721,1.6569023,1.0851038
2024-02-13 23:26:17.836,0.62773293,-0.07560917,-0.5552279,1.672983,0.44091132,-0.09572625,0.26001304,1.6897085,0.26487482,0.10744718,0.7044191,1.3649979,1.1910406,1.435093,1.7091402,1.1826787,0.8825724,1.238982,1.6569023,1.0851038
2024-02-13 23:26:18.352,0.62773293,-0.07560917,-0.5552279,1.672983,0.44091132,-0.09572625,0.26001304,1.6897085,0.26487482,0.10744718,0.7044191,1.3649979,1.1910406,1.435093,1.7091402,1.1826787,0.8825724,1.238982,1.6569023,1.0851038
2024-02-13 23:26:18.873,0.62773293,-0.07560917,-0.5552279,1.672983,0.44091132,-0.09572625,0.26001304,1.6897085,0.26487482,0.10744718,0.7044191,1.3649979,1.1910406,1.435093,1.7091402,1.1826787,0.8825724,1.238982,1.6569023,1.0851038
2024-02-13 23:26:19.373,0.2652517,-0.07560917,-0.5552279,1.672983,0.19798037,-0.09572625,0.26001304,1.6897085,0.43971443,0.10744718,0.7044191,1.3649979,1.0808216,1.435093,1.7091402,1.1826787,0.92783403,1.238982,1.6569023,1.0851038
2024-02-13 23:26:19.895,0.32577467,0.24221218,-0.5552279,1.672983,0.4319488,-0.18040541,0.26001304,1.6897085,0.4589861,0.51853114,0.7044191,1.3649979,1.0816545,1.0383414,1.7091402,1.1826787,1.0017864,1.0762488,1.6569023,1.0851038
2024-02-13 23:26:20.434,0.28678814,0.24221218,-0.5552279,1.672983,0.47611523,-0.18040541,0.26001304,1.6897085,0.47508234,0.51853114,0.7044191,1.3649979,1.0511918,1.0383414,1.7091402,1.1826787,1.0548906,1.0762488,1.6569023,1.0851038
2024-02-13 23:26:20.958,0.31417775,0.24221218,-0.5552279,1.672983,0.51981527,-0.18040541,0.26001304,1.6897085,0.40342364,0.51853114,0.7044191,1.3649979,0.9815153,1.0383414,1.7091402,1.1826787,1.1119661,1.0762488,1.6569023,1.0851038
