TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-01-18 11:19:05.280,0.07423947,-0.037349816,0.63128525,0.22279643,0.62387466,0.2279265,0.038392,0.4617104,0.39411303,0.01939549,0.14511965,0.184508,0.10705227,-0.19695418,-0.25890127,0.38928366,-0.29876825,-0.74542344,-0.4995052,-0.4016486
2024-01-18 11:19:06.283,0.093782485,-0.2995697,-0.12841958,0.5877452,0.2562058,-0.41666904,-0.1366087,0.056701373,0.4054148,-0.21428189,-0.13670865,0.46138155,0.24050122,-0.07648032,-0.2866801,0.15452914,-0.1498948,-0.79677325,-0.5897321,-0.051401686
2024-01-18 11:19:07.305,0.11793064,-0.2069386,-0.4374607,0.45077154,0.34495434,-0.35170683,-0.22835244,0.3864594,0.5388392,0.006909457,-0.028916696,0.6970619,0.33150956,-0.12320332,-0.18378296,0.3260057,-0.10700518,-0.6176327,-0.39238346,-0.018238775
2024-01-18 11:19:08.332,0.20099747,-0.44890147,-0.38977,0.42025217,0.25346923,-0.44051474,-0.13103016,0.337804,0.6789601,0.035929687,-0.27205768,0.6151989,0.24383382,-0.13867806,-0.18746424,0.5061343,-0.16307864,-0.49772087,-0.438934,0.1387785
2024-01-18 11:19:09.340,0.27091116,-0.898671,-0.72289973,0.3195523,0.12201211,-0.5188272,-0.02562825,0.30078098,0.6388212,-0.24817863,-0.5355614,0.43353456,0.0881994,-0.17451186,-0.2679716,0.5249161,-0.30037314,-0.56790495,-0.6030362,0.060573
2024-01-18 11:19:10.349,0.022540377,-0.37921718,-0.13797294,0.06904615,0.4960677,-0.0494469,0.14587075,0.43253374,0.59275335,-0.024732832,0.16031826,0.63066995,0.16294904,-0.2110115,-0.25188094,0.32284385,-0.28068095,-0.47461343,-0.46083465,0.005805189
2024-01-18 11:19:11.370,0.32112086,-0.014899802,-0.43691176,0.26151714,0.4936686,-0.19986598,-0.02867892,0.4373541,0.4587686,-0.128409,0.122548684,0.5363716,0.14486772,-0.2570278,-0.21130778,0.33329892,-0.031027501,-0.4901006,-0.4694737,0.030822722
2024-01-18 11:19:12.381,0.4295,-0.008332163,0.0033860947,0.42888972,0.5727536,0.055240504,0.11008266,0.40326336,0.40969163,-0.33189052,0.12964842,0.5350872,0.03645816,-0.26795635,-0.20142852,0.18324105,0.0008162936,-0.62042665,-0.54427195,0.0580385
2024-01-18 11:19:13.410,0.3529092,0.123121694,-0.09322159,-0.18852945,0.24299438,-0.26146272,-0.51035124,0.22010536,0.35562038,0.008624259,-0.28053346,0.0710977,0.02846038,-0.1929006,-0.31132147,0.28536367,-0.1870709,-0.3571769,-0.4259322,-0.14410114
2024-01-18 11:19:14.415,0.09690481,-0.14162396,-0.26799905,0.054839868,0.19786459,-0.31580654,-0.30679935,0.3420704,0.7102108,-0.057593968,0.19112234,0.9508229,0.34200275,-0.23384783,-0.16716628,0.33355,-0.050601456,-0.45594573,-0.38964948,-0.17832541
2024-01-18 11:19:15.424,0.16175485,-0.06381493,-0.20357364,0.3177689,0.31827113,-0.16972329,-0.26787603,0.1475795,0.70622826,0.18347874,0.19289641,0.9390005,0.30841196,-0.23967645,-0.13849314,0.43621185,-0.10345556,-0.5740356,-0.5150728,-0.02999264
2024-01-18 11:19:16.445,0.27887973,-0.12390961,-0.19896907,0.45913815,0.4144001,-0.38991764,-0.23479997,0.33209202,0.433709,0.11518761,0.19388029,0.58305144,0.11143996,-0.20587449,-0.16389605,0.38388678,-0.21942535,-0.5066878,-0.44960204,-0.13981819
2024-01-18 11:19:17.459,0.44171393,-0.17480047,-0.02008153,0.505736,0.4755176,-0.36213833,0.0536444,0.3486654,0.5102837,-0.042795412,0.21496001,0.66252065,0.09564686,-0.11770501,-0.3160373,0.33161953,-0.13671656,-0.42993745,-0.3735922,-0.01634031
2024-01-18 11:19:18.463,0.6803726,-0.17634398,0.45020276,0.73445725,0.40009937,-0.19988398,0.39739546,0.5083017,0.44860548,-0.11200588,0.019465713,0.07469429,0.07968298,0.015149497,-0.39252698,0.27124208,-0.16828856,-0.45233935,-0.35178614,0.045643788
2024-01-18 11:19:19.500,-0.11318296,-0.6337306,0.18034782,0.10705602,5.764487e-05,-0.52246356,-0.19654077,0.020728989,0.582933,-0.106899254,0.13084494,0.45919397,0.10262495,-0.27518046,-0.21170413,0.29419348,-0.19827431,-0.6181359,-0.50477535,-0.16062781
2024-01-18 11:19:20.507,-0.156048,-0.3851918,0.042491294,0.019456984,0.012872246,-0.5770251,-0.18007521,-0.0758891,0.574322,-0.04266408,0.056759834,0.60181254,0.25111374,-0.14882237,-0.28151396,0.28419885,-0.17952314,-0.7036615,-0.6246515,-0.107217684
2024-01-18 11:19:21.536,0.12636583,-0.3619849,-0.14458686,-0.17910203,0.022928152,-0.38427454,-0.16636305,0.0153701315,0.58097416,-0.0327604,0.032156937,0.55493045,0.15357345,-0.11915179,-0.22080556,0.29431543,-0.06676099,-0.6069026,-0.5425356,-0.14642733
2024-01-18 11:19:22.547,0.49133414,-0.30288798,-0.15093248,0.16686831,0.14518994,-0.28536403,-0.054166853,0.21841644,0.598242,0.03908948,0.11871207,0.4824067,0.3108671,-0.16020235,-0.20509768,0.20654017,-0.12064023,-0.5090574,-0.45006567,-0.10482089
