TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-06 23:28:24.184,0.55276036,0.16180882,0.30758205,0.40765652,0.10863563,0.22193591,-0.08437085,0.17713681,0.37244675,0.13491593,0.37462032,0.40641898,0.48151842,-0.1676171,0.008210788,0.32806966,0.2501986,-0.49156174,-0.35014787,0.030044766
2024-02-06 23:28:24.689,0.5627748,0.8534941,0.57651806,0.37812105,0.10111496,0.24280858,-0.025020918,0.18796994,0.37054756,0.2063508,0.3570729,0.40641898,0.4735645,-0.07240261,-0.052270234,0.33565316,0.2242449,-0.4354417,-0.4456282,0.037851706
2024-02-06 23:28:25.204,0.60718244,1.0137359,0.6848844,0.3618131,0.2150455,0.2762449,-0.08654454,0.21198837,0.20572773,0.2063508,0.33362007,0.40515396,0.3831165,0.02594855,-0.023959763,0.38179582,0.27301082,-0.44575253,-0.5181681,0.055090472
2024-02-06 23:28:25.727,0.60718244,1.1510094,1.1304028,0.3618131,0.2150455,0.11300698,0.06275814,0.21198837,0.20572773,0.1978342,-0.100182675,0.40515396,0.3831165,0.04616143,-0.119948804,0.38179582,0.27301082,-0.50816697,-0.64803463,0.055090472
2024-02-06 23:28:26.242,0.60718244,0.8562002,1.1388067,0.3618131,0.2150455,0.27762,0.4359528,0.21198837,0.20572773,0.49507403,0.37503046,0.40515396,0.3831165,-0.0102609955,-0.059281953,0.38179582,0.27301082,-0.36707062,-0.20746958,0.055090472
2024-02-06 23:28:26.780,0.60718244,0.9888679,1.0953692,0.3618131,0.2150455,0.18434872,0.28111878,0.21198837,0.20572773,0.49975044,0.38139954,0.40515396,0.3831165,-0.08627771,-0.065591246,0.38179582,0.27301082,-0.41949344,-0.33173272,0.055090472
2024-02-06 23:28:27.316,0.60718244,0.8861317,0.88540494,0.54563063,0.2150455,0.1963635,0.14458193,0.25110808,0.20572773,0.5009645,0.45321557,0.64065146,0.3831165,-0.1682849,-0.049501903,0.33220312,0.27301082,-0.44782722,-0.35101858,0.09621162
2024-02-06 23:28:27.853,0.34946305,0.74512017,0.846967,0.5723058,0.41230318,0.18615216,-0.08955583,0.22474739,0.4345717,0.47672743,0.44178876,0.71651924,0.465357,-0.19216992,-0.11958957,0.34179935,0.32541096,-0.4112545,-0.46236548,0.08097376
2024-02-06 23:28:28.357,0.4613889,0.17995515,0.66110784,0.47945768,0.34439707,0.2498428,0.083578594,0.3182263,0.61579853,0.4681935,0.49858415,0.7189839,0.44201002,-0.18202417,-0.20514932,0.37270427,0.2653504,-0.40723744,-0.34880862,0.09624504
2024-02-06 23:28:28.870,0.58893204,0.2695266,0.61930597,0.5593647,0.5386073,0.17432696,0.0869089,0.55171454,0.7315504,0.40176705,0.4646063,0.73906845,0.5373678,-0.16506048,-0.2881259,0.49985772,0.3537535,-0.48093185,-0.24350747,0.23554215
2024-02-06 23:28:29.393,0.58257645,0.18017168,0.14438671,0.56761277,0.50408244,0.0137130255,-0.030651836,0.5258953,0.85083145,0.34378615,0.388025,0.64156073,0.56568354,-0.17244218,-0.15339659,0.46717176,0.37896538,-0.5653464,-0.20623869,0.30698752
2024-02-06 23:28:29.912,0.5448916,0.40252244,0.13021363,0.65939224,0.55800253,-0.09720387,-0.29460296,0.50546265,0.8111286,0.26191258,0.026093269,0.58555543,0.62352586,-0.07048946,-0.11414621,0.47931394,0.45599276,-0.46430874,-0.2770983,0.36399582
2024-02-06 23:28:30.430,0.33731627,0.67402226,0.24054013,0.57376564,0.07532559,-0.081316374,-0.27174154,0.08981105,0.77252376,0.19323714,-0.090804435,0.18903872,0.5646391,-0.042283602,-0.028630206,0.2954144,0.40283006,-0.33151874,-0.36827904,0.32392424
2024-02-06 23:28:30.968,0.2954177,0.85557985,0.44010353,0.54788774,-0.055670723,-0.062106095,-0.0974671,-0.12939987,0.6779159,0.24873254,-0.26279417,-0.14586712,0.5132072,-0.038460176,-0.07302133,0.31277665,0.42517716,-0.30671102,-0.59905654,0.4031435
2024-02-06 23:28:31.472,0.2954177,0.8111781,0.9699546,0.54788774,-0.055670723,-0.13108103,0.050689563,-0.12939987,0.6779159,0.2280647,0.21620521,-0.14586712,0.5132072,-0.05131467,0.10597792,0.31277665,0.42517716,-0.34082842,-0.3913614,0.4031435
2024-02-06 23:28:31.994,0.2954177,0.5339968,1.0921563,0.54788774,-0.055670723,-0.003818369,0.22948293,-0.12939987,0.6779159,0.3429326,0.32819772,-0.14586712,0.5132072,-0.05561899,0.08317324,0.31277665,0.42517716,-0.39074224,-0.4095829,0.4031435
2024-02-06 23:28:32.545,0.2954177,0.36617246,1.1060646,0.54788774,-0.055670723,0.14483257,0.2515054,-0.12939987,0.6779159,0.40444624,0.2558358,-0.14586712,0.5132072,-0.08123464,0.020959446,0.31277665,0.42517716,-0.40091702,-0.3820836,0.4031435
2024-02-06 23:28:33.077,0.2954177,0.48391938,1.1193386,0.54788774,-0.055670723,0.25694743,0.21971816,-0.12939987,0.6779159,0.42505038,0.15276985,-0.14586712,0.5132072,-0.112876795,-0.074698634,0.31277665,0.42517716,-0.39724132,-0.3623766,0.4031435
2024-02-06 23:28:33.593,0.2954177,0.49588493,1.1097202,0.54788774,-0.055670723,0.21679369,0.040005278,-0.12939987,0.6779159,0.35083795,0.11669781,-0.14586712,0.5132072,-0.08933908,-0.21690956,0.31277665,0.42517716,-0.3206183,-0.33653474,0.4031435
2024-02-06 23:28:34.116,0.2954177,0.4369019,1.0162909,0.54788774,-0.055670723,0.058585893,-0.21546136,-0.12939987,0.6779159,0.27388477,0.023775103,-0.14586712,0.5132072,-0.09794391,-0.20270318,0.31277665,0.42517716,-0.24874419,-0.37311348,0.4031435
2024-02-06 23:28:34.646,1.1769799,0.31450418,0.98778456,0.54788774,0.47778353,-0.0825761,-0.3119205,-0.12939987,0.38521683,0.22595562,-0.014277304,-0.14586712,0.49875084,-0.1294677,-0.19214958,0.31277665,0.38146466,-0.21630628,-0.46218175,0.4031435
