TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-11 14:26:05.338,1.317288,-0.015999649,-0.034698956,0.19177982,0.93277067,-0.014866046,-0.004881225,0.18617266,0.98877555,0.114246644,0.26515493,0.2805461,0.6037947,-0.16896515,-0.21894184,0.32736382,0.22318749,-0.5784251,-0.66385317,0.23102875
2024-02-11 14:26:06.355,1.2825783,0.16903754,0.037100896,0.20080395,1.0818701,0.19885518,-0.088259965,0.12215268,0.9523277,0.114246644,0.14373471,0.15762466,0.6836773,-0.21276386,-0.32170117,0.3595452,0.27098575,-0.39941856,-0.58339953,0.2707867
2024-02-11 14:26:07.373,1.2825783,-0.2594234,-0.32374185,0.17465205,1.0818701,-0.1792078,-0.37997386,-0.03947053,0.9523277,-0.0022635236,-0.14347109,0.25003615,0.6836773,-0.18852288,-0.24166615,0.19351655,0.27098575,-0.7128653,-0.650096,-0.21695592
2024-02-11 14:26:08.384,1.2825783,1.0798008,0.5865056,0.16460297,1.0818701,0.6091074,0.048919972,-0.17417678,0.9523277,0.4494042,0.02450823,0.2094791,0.6836773,-0.15117665,-0.15339987,0.22252494,0.27098575,-0.51349247,-0.5617936,-0.14926113
2024-02-11 14:26:09.422,1.2825783,0.92195606,-0.38799992,-0.5104705,1.0818701,0.49696195,-0.3050717,0.059445612,0.9523277,0.44920385,-0.035314023,0.28906003,0.6836773,-0.2890638,-0.38306326,0.112835705,0.27098575,-0.5395005,-0.7415663,-0.25654206
2024-02-11 14:26:10.434,1.2825783,-0.47412622,-0.07023061,0.51434016,1.0818701,0.032096304,0.06944112,0.1311611,0.9523277,-0.2008472,0.19206691,0.5684553,0.6836773,-0.2995849,-0.35260186,0.13533792,0.27098575,-0.57990634,-0.72808063,-0.12310535
2024-02-11 14:26:11.438,1.0303267,-0.39907697,-0.22681342,0.48581576,1.0297743,0.09393498,0.124937005,0.20834795,0.89243454,-0.17032161,0.11768598,0.53055376,0.6740671,-0.17031747,-0.370347,0.059921104,0.35741487,-0.5688543,-0.5028039,-0.044543527
2024-02-11 14:26:12.449,1.162317,-0.03299164,-0.16441663,0.8058669,1.1078851,-0.10672136,-0.14526007,0.28930804,0.8299433,0.08167636,0.13091531,0.40592185,0.69804084,-0.05751863,-0.22734518,0.16367783,0.21261711,-0.24470639,-0.3579079,0.124619514
2024-02-11 14:26:13.471,1.162317,0.33604515,0.3332484,1.0755205,1.1078851,0.026863825,0.06249879,0.37330648,0.8299433,0.19792995,0.24564609,0.32839411,0.69804084,-0.0371935,-0.2096421,0.19552964,0.21261711,-0.41029546,-0.4761762,0.2790114
2024-02-11 14:26:14.482,1.162317,-0.095080465,-0.014160441,0.13609004,1.1078851,0.3295436,-0.22102486,0.5080609,0.8299433,0.27669448,0.026488567,0.45910108,0.69804084,-0.28460622,-0.3203684,0.16325028,0.21261711,-0.5935998,-0.81455445,-0.3077358
2024-02-11 14:26:15.514,1.162317,0.17190872,0.47157365,0.25705236,1.1078851,0.32326016,0.17655312,0.5187849,0.8299433,0.33814305,0.228756,0.40699264,0.69804084,-0.2815635,-0.31228256,0.21292184,0.21261711,-0.64865476,-0.716007,-0.2055729
2024-02-11 14:26:16.555,1.162317,-0.12614754,-0.25922418,-0.5264276,1.1078851,-0.31200868,-0.2636615,0.2820085,0.8299433,0.018232007,-0.22792736,0.24150334,0.69804084,-0.3181111,-0.31487057,0.34277523,0.21261711,-0.7336187,-0.6776101,-0.1669684
2024-02-11 14:26:17.556,1.162317,-0.10814064,-0.3747339,0.28395805,1.1078851,-0.24750997,-0.18557017,0.21896441,0.8299433,0.0424646,-0.13453989,0.34047934,0.69804084,-0.338657,-0.22636609,0.2144368,0.21261711,-0.739679,-0.59931856,-0.09337632
2024-02-11 14:26:18.561,1.162317,-0.17804,-0.49393186,0.3572413,1.1078851,-0.008638832,-0.32272974,0.3279961,0.8299433,0.022798551,-0.242627,0.5945155,0.69804084,-0.23507999,-0.15524678,0.2072869,0.21261711,-0.59732944,-0.78227776,-0.11773042
2024-02-11 14:26:19.573,1.2360033,-0.4321966,-0.09479457,0.38531274,1.2640768,-0.11215402,-0.19643244,0.41333437,1.2717049,0.007240306,0.082929835,0.6129407,0.66075474,-0.30351344,-0.30168685,0.24245022,0.18898235,-0.6357361,-0.7557678,-0.06745109
2024-02-11 14:26:20.577,1.2569172,-0.20278646,-0.10617024,0.5539244,1.1002749,-0.3264074,-0.13136372,0.16691689,1.3124043,-0.0709912,0.14910397,0.4572174,0.68032056,-0.29527542,-0.25563484,0.19055898,0.16211972,-0.59611267,-0.6086706,0.08939667
2024-02-11 14:26:21.599,1.2755226,-0.050181717,-0.1899858,0.5437637,1.0022495,-0.19399507,-0.108262405,0.13790937,1.0951259,0.083176844,0.028149763,0.5146567,0.7449278,-0.099652894,-0.22246619,0.15849148,0.22570182,-0.51182574,-0.59682757,0.11339687
2024-02-11 14:26:22.604,1.0236696,-0.31240818,-0.0780341,0.37274063,0.7596992,-0.046047352,-0.09150354,0.4931179,0.9770243,0.18267529,0.16676874,0.57417196,0.6103609,-0.0971025,-0.1425084,0.26054096,0.012114512,-0.5505621,-0.57139397,-0.12332061
2024-02-11 14:26:23.621,0.772134,-0.5163651,-0.07819671,-0.07981898,0.7763544,-0.04876273,-0.0702035,0.74573034,1.0325475,0.061425634,0.20484143,0.60209435,0.54334605,-0.3104191,-0.29111648,0.2903458,0.22382656,-0.49119452,-0.4921237,-0.11314619
2024-02-11 14:26:24.636,1.040635,-0.10526899,-0.35120034,0.22770405,0.96811813,-0.25712124,0.004322593,0.547648,1.229524,-0.10364204,0.12000372,0.6216328,0.72258353,-0.256852,-0.13897437,0.2532335,0.44580314,-0.57635355,-0.6200512,-0.045275822
2024-02-11 14:26:25.641,1.1843605,0.050403066,0.016978562,0.1395658,0.9546797,-0.28495264,-0.14036639,-0.035341978,0.99615395,-0.015480636,-0.041372944,0.43678004,0.6102918,-0.27552348,-0.06745173,0.27794668,0.27918962,-0.576745,-0.65616083,0.09393515
2024-02-11 14:26:26.654,0.76826996,-0.054644436,-0.54959536,0.29845762,0.67947185,-0.3443364,-0.03360195,0.29102057,1.1243374,0.0363868,-0.08364867,0.47704166,0.6720327,-0.3025823,-0.15933147,0.26744565,0.21631347,-0.50047624,-0.52884,0.074455746
