TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-01-18 10:38:35.946,0.7172576,-0.30287817,-0.20862631,0.33529186,0.5309317,0.07454119,0.10406851,0.60411,0.6982022,0.10590029,0.18296577,0.51551276,0.37058443,-0.22084028,0.08462125,0.5298645,-0.07590715,-0.41454193,-0.15017362,0.2528547
2024-01-18 10:38:36.454,0.7172576,-0.18195999,-0.41276416,0.26060918,0.5309317,-0.005958987,-0.20275909,0.33773723,0.6982022,0.09913583,0.028911797,0.37835163,0.37058443,-0.16499963,0.020254122,0.45817214,-0.07590715,-0.56332415,-0.0685248,0.17831284
2024-01-18 10:38:36.975,0.7172576,-0.16887422,-0.5828881,0.56201166,0.5309317,-0.08674001,-0.07493251,0.16347736,0.6982022,0.105372675,0.035801683,0.35057515,0.37058443,-0.11025443,0.09482112,0.48361486,-0.07590715,-0.6057471,-0.014598589,0.1457
2024-01-18 10:38:37.482,0.28318742,-0.20778285,-0.66633725,0.614888,0.060031112,-0.21273878,-0.0353709,0.06892573,0.23609711,0.060856912,0.04361078,0.2336218,0.32468843,-0.121860884,0.23929283,0.5335891,-0.13036183,-0.6407811,-0.106845476,0.1741311
2024-01-18 10:38:37.987,0.44403234,-0.38031358,-0.5325644,0.64471936,0.03434574,-0.44273922,0.008113385,0.021413725,0.24516656,0.060856912,0.010727248,0.28903303,0.2539117,-0.1679635,0.2567081,0.5119095,-0.1790745,-0.65325004,-0.21797203,0.1480856
2024-01-18 10:38:38.508,0.45292866,-0.49383995,-0.2613996,0.40814346,0.21408823,-0.5341295,-0.07212024,-0.048909415,0.40372238,0.054182984,0.2519255,0.28055647,0.26507053,-0.20018163,0.15539217,0.4282877,-0.17291741,-0.6254631,-0.28799248,0.048295062
2024-01-18 10:38:39.012,0.46942076,-0.4610265,-0.25685835,0.31344774,0.45584515,-0.6468319,-0.097334325,-0.0650069,0.49969736,-0.20056948,0.3403346,0.543029,0.29837638,-0.16438593,0.02597373,0.41893193,-0.08884011,-0.5699709,-0.2681109,0.03127802
2024-01-18 10:38:39.537,0.35587528,-0.39677835,-0.38793123,0.21931672,0.4851702,-0.5313117,-0.25660488,-0.020672875,0.5870882,-0.039921112,0.30074662,0.5460473,0.37783545,-0.09589567,0.055940516,0.48623678,0.053542353,-0.49885297,-0.21432169,0.07561421
2024-01-18 10:38:40.039,0.34137774,-0.3615829,-0.8189476,0.071953334,0.4468181,-0.34192482,0.038169514,0.1894521,0.5832511,-0.07754105,0.20482752,0.5361402,0.4262621,-0.107988976,0.13251965,0.57739085,0.08883928,-0.55424225,-0.21195796,0.05738924
2024-01-18 10:38:40.550,0.7284778,-0.44454622,-0.6289847,0.23747529,0.5308777,-0.17874904,0.17625253,0.35583505,0.49322528,0.01447269,0.21403022,0.363358,0.43845418,-0.10004641,0.07744845,0.5702318,-0.031448547,-0.5310086,-0.30470562,-0.06730505
2024-01-18 10:38:41.066,1.1161679,-0.5405253,-0.43287474,0.37117308,0.7161245,0.08834089,0.2605757,0.46849737,0.58352727,0.047571067,0.21784018,0.39969692,0.4349235,-0.15691854,0.07444554,0.56680274,-0.27873936,-0.50915456,-0.46583042,-0.17286094
2024-01-18 10:38:41.579,1.1714703,-0.6643771,-0.39032084,0.46742067,0.7513782,0.14625889,0.18336351,0.3973287,0.56832796,0.03744253,0.21493353,0.49469146,0.41402367,-0.20004828,0.0096585145,0.5052742,-0.34651825,-0.40845704,-0.52444583,-0.2025047
2024-01-18 10:38:42.081,1.3043648,-0.56391263,-0.44058466,0.41437352,0.7582424,0.17160174,0.28655565,0.29138276,0.5499112,-0.041067608,0.039512057,0.5540261,0.39129788,-0.24368925,0.09478134,0.54367906,-0.49727225,-0.39658022,-0.41293168,-0.14384478
2024-01-18 10:38:42.591,1.3053993,-0.61101884,-0.5960817,0.24735305,0.6775503,0.0074438653,0.30670485,0.108542,0.5481896,-0.10282536,-0.08345702,0.4866851,0.3813862,-0.2654344,0.04976978,0.52202743,-0.5126772,-0.40667704,-0.3818221,-0.13518499
2024-01-18 10:38:43.105,0.97084206,-0.4594009,-0.5417206,0.10784554,0.68891686,-0.17986435,0.24296732,0.23451513,0.6776293,-0.13505557,-0.10890548,0.5454842,0.27307117,-0.2793821,0.09900625,0.5276016,-0.15746994,-0.47355777,-0.35844123,-0.18340547
2024-01-18 10:38:43.631,1.1298571,-0.36202186,-0.41368225,0.2150692,0.71214014,-0.3863838,-0.043998167,0.13215993,0.8221147,-0.1539969,0.2942961,0.66052026,0.46459314,-0.3492485,0.11002764,0.5049337,-0.1991965,-0.5769091,-0.33425167,-0.10297512
2024-01-18 10:38:44.147,1.1298571,-0.18152696,-0.17716604,0.38589275,0.71214014,-0.30370525,-0.21040328,0.3293773,0.8221147,-0.053569146,0.31870115,0.6687088,0.46459314,-0.3225168,0.10579427,0.4429655,-0.1991965,-0.5828278,-0.26972264,-0.023587057
2024-01-18 10:38:44.650,1.135562,-0.00315054,-0.15302987,0.43273136,0.51712507,-0.15399224,0.013866242,0.38383576,0.62269497,0.035728477,0.432951,0.6687088,0.47510773,-0.18706743,0.04491255,0.37886205,-0.32023647,-0.5923755,-0.28962386,0.006142736
2024-01-18 10:38:45.158,0.93608797,0.06331701,-0.16268434,0.33100966,0.20109631,-0.05639361,0.056803834,0.42031732,0.38731757,0.06773968,0.41397718,0.6196175,0.2604529,-0.052673124,0.024429884,0.365586,-0.124706276,-0.556978,-0.3513858,-0.089276165
