TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-06 21:41:32.679,0.9384819,0.7454589,-0.13015737,0.8951951,0.47226274,0.24579343,-0.17617775,0.47780427,0.15408276,0.39450634,0.23257521,0.3980893,0.08866782,0.040871505,-0.033343893,0.27695507,0.13654372,-0.5509917,-0.49639332,-0.17056367
2024-02-06 21:41:33.206,0.9384819,0.7724912,-0.16496821,0.7917014,0.47226274,0.3954269,-0.020145752,0.44567323,0.15408276,0.3823248,0.16631764,0.33395723,0.08866782,-0.025801882,-0.16500184,0.247042,0.13654372,-0.38882962,-0.4549337,-0.26740986
2024-02-06 21:41:33.711,0.8692111,0.36788598,-0.12929583,0.72665656,0.2965825,0.20298119,0.07311485,-0.030934941,0.31902006,0.09020975,0.1811976,0.27761382,0.28916222,-0.18773,-0.048034333,0.21791321,0.18657607,-0.20444514,-0.33918133,-0.146152
2024-02-06 21:41:34.246,0.77183884,0.27879277,-0.060816027,0.78851837,0.22161041,0.06335906,-0.019559598,-0.10066594,0.32960278,0.21060517,0.18401223,0.28999138,0.25582847,-0.21255153,0.016574282,0.26820302,0.091375776,-0.2647153,-0.32247752,-0.18010277
2024-02-06 21:41:34.755,0.80959564,0.10634136,-0.10088129,0.78456587,0.2998174,-0.033160724,-0.13121614,0.0023707366,0.32295957,0.18494917,0.074327774,0.3778024,0.19183242,-0.21085244,-0.01646169,0.29115254,0.017145008,-0.368389,-0.41337278,-0.20998882
2024-02-06 21:41:35.265,0.7634495,0.2600489,-0.15735553,0.63946176,0.37058622,-0.2060477,-0.2575893,0.053714175,0.30448988,0.21251382,0.0036389753,0.33528265,0.17357858,-0.21209563,-0.17994231,0.24400692,-0.054713406,-0.39862943,-0.45422345,-0.22630256
2024-02-06 21:41:35.774,0.80671936,0.48478863,0.08914957,0.4749348,0.44274104,-0.27172413,-0.08242731,0.2652435,0.35553372,0.16814272,0.32154894,0.533814,0.24281693,-0.17815639,-0.23097695,0.24122532,-0.10118082,-0.42874306,-0.55262446,-0.21422924
2024-02-06 21:41:36.294,0.86963445,0.45116788,0.36038128,0.50209653,0.41905493,-0.29064852,-0.04017327,0.30412087,0.36531112,0.08431937,0.36821827,0.59727126,0.2584829,-0.15954672,-0.2315465,0.28033727,-0.12611297,-0.42491305,-0.5004473,-0.22261797
2024-02-06 21:41:36.800,1.0696449,0.37717322,0.41824293,0.5332315,0.59284383,-0.19477296,-0.012820055,0.46052977,0.42383277,0.06075049,0.41041118,0.6923668,0.24799973,-0.18928084,-0.081940144,0.42081133,-0.09535494,-0.4903597,-0.5455599,-0.21595094
2024-02-06 21:41:37.307,1.1227286,0.030780504,0.3551666,0.4960702,0.62560236,0.047912136,-0.124619916,0.42822075,0.44706428,0.25341198,0.28650635,0.6244533,0.18485054,-0.15618086,0.010642469,0.40584025,-0.06692995,-0.49881226,-0.52427053,-0.064828604
2024-02-06 21:41:37.830,1.0747657,0.22800557,0.3306451,0.48982233,0.5782952,0.48129252,-0.011452202,0.4553583,0.44268626,0.42294756,0.32059512,0.6162433,0.23498666,-0.09689513,-0.0061087105,0.3987374,-0.027750306,-0.48532146,-0.5524174,0.05093411
2024-02-06 21:41:38.335,0.8186942,0.2974258,0.48002264,0.59035724,0.2747343,0.49473706,0.1667648,0.29714087,0.40108338,0.46210575,0.20619974,0.23883358,0.2355202,-0.015203138,-0.10446587,0.27276504,0.13280347,-0.46670756,-0.5454357,0.15861356
2024-02-06 21:41:38.853,0.7820238,0.28575337,0.47420174,0.6773766,0.42417186,0.46050102,0.22489868,0.63605595,0.58524466,0.46057165,0.16669612,0.7480008,0.22905204,-0.055593155,-0.2637165,0.2821289,0.18293193,-0.43086624,-0.38860866,0.18324472
2024-02-06 21:41:39.381,1.0097591,0.6037168,0.45225173,0.9710553,0.6051279,0.057027005,0.17545852,0.7424247,0.6852495,0.13133964,0.15069878,0.7554592,0.1824339,-0.119264446,-0.2954517,0.30851778,0.20955548,-0.3943173,-0.32146254,0.12151332
2024-02-06 21:41:39.901,1.1522208,0.6661389,0.42565233,0.9373533,0.82906616,0.14527017,-0.018263789,0.7847389,0.7066165,0.16568431,0.24611074,0.79370004,0.14281186,-0.06752907,-0.2740866,0.2838331,0.1387268,-0.37280002,-0.24632269,0.13253054
2024-02-06 21:41:40.430,1.1211993,0.83051676,0.50106895,0.8956021,0.71150875,0.4749538,0.16535684,0.591151,0.6890823,0.85866034,0.29316843,0.78604233,0.06511703,0.39783156,-0.23308896,0.24009925,0.027153725,-0.18058547,-0.3170063,0.033160478
2024-02-06 21:41:40.932,1.0094035,0.7244107,0.5805345,0.36300433,0.55123544,0.47033003,0.26483944,0.37730128,0.57148236,0.85866034,0.3368336,0.44737184,0.031332858,0.45107672,-0.14419194,0.18317418,0.034334023,-0.15941,-0.3516505,0.045816578
2024-02-06 21:41:41.446,0.88420194,0.58324677,0.65000767,0.58026654,0.61593777,0.42321247,0.24333614,0.5742121,0.3618656,0.8541109,0.2674565,0.43828243,0.08466659,0.40214625,-0.109285556,0.18192723,0.053428486,-0.17696914,-0.48856923,-0.0011139492
2024-02-06 21:41:41.974,0.76015687,0.21152005,0.56807184,0.39688635,0.61968756,0.03755881,-0.09576493,0.5557551,0.47404373,0.25969726,0.3026176,0.48177305,0.11936026,-0.08214096,-0.10074187,0.21349993,0.06220921,-0.37681687,-0.54802775,-0.012252598
