TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-05 22:19:53.840,0.7267365,0.2490892,0.5000281,0.6004488,0.20964788,-0.24186838,-0.15806445,0.26462522,0.39843354,0.12068605,0.18846932,0.5259988,0.10178422,0.02595138,-0.15852343,0.22257315,-0.14937264,-0.41229457,-0.30609763,-0.05625094
2024-02-05 22:19:54.864,0.82720566,0.92710906,0.5508559,0.8747249,0.24548556,0.07684805,-0.0773161,0.30553454,0.80671865,0.3351349,0.1767605,0.46177292,0.27523544,0.23912314,0.14668684,0.38914987,-0.08093038,-0.3067424,-0.22671458,-0.033508707
2024-02-05 22:19:55.880,0.25413302,0.49098548,0.060400207,0.21515922,1.1339222,0.4042509,-0.0934193,1.1507658,0.9097301,0.18423663,-0.017823128,0.7033852,0.30950198,0.13489376,0.2081916,0.24957208,-0.06381092,-0.46156228,-0.30637303,0.021906434
2024-02-05 22:19:56.912,-0.05841119,0.28672644,0.12388604,0.23749085,1.1584438,0.36109734,-0.01394563,1.1362524,0.7783264,0.18901552,0.064434245,0.83748174,0.288688,-0.018729415,0.05159344,0.25445682,-0.05811444,-0.37368658,-0.36656675,-0.20901158
2024-02-05 22:19:57.933,-0.19837917,0.3241802,0.1972782,0.19854106,0.3147598,0.06489304,-0.07415391,0.42680293,0.7681857,0.23392855,0.052625105,0.8898665,0.3496362,0.099447034,0.009639506,0.4602496,-0.08186817,-0.32897654,-0.4248841,-0.11655633
2024-02-05 22:19:58.950,0.2529626,0.61689335,-0.000101718986,0.4530883,0.2515068,0.29486173,-0.009221643,0.1886171,0.71877414,0.2628438,-0.057305582,0.85237163,0.30155343,0.022725858,-0.15005738,0.4508253,0.04592312,-0.36742112,-0.53071517,0.007826122
2024-02-05 22:19:59.978,0.4084759,1.0142964,0.21251224,0.39501977,0.42084372,0.33708218,0.06888543,0.49431676,0.7670853,0.27039692,0.15254268,0.85549855,0.19736208,0.009788103,-0.12330071,0.408488,-0.03976321,-0.3380056,-0.64273506,-0.09597117
2024-02-05 22:20:00.992,0.37627116,0.5702316,0.014398017,0.2405067,0.39113724,0.106173575,0.077159226,0.37684348,0.85209495,0.3172904,0.29133782,0.6152399,0.3883891,0.2913394,0.011578162,0.6164256,-0.15513377,-0.29649127,-0.35889718,-0.18729898
2024-02-05 22:20:02.030,0.17480254,0.56668437,-0.13826579,0.027456624,0.24153626,0.3796736,-0.055533525,0.21290374,0.7194027,0.23727523,0.40663707,0.74200076,0.3789861,0.2223209,-0.042651366,0.47922596,0.02227322,-0.25349545,-0.30490485,-0.07085723
2024-02-05 22:20:03.046,0.18715502,0.40206623,0.18576269,0.3071359,0.48632452,0.13086025,-0.024049256,0.42834833,0.4617887,0.08172407,0.031887196,0.75099856,0.31355545,0.027422244,-0.08377561,0.2851886,-0.09028525,-0.22315009,-0.43209276,-0.1243224
