TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-01-11 09:56:15.542,0.30263835,-0.009314835,0.5126536,0.2809206,0.31493595,-0.3147798,0.27987385,0.43191388,0.59198844,-0.070317596,0.55493873,0.4641835,0.19295882,-0.22091466,0.7272785,0.16314779,-0.049767565,-0.4285631,0.44543433,-0.2216044
2024-01-11 09:56:16.053,0.29505298,0.058878906,0.5126536,0.38612056,0.29790998,-0.4096818,0.27987385,0.34741026,0.5494888,0.084826395,0.55493873,0.50592935,0.07457666,-0.1315589,0.7272785,0.13686116,-0.052372165,-0.4452649,0.44543433,-0.2838776
2024-01-11 09:56:16.561,0.1810085,0.0656921,0.5126536,0.18907042,0.030829448,-0.18267468,0.27987385,0.14236736,0.68107235,0.13109635,0.55493873,0.41624856,0.09140124,-0.10578713,0.7272785,0.0813129,-0.086131185,-0.4534266,0.44543433,-0.2445417
2024-01-11 09:56:17.080,0.21637744,0.14548153,0.5126536,0.22757234,-0.1252674,0.016016927,0.27987385,0.099526145,0.5391021,0.12472668,0.55493873,0.33670315,0.117287606,-0.121506706,0.7272785,0.16714174,-0.07330415,-0.46575403,0.44543433,-0.123520374
2024-01-11 09:56:17.588,0.023289505,0.165199,0.5126536,0.15567945,0.08050394,0.023898328,0.27987385,0.15051065,0.59703445,0.120723374,0.55493873,0.40894595,0.17665236,-0.16406831,0.7272785,0.27010334,-0.0940082,-0.48071614,0.44543433,-0.0909284
2024-01-11 09:56:18.098,0.19965732,0.15565649,0.5126536,0.41685966,0.20022872,-0.024809211,0.27987385,0.12994386,0.5658698,-0.010025073,0.55493873,0.48311907,0.2598496,-0.127536,0.7272785,0.24183157,0.014253529,-0.45198599,0.44543433,-0.10493796
2024-01-11 09:56:18.612,0.25667155,0.031995427,0.5126536,0.46618316,0.30259445,-0.052591704,0.27987385,0.07532304,0.4655619,0.057617545,0.55493873,0.5126494,0.30741334,-0.0858431,0.7272785,0.21037169,-0.046358414,-0.5170322,0.44543433,-0.20352086
2024-01-11 09:56:19.115,0.33675146,0.033981003,0.5126536,0.5587992,0.24035567,-0.011628247,0.27987385,0.07360081,0.4655619,0.036820702,0.55493873,0.5126494,0.36046183,-0.067607,0.7272785,0.16162232,0.026164616,-0.51621157,0.44543433,-0.22543518
2024-01-11 09:56:19.630,0.34397057,-0.06214079,0.5126536,0.48660204,0.2842143,0.078701325,0.27987385,0.09827452,0.41700542,-0.027948428,0.55493873,0.24095367,0.3177628,-0.09354574,0.7272785,0.22935069,-0.11208609,-0.601428,0.44543433,-0.3742933
2024-01-11 09:56:20.132,0.34397057,0.004340095,0.5126536,0.48660204,0.2842143,0.050684236,0.27987385,0.09827452,0.41700542,-0.26931587,0.55493873,0.24095367,0.3177628,-0.1349529,0.7272785,0.22935069,-0.11208609,-0.36427063,0.44543433,-0.3742933
2024-01-11 09:56:20.656,0.36395657,0.2275199,0.5126536,0.28068233,0.17518471,0.12525716,0.27987385,0.12201366,0.4672253,-0.02588257,0.55493873,-0.12953122,0.2580272,-0.13625091,0.7272785,0.14464277,-0.10809273,-0.4594103,0.44543433,-0.18328531
2024-01-11 09:56:21.167,0.29543135,0.28686,0.5126536,0.26150966,0.21264963,0.029037045,0.27987385,0.117181525,0.52119625,0.03849043,0.55493873,0.40465966,0.28702888,-0.12805727,0.7272785,0.19276018,0.039116886,-0.4488288,0.44543433,-0.16327508
2024-01-11 09:56:21.681,0.2635271,0.2845498,0.5126536,0.24056926,0.31064525,-0.08282284,0.27987385,0.16382949,0.4276522,0.09067633,0.55493873,0.42349866,0.26051015,-0.10231473,0.7272785,0.31691143,0.04294809,-0.4434938,0.44543433,-0.057609238
2024-01-11 09:56:22.187,0.29382333,0.20773993,0.5126536,0.22781372,0.31627992,-0.25563705,0.27987385,0.19459239,0.4312706,0.054376397,0.55493873,0.4496489,0.26155227,-0.057170108,0.7272785,0.33513558,0.028937161,-0.44332662,0.44543433,-0.012020081
2024-01-11 09:56:22.693,0.26776686,0.16989134,0.5126536,0.14007913,0.3762053,-0.19617604,0.27987385,0.27710184,0.35049307,0.013908189,0.55493873,0.43122718,0.17562751,-0.043611284,0.7272785,0.3017763,-0.13751774,-0.5152542,0.44543433,0.056103196
2024-01-11 09:56:23.201,0.050368644,0.09606478,0.5126536,0.13855423,0.32668608,-0.05815586,0.27987385,0.32831824,0.42149743,-0.032002546,0.55493873,0.56747216,0.2467083,-0.046439543,0.7272785,0.17901509,-0.08687822,-0.5445596,0.44543433,-0.039979145
2024-01-11 09:56:23.727,-0.114294045,0.11009607,0.5126536,0.10452996,0.40628192,-0.024252715,0.27987385,0.32686427,0.67488533,-0.04456391,0.55493873,0.63266057,0.23755822,-0.078461125,0.7272785,0.19191757,-0.04826194,-0.49727437,0.44543433,-0.071422644
2024-01-11 09:56:24.258,0.037993975,0.09805475,0.5126536,0.07378033,0.2576902,-0.09213591,0.27987385,0.22800337,0.65943944,-0.10141011,0.55493873,0.64311117,0.2500462,-0.1455058,0.7272785,0.21814507,0.00794145,-0.4615362,0.44543433,-0.27565867
2024-01-11 09:56:24.778,0.08666181,0.15636405,0.5126536,0.089364596,0.30510992,-0.18150981,0.27987385,0.20471506,0.662144,-0.14760701,0.55493873,0.61210847,0.25450093,-0.14032029,0.7272785,0.24544336,-0.03335759,-0.45433965,0.44543433,-0.30573303
2024-01-11 09:56:25.288,0.078162864,0.075694636,0.5126536,0.17308259,0.29764134,-0.30181113,0.27987385,0.2939452,0.54646605,-0.038150825,0.55493873,0.49997437,0.3084496,-0.2026345,0.7272785,0.19376598,-0.07093522,-0.46738374,0.44543433,-0.29593012
2024-01-11 09:56:25.796,-0.18488167,0.05772415,0.5126536,0.20350243,0.37413245,-0.15389653,0.27987385,0.32756352,0.57511705,0.028432053,0.55493873,0.33935404,0.29792762,-0.2506782,0.7272785,0.14780656,-0.13343018,-0.4408702,0.44543433,-0.22993042
2024-01-11 09:56:26.306,-0.2955989,0.07865414,0.5126536,0.1082515,0.27130413,-0.1763275,0.27987385,0.24886821,0.5754136,0.06130719,0.55493873,0.37300467,0.1989158,-0.34159657,0.7272785,0.13982826,-0.16468352,-0.37007245,0.44543433,-0.1893761
2024-01-11 09:56:26.815,-0.36128214,0.11479042,0.5126536,-0.17945744,0.083683826,-0.23282577,0.27987385,0.017210152,0.53315324,0.057397444,0.55493873,0.34194955,0.088488,-0.24461165,0.7272785,0.12853889,-0.10796219,-0.31404197,0.44543433,-0.15944462
2024-01-11 09:56:27.331,-0.3587074,0.049812958,0.5126536,-0.19355328,-0.11795404,-0.26268595,0.27987385,0.015447811,0.2557654,-0.11131919,0.55493873,0.34194955,0.077953994,-0.23774622,0.7272785,0.15202269,-0.10303515,-0.35413828,0.44543433,-0.11992605
2024-01-11 09:56:27.840,-0.22362855,0.013500972,0.5126536,-0.120037064,-0.055796463,-0.17739356,0.27987385,0.07880436,0.38354713,-0.21839869,0.55493873,0.45284083,0.06449562,-0.24597755,0.7272785,0.13953048,-0.09474902,-0.44702724,0.44543433,-0.084524415
2024-01-11 09:56:28.357,0.080327496,0.14525408,0.5126536,-0.073799096,0.21132462,-0.06900533,0.27987385,0.2111783,0.34888774,-0.16804701,0.55493873,0.33254054,0.14236099,-0.3499755,0.7272785,0.19640629,-0.10494408,-0.53315055,0.44543433,-0.12452375
2024-01-11 09:56:28.871,0.20297603,0.18842652,0.5126536,-0.0048259106,0.31443363,-0.086195454,0.27987385,0.16263172,0.35618615,-0.028715082,0.55493873,0.3315957,0.24754897,-0.30447832,0.7272785,0.2392583,0.01608509,-0.43263242,0.44543433,-0.03800842
2024-01-11 09:56:29.381,0.4151232,0.24861276,0.5126536,0.22611952,0.29357392,-0.07621146,0.27987385,0.12573794,0.43413872,0.0138995275,0.55493873,0.43075246,0.3668068,-0.24432917,0.7272785,0.28790966,-0.013535752,-0.42432967,0.44543433,-0.094169006
2024-01-11 09:56:29.895,0.464609,0.2354843,0.5126536,0.35271376,0.18534416,-0.11802354,0.27987385,0.19474795,0.4545282,0.18095773,0.55493873,0.66741747,0.32562658,-0.2236509,0.7272785,0.31466758,-0.04025777,-0.41837814,0.44543433,-0.086157694
2024-01-11 09:56:30.414,0.42929626,0.18685004,0.5126536,0.37501162,0.20498869,-0.0744428,0.27987385,0.299229,0.45894837,0.23126994,0.55493873,0.67264116,0.25055376,-0.19238685,0.7272785,0.36056998,-0.18293774,-0.44507444,0.44543433,-0.24524538
2024-01-11 09:56:30.931,0.36599565,0.14357275,0.5126536,0.36910918,0.28797576,-0.137908,0.27987385,0.3266787,0.6054783,0.23326942,0.55493873,0.69834965,0.19702229,-0.15004629,0.7272785,0.33785737,-0.16082379,-0.42978582,0.44543433,-0.17211793
2024-01-11 09:56:31.446,0.31055567,0.14334172,0.5126536,0.38202253,0.33250484,-0.05395409,0.27987385,0.22124329,0.5880188,0.16949184,0.55493873,0.57430303,0.2650884,-0.16744222,0.7272785,0.28380784,-0.1311261,-0.4919006,0.44543433,-0.1475618
2024-01-11 09:56:31.950,0.39266673,0.19382972,0.5126536,0.4237488,0.3639194,-0.11572522,0.27987385,0.1969624,0.5880188,0.09172455,0.55493873,0.43315518,0.30764425,-0.15525255,0.7272785,0.2072876,-0.1120273,-0.5579267,0.44543433,-0.09916605
2024-01-11 09:56:32.459,0.5258706,0.3228876,0.5126536,0.57469624,0.30345175,-0.08302646,0.27987385,-0.018609146,0.5880188,-0.025596524,0.55493873,0.3127776,0.36574438,-0.37462473,0.7272785,0.07512937,0.0017728474,-0.465001,0.44543433,-0.06386966
2024-01-11 09:56:32.974,0.27966675,0.07206545,0.5126536,0.57469624,-0.24087173,-0.30726373,0.27987385,-0.018609146,-0.1940044,-0.3325292,0.55493873,0.3127776,0.23505372,-0.37523642,0.7272785,0.07512937,-0.013144991,-0.38169706,0.44543433,-0.06386966
2024-01-11 09:56:33.478,0.35405388,0.21114601,0.5126536,0.1367771,0.16565304,-0.21146406,0.27987385,0.018704893,0.30876777,-0.2835609,0.55493873,0.12937592,0.14467444,-0.32920212,0.7272785,0.11424399,-0.12906913,-0.4192312,0.44543433,0.005890419
2024-01-11 09:56:33.987,0.38023183,0.2613201,0.5126536,0.39154238,0.31413397,-0.1960365,0.27987385,0.2409457,0.359414,-0.23807804,0.55493873,0.3691021,0.20718779,-0.23700313,0.7272785,0.15201539,-0.17664628,-0.500105,0.44543433,-0.04462047
2024-01-11 09:56:34.500,0.3497416,0.23426875,0.5126536,0.36850795,0.36209467,-0.123871535,0.27987385,0.25536606,0.359414,-0.2490026,0.55493873,0.47136667,0.25239754,-0.17619221,0.7272785,0.18117976,-0.2160337,-0.46287507,0.44543433,-0.07719877
2024-01-11 09:56:35.022,0.15684074,0.15477811,0.5126536,0.30962747,0.38795522,-0.11072011,0.27987385,0.26170203,0.40102637,-0.051237885,0.55493873,0.48092365,0.29251873,-0.15872122,0.7272785,0.23318703,-0.17845324,-0.43629268,0.44543433,-0.0947536
2024-01-11 09:56:35.535,0.10164142,0.13909245,0.5126536,0.13229127,0.22356112,-0.17859052,0.27987385,0.15314668,0.44332787,0.15080732,0.55493873,0.55083656,0.26797074,-0.24251264,0.7272785,0.23848382,-0.08016137,-0.42224327,0.44543433,-0.13006954
2024-01-11 09:56:36.050,0.15055259,0.29199976,0.5126536,0.2553278,0.17631172,-0.24689506,0.27987385,0.16278103,0.462316,0.15100205,0.55493873,0.3496469,0.144778,-0.28354168,0.7272785,0.16122963,0.007226124,-0.5087932,0.44543433,-0.022239085
2024-01-11 09:56:36.556,0.18216509,0.36133197,0.5126536,0.22605075,0.13918906,-0.38063586,0.27987385,0.14413002,0.5020773,0.1131874,0.55493873,0.3847068,0.19587961,-0.29327923,0.7272785,0.22736898,-0.022953043,-0.5394449,0.44543433,-0.08718047
2024-01-11 09:56:37.064,0.07446714,0.34217513,0.5126536,0.13722315,0.21903142,-0.288354,0.27987385,0.1677111,0.39630118,0.094758675,0.55493873,0.61188775,0.19176745,-0.27065602,0.7272785,0.2265261,-0.10528244,-0.5227818,0.44543433,-0.08560364
2024-01-11 09:56:37.578,0.07753913,0.28678524,0.5126536,0.048538323,0.21193019,-0.2644816,0.27987385,0.28380102,0.4040866,0.097367465,0.55493873,0.6798886,0.2501363,-0.20966087,0.7272785,0.20969008,-0.20533796,-0.5270611,0.44543433,-0.19157347
2024-01-11 09:56:38.091,0.08450886,0.17645045,0.5126536,0.08546525,0.05673669,-0.24198331,0.27987385,0.28358856,0.369034,0.08321241,0.55493873,0.6784861,0.26990584,-0.21823479,0.7272785,0.16027416,-0.16619046,-0.49565974,0.44543433,-0.11284821
2024-01-11 09:56:38.613,0.088368334,0.338488,0.5126536,0.09964105,-0.0010659719,-0.2326999,0.27987385,0.27057034,0.21864645,0.1130653,0.55493873,0.52571297,0.26975557,-0.20777838,0.7272785,0.15495396,-0.12933855,-0.5084304,0.44543433,-0.081389695
2024-01-11 09:56:39.129,0.0450268,0.6643641,0.5126536,0.12583907,0.19187927,-0.20053671,0.27987385,0.15214938,0.37581876,-0.18696961,0.55493873,0.46677247,0.21910942,-0.16421793,0.7272785,0.24858189,-0.15824287,-0.5096861,0.44543433,-0.17091405
2024-01-11 09:56:39.645,0.10620652,0.7008718,0.5126536,0.10875493,0.36859816,-0.19282278,0.27987385,0.3638418,0.399805,-0.032196473,0.55493873,0.44483048,0.1058612,-0.043215755,0.7272785,0.22145398,-0.2113535,-0.50974655,0.44543433,-0.20134416
2024-01-11 09:56:40.165,0.092503816,0.6811835,0.5126536,0.2448302,0.3851229,-0.2160821,0.27987385,0.36055166,0.4113507,-0.059440516,0.55493873,0.44502565,0.10215421,-0.073169544,0.7272785,0.21130241,-0.25476694,-0.43330038,0.44543433,-0.15679458
2024-01-11 09:56:40.674,0.08712108,0.33819455,0.5126536,0.27084288,0.28188682,-0.3268351,0.27987385,0.35676277,0.41530085,-0.027272688,0.55493873,0.41666526,0.13500822,-0.12962736,0.7272785,0.19894892,-0.24707595,-0.36799216,0.44543433,-0.102899946
2024-01-11 09:56:41.184,0.09073059,0.26820326,0.5126536,0.3316604,0.16369356,-0.23324291,0.27987385,0.22134075,0.53181624,-0.07142408,0.55493873,0.32144922,0.18375589,-0.19120114,0.7272785,0.21862768,-0.14821449,-0.31740367,0.44543433,-0.15513414
2024-01-11 09:56:41.704,0.15523496,0.081492625,0.5126536,0.21442796,0.19885437,-0.14562622,0.27987385,0.108938776,0.6462681,-0.06129499,0.55493873,0.30043203,0.15572992,-0.090046845,0.7272785,0.22418602,-0.1410152,-0.31763285,0.44543433,-0.25105417
2024-01-11 09:56:42.216,0.2795415,0.010351671,0.5126536,0.0913785,0.28315818,-0.13768558,0.27987385,0.19497314,0.6577358,0.0031203087,0.55493873,0.39677188,0.18802768,-0.032019414,0.7272785,0.27787724,-0.14908844,-0.39095998,0.44543433,-0.37125218
2024-01-11 09:56:42.717,0.25927776,-0.13708161,0.5126536,0.027286157,0.2623816,-0.22105499,0.27987385,0.24931833,0.56649935,-0.16024695,0.55493873,0.47755888,0.23281905,-0.119588785,0.7272785,0.3172432,-0.14712869,-0.3740101,0.44543433,-0.26698145
2024-01-11 09:56:43.236,0.31449777,-0.08915984,0.5126536,-0.02554181,0.15710703,-0.18816948,0.27987385,0.32696605,0.44902813,-0.059002597,0.55493873,0.44976676,0.23674123,-0.21394342,0.7272785,0.32708722,-0.1713615,-0.4653791,0.44543433,-0.15329908
2024-01-11 09:56:43.747,0.34225515,-0.05557861,0.5126536,-0.020687666,0.26349077,-0.08200347,0.27987385,0.23601003,0.36420244,-0.11976798,0.55493873,0.34475446,0.27754578,-0.2242618,0.7272785,0.28240666,-0.21990775,-0.4463649,0.44543433,-0.113274105
2024-01-11 09:56:44.251,0.37946823,-0.07870238,0.5126536,0.14967312,0.36722374,-0.05223127,0.27987385,0.22878686,0.5685725,0.027458884,0.55493873,0.39160305,0.21803619,-0.1756431,0.7272785,0.28260913,-0.31726816,-0.5635554,0.44543433,-0.157655
2024-01-11 09:56:44.762,0.34114313,-0.15387453,0.5126536,0.27153257,0.37648395,-0.063308984,0.27987385,0.27232537,0.5685725,0.022924216,0.55493873,0.3961223,0.21152595,-0.18096282,0.7272785,0.23772368,-0.28493208,-0.58354145,0.44543433,-0.2321353
2024-01-11 09:56:45.263,0.10308002,-0.19266428,0.5126536,0.4722899,0.17370924,-0.07570973,0.27987385,0.2431923,0.55288017,0.074749865,0.55493873,0.36979577,0.03549947,-0.15748352,0.7272785,0.2194545,-0.30803403,-0.6154322,0.44543433,-0.22471362
2024-01-11 09:56:45.781,0.027509376,-0.18683882,0.5126536,0.43960786,-0.19006556,-0.12367377,0.27987385,0.16751893,0.24340548,0.037752077,0.55493873,0.46295083,-0.031816494,-0.15961604,0.7272785,0.20624372,-0.35678092,-0.6524753,0.44543433,-0.11929019
2024-01-11 09:56:46.289,0.06485511,-0.087825544,0.5126536,0.3421894,-0.049955513,-0.15364277,0.27987385,0.08606918,0.3714348,-0.08538178,0.55493873,0.4914536,0.062984884,-0.10722434,0.7272785,0.26038322,-0.3449246,-0.58569044,0.44543433,-0.06732441
2024-01-11 09:56:46.795,0.10669474,0.019484492,0.5126536,0.22467306,0.11982283,-0.3093572,0.27987385,0.19093634,0.47462556,-0.20407306,0.55493873,0.5999047,0.18794583,-0.111926734,0.7272785,0.2411818,-0.36269003,-0.58343905,0.44543433,-0.056198593
2024-01-11 09:56:47.312,0.028107865,0.4053791,0.5126536,0.11465864,0.2460927,-0.31893468,0.27987385,0.28903514,0.63880706,-0.12864923,0.55493873,0.70501393,0.23238525,-0.095109776,0.7272785,0.22189225,-0.32946533,-0.59175664,0.44543433,-0.108101204
2024-01-11 09:56:47.836,0.3033554,0.493953,0.5126536,0.019986542,0.30267563,-0.2921674,0.27987385,0.34867796,0.6528882,-0.10099321,0.55493873,0.7188508,0.2245934,-0.1197379,0.7272785,0.15402961,-0.33690056,-0.6360208,0.44543433,-0.084398836
2024-01-11 09:56:48.342,0.51560676,0.53089577,0.5126536,-0.3622614,0.3786625,-0.08527792,0.27987385,0.32424942,0.7779942,0.025861861,0.55493873,0.7285644,0.15616612,-0.12677886,0.7272785,0.16984592,-0.24035804,-0.5800709,0.44543433,-0.09200289
2024-01-11 09:56:48.866,0.5868445,0.31569147,0.5126536,-0.11039012,0.38278937,0.005539173,0.27987385,0.28421232,0.7779942,0.02022805,0.55493873,0.61110944,0.18212317,-0.16532679,0.7272785,0.15703125,-0.16021188,-0.46800476,0.44543433,-0.10074692
2024-01-11 09:56:49.375,0.4657048,0.27812442,0.5126536,0.12851356,0.35804284,-0.005876013,0.27987385,0.3122719,0.7779942,-0.02948608,0.55493873,0.5128023,0.17378604,-0.1321611,0.7272785,0.20098144,-0.10711747,-0.4199225,0.44543433,-0.047893927
2024-01-11 09:56:49.890,0.20395377,0.28035653,0.5126536,0.17029773,0.33410648,-0.10720502,0.27987385,0.39904648,0.7609538,0.039871812,0.55493873,0.55726653,0.25510043,-0.18099622,0.7272785,0.16314873,-0.054871105,-0.3775353,0.44543433,-0.008301567
2024-01-11 09:56:50.404,0.14104994,0.48458806,0.5126536,0.17806076,0.32404038,-0.102884,0.27987385,0.3430919,0.54074925,0.02717147,0.55493873,0.6136454,0.22665828,-0.103593715,0.7272785,0.13498849,-0.04880361,-0.4106549,0.44543433,-0.017782979
