TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-05 22:43:25.681,0.5967695,-0.024571218,0.40917832,0.2832814,0.25386354,-0.15178615,-0.123805754,0.3158783,0.29187617,0.070305586,0.02404888,0.509002,0.648319,-0.21898624,-0.050947983,0.4621271,0.52165043,-0.50834197,-0.5401088,0.094148844
2024-02-05 22:43:26.686,0.58394927,-0.040347587,-0.18889841,0.38808262,0.24239755,-0.012932195,-0.047387775,0.42568767,0.29399148,0.056553386,0.1309418,0.5176404,0.5748414,0.0046707857,-0.16724716,0.44293225,0.37480226,-0.5596137,-0.42564616,0.09752744
2024-02-05 22:43:27.692,0.5750025,-0.17950587,0.13514695,0.3930047,0.33970237,-0.002991001,0.14176756,0.23660463,0.5713231,0.05945741,0.037392005,0.5582129,0.62026,-0.043952134,-0.33749723,0.45892736,0.36590797,-0.62354743,-0.4631115,0.014362743
2024-02-05 22:43:28.715,0.3268809,-0.2550314,-0.13590692,0.40195492,0.37446162,-0.027954623,-0.10438059,0.42675072,0.50719476,0.19929945,-0.033176683,0.5188431,0.5191613,-0.12271058,-0.25647742,0.32271254,0.32187176,-0.40456858,-0.5743431,0.04526926
2024-02-05 22:43:29.750,0.6179551,-0.04397305,-0.312311,0.42503312,0.5605167,0.1395703,-0.12926908,0.3492531,0.3828194,0.21697325,-0.13859636,0.57235676,0.4430967,-0.100541085,-0.219943,0.33504224,0.34285095,-0.5145161,-0.49742073,0.07695272
2024-02-05 22:43:30.756,0.5727139,0.05307324,-0.0328509,1.1012528,0.21640332,-0.11637099,-0.07519807,0.34506667,0.22510998,-0.07734989,0.031277895,0.69364995,0.49176958,-0.11522842,-0.21130428,0.20589556,0.5253269,-0.4383191,-0.3597092,0.080072366
2024-02-05 22:43:31.761,0.6482282,0.39201987,0.40655494,1.4862788,0.3290433,-0.06835102,0.11135194,0.5724494,0.20331906,-0.42401335,-0.010564076,0.5916932,0.4289401,-0.015799291,-0.29760137,0.19634448,0.6580697,-0.30486757,-0.36686298,0.15912753
2024-02-05 22:43:32.807,1.0849669,-0.06122757,0.07571307,0.5515191,0.7729064,-0.05726273,-0.3775059,0.63861305,0.60090536,-0.1151373,-0.23984198,0.21485068,0.55461544,-0.29303545,-0.28741354,0.29241624,0.3571101,-0.7279163,-0.5260016,0.011686394
2024-02-05 22:43:33.837,0.9127318,0.0713692,-0.36562875,0.3516151,0.5325227,-0.22798432,-0.45519966,0.49332577,0.6984036,0.103584334,-0.14836414,0.54947317,0.4629846,-0.086553596,-0.29116738,0.3165609,0.32719564,-0.23634294,-0.41860995,0.06840512
2024-02-05 22:43:34.853,0.81890744,0.37968245,-0.29021642,0.39897117,0.5275011,-0.15388016,-0.3999122,0.6229697,0.79986435,0.1846246,-0.2143608,0.45300362,0.47387052,-0.11438211,-0.24847002,0.27041286,0.30929554,-0.4871885,-0.5026103,0.13460676
