TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-11 10:29:53.506,0.41157275,-0.039475232,-0.22374375,0.37033457,0.24875867,-0.23784643,-0.46929944,0.15058291,0.49583495,0.00028389046,-0.14576252,0.78564525,0.30348524,-0.35429668,-0.17726056,0.26141948,0.0650098,-0.5965103,-0.6057144,-0.038895074
2024-02-11 10:29:54.536,0.9460165,-0.025423976,-0.1776769,0.7003631,0.2917773,0.11288937,-0.614217,-0.064685054,0.6630462,-0.03472351,-0.043389566,0.88268507,0.3422787,-0.14169805,-0.29914966,0.283001,0.18067405,-0.4470455,-0.4440666,-0.057389047
2024-02-11 10:29:55.538,1.0576824,0.19815715,-0.33146808,0.7793364,0.17926729,0.10866643,-0.43530446,-0.12402802,0.65361166,0.14250958,0.102615945,0.7536846,0.39761063,-0.18459558,-0.33896458,0.28963792,0.092621595,-0.5055873,-0.4961399,-0.097159036
2024-02-11 10:29:56.549,0.4055456,-0.06596758,0.278062,0.12829052,0.21735574,-0.09172641,-0.07328439,0.11401341,0.2839611,0.14717515,0.20019875,0.46528482,0.5073345,-0.14357969,-0.19137871,0.07149941,0.12797476,-0.5901109,-0.4799843,0.040945247
2024-02-11 10:29:57.579,0.3664522,-0.15898998,0.3266864,0.33028385,0.33034256,-0.29273447,0.010116481,0.31167048,0.5308166,-0.08057863,0.2055622,0.5192578,0.46606043,-0.24843322,-0.15687466,0.19957839,0.2517783,-0.73199487,-0.40724814,-0.042033236
2024-02-11 10:29:58.584,0.5097982,0.064911254,-0.24382348,0.24071288,0.135326,-0.29595184,-0.19583464,0.38286862,0.56283474,-0.10053637,0.11268778,0.57221043,0.42276105,-0.15251358,-0.23118088,0.1787538,-0.020267252,-0.70355844,-0.6192831,-0.15590689
2024-02-11 10:29:59.590,0.634314,-0.048290376,0.18678357,0.3948785,0.1746735,-0.2840477,-0.4392482,0.29532805,0.19078653,-0.05494572,0.11511228,0.36269176,0.45582372,-0.129868,-0.24012224,0.27534738,0.12032079,-0.5837339,-0.66834646,-0.12979573
2024-02-11 10:30:00.598,0.44398975,-0.4229022,0.046992578,0.21859139,0.29958147,-0.2101746,-0.30055702,0.26356053,0.55920225,0.06767037,-0.12653562,0.56285465,0.44166532,-0.27736288,-0.14834866,0.27918023,0.23030554,-0.4911376,-0.53918356,-0.15532415
2024-02-11 10:30:01.616,0.7551459,-0.077764876,-0.1040446,0.85247076,0.9632141,-1.365046e-06,-0.015629727,0.6072843,0.6779906,-0.0024263388,-0.026478453,0.31826383,0.4354148,-0.29401016,-0.13813436,0.31760332,0.44338793,-0.5594574,-0.4356236,0.29825744
2024-02-11 10:30:02.630,0.973181,0.1304105,0.038446303,0.97463596,0.69523937,-0.07122053,-0.020894803,0.38266417,0.5869751,0.029938836,0.10368203,0.45642865,0.44112718,-0.26766577,-0.1589569,0.33606306,0.39653555,-0.7320459,-0.48688382,0.37060797
2024-02-11 10:30:03.643,0.83518946,0.118249536,0.08809485,0.7057028,-0.06889431,-0.10230124,-0.1327014,0.057702765,0.3050218,0.058271077,0.116363004,0.45113078,0.44325176,-0.20045054,-0.20455836,0.27935898,0.34559107,-0.70558923,-0.5772643,-0.14432973
2024-02-11 10:30:04.652,0.5102538,-0.05230639,0.1688803,0.425717,-0.055290535,-0.20419106,-0.21070679,0.1102523,0.47953907,-0.24226318,0.06294019,0.28148684,0.3496159,-0.26463154,-0.36105096,0.11739412,0.33853588,-0.5368804,-0.6776366,-0.14482534
