TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-11 11:54:35.894,0.5851403,0.24861987,0.119633384,0.36024287,0.4468473,0.1754252,0.083073124,0.42456716,0.68457454,0.13172945,0.13351212,0.5574778,0.54774696,-0.339422,-0.30648822,0.36778682,0.34262192,-0.48830527,-0.5276226,-0.008388757
2024-02-11 11:54:36.915,0.3586405,0.20084527,0.5471385,0.5427928,0.52561593,0.20883168,0.23973995,0.64575577,0.60299915,0.3919367,0.07573847,0.5497369,0.438145,-0.46842024,-0.22867012,0.30900162,0.19828372,-0.63790876,-0.7058516,-0.06300389
2024-02-11 11:54:37.921,0.5243289,-0.17751996,0.4559224,0.48944962,0.49578562,-0.0062594544,0.087628916,0.6930171,0.77804595,0.3949978,0.052095395,0.61563754,0.41715547,-0.46752885,-0.15936564,0.22406834,0.33017427,-0.6977896,-0.62121904,-0.034587674
2024-02-11 11:54:38.945,-0.010843613,-0.20060292,0.14545378,0.3378129,0.12271532,-0.13080595,0.06695277,0.46532536,0.61194587,-0.087835036,-0.05072732,0.5189198,0.51351184,-0.24534519,-0.16889973,0.23849279,0.26977363,-0.7412116,-0.5987419,-0.14311628
2024-02-11 11:54:39.959,0.01033203,-0.35908332,0.028955616,0.50301594,0.15702899,-0.048039705,0.045698706,0.46446055,0.4550088,0.1315415,-0.117880866,0.62675804,0.36174482,-0.33445624,-0.26763168,0.37751108,0.112992905,-0.5424218,-0.48228192,-0.09046885
2024-02-11 11:54:40.965,0.25571612,-0.38108256,0.17521937,0.49554875,0.32260677,0.17524283,-0.09613134,0.2713583,0.4123565,0.055626277,-0.18853138,0.6119248,0.36994073,-0.39062887,-0.22616762,0.37516764,0.19877511,-0.4067942,-0.54926634,0.079716526
2024-02-11 11:54:41.968,0.6476468,-0.2410004,-0.26790845,0.2971666,0.07884961,-0.50621253,-0.59080225,0.11859054,0.3091008,-0.2217719,-0.3673282,0.18475969,0.39471188,-0.22078723,-0.3206258,0.29864445,0.476842,-0.5743461,-0.6461295,-0.117315695
2024-02-11 11:54:42.975,0.6328873,-0.460023,-0.42330784,0.604678,0.14140588,-0.31512585,-0.18119138,0.18671027,0.6726187,-0.047542896,-0.00806672,0.6035318,0.50624067,-0.22628848,-0.33275217,0.27884984,0.47743544,-0.470564,-0.5525302,-0.055000782
2024-02-11 11:54:43.981,0.77464175,-0.28432304,-0.33729482,0.81748915,0.16448344,-0.28992796,-0.17091934,0.24049851,0.6133777,-0.04320097,-0.06885425,0.6338422,0.48645493,-0.19570172,-0.19929484,0.2027713,0.2885048,-0.61788803,-0.4595058,0.09968713
2024-02-11 11:54:45.004,0.21802129,-0.1016529,-0.39025563,0.3679111,0.47247565,-0.35715795,-0.50617653,0.34180784,0.31466916,-0.18905213,0.0026979342,0.60667515,0.31599274,-0.2689491,-0.31239477,0.28263253,0.2151891,-0.5383511,-0.5773608,0.038996283
