TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-03 18:53:43.548,0.56433386,-0.2770235,-0.093693696,0.28892922,0.38572967,0.18082164,0.0033678883,0.87898225,0.82598233,0.35689637,-0.02071699,1.4292448,0.14609767,-0.1868766,-0.25719386,0.4617041,-0.17634025,-0.5980285,-0.60998535,-0.057787053
2024-02-03 18:53:44.066,0.815618,-0.006578441,0.34321862,0.2576875,0.49585402,0.18959299,-0.030694867,0.8944268,0.8614529,0.19830646,0.15940975,1.450067,0.1955335,-0.22043784,-0.22278413,0.4665894,-0.076341935,-0.59514487,-0.6219535,-0.029758155
2024-02-03 18:53:44.583,0.8363408,0.32852033,0.6187324,0.39520934,0.600171,0.10928542,-0.011758759,0.9134246,0.8918123,0.17969361,0.20750831,1.4608995,0.1668843,-0.29179767,-0.09516546,0.3728966,-0.054638863,-0.5474745,-0.5933176,0.0084524285
2024-02-03 18:53:45.099,0.68105763,0.5346408,0.7389313,0.36838663,0.62975377,-0.18053548,-0.10525961,0.66175675,0.98535836,0.23394863,0.22144541,1.1453809,0.17966558,-0.33781993,-0.02639596,0.29768053,-0.09672185,-0.495493,-0.55303687,-0.028303256
2024-02-03 18:53:45.636,0.4697555,0.62534356,0.723681,0.34794366,0.66815525,-0.16638973,-0.059239205,0.7918534,1.2031837,0.2547609,0.22154915,1.3986082,0.20669451,-0.21067204,0.016146291,0.329733,-0.15655532,-0.49572167,-0.5268948,-0.060652718
2024-02-03 18:53:46.147,0.5641307,0.56447047,0.5694904,0.12152899,0.6263703,-0.16277704,-0.02577976,0.8700515,1.2106081,0.2547609,0.13701303,1.3853661,0.2883903,-0.16144973,-0.06693468,0.39200124,-0.24508826,-0.50284135,-0.54179126,-0.06323653
2024-02-03 18:53:46.652,0.58656543,0.43279943,0.38576138,0.16264294,0.7903059,-0.2566093,-0.05562837,1.1058905,1.4434943,0.2096145,0.11259092,1.5612564,0.29970205,-0.1424477,-0.15408486,0.3810267,-0.34336963,-0.6177458,-0.62733084,-0.0781906
2024-02-03 18:53:47.155,0.46266353,0.18588418,0.028241647,0.22341163,0.91322213,-0.2477922,-0.039125793,1.153906,1.4455678,0.080216885,0.24768822,1.5486567,0.2505144,-0.13241816,-0.16615254,0.3704698,-0.38295677,-0.6529557,-0.6166723,-0.11500049
2024-02-03 18:53:47.689,0.32212535,0.059046682,-0.16631031,0.21077642,0.95527834,-0.21134394,-0.11400369,1.1056882,1.4441149,0.071269356,0.26480243,1.548236,0.22984053,-0.13117005,-0.124512374,0.3983324,-0.33072686,-0.6868423,-0.6275671,-0.13811035
2024-02-03 18:53:48.205,0.6901864,-0.124527514,-0.3243402,0.18368196,0.9073275,-0.1392064,0.0013299835,0.99261665,1.2182409,0.00045410928,0.3780865,1.3833485,0.27798736,-0.2311514,-0.16723937,0.4478078,-0.1654645,-0.6557944,-0.61597633,-0.09804438
2024-02-03 18:53:48.716,0.7807408,-0.2349403,-0.43744487,0.25671282,0.8543917,-0.10070367,0.02190913,0.8617275,0.9284585,0.09688604,0.26723284,0.81165487,0.30469477,-0.2564279,-0.19373035,0.4675708,-0.116115846,-0.6319668,-0.60265076,-0.11099442
2024-02-03 18:53:49.227,1.2066275,-0.24882075,-0.35822082,0.23189068,1.0132507,-0.017995022,0.13873412,0.8785949,0.7191303,0.1711064,0.2967997,0.8958989,0.41539374,-0.21775746,-0.18923482,0.44780505,-0.07174588,-0.59171104,-0.60637856,-0.06430731
2024-02-03 18:53:49.763,1.178808,-0.25908557,-0.26733717,0.2918933,0.9077281,0.093145,0.16010138,0.7782062,0.7595456,0.23138988,0.2960368,0.9159932,0.42123088,-0.11782824,-0.17740886,0.4012041,-0.058081977,-0.5868516,-0.6973682,-0.050750736
2024-02-03 18:53:50.273,0.667718,-0.23980735,-0.20392443,0.26125392,0.50753564,0.067582004,0.10663451,0.7120417,0.97169393,0.2801108,0.29058346,0.975021,0.45356712,-0.08377275,-0.22148669,0.36358646,-0.12367758,-0.65072876,-0.7329607,-0.038006477
2024-02-03 18:53:50.788,0.09518339,-0.24464239,-0.19576094,0.33054256,0.7095793,0.114069946,0.0925573,0.90053487,1.2769197,0.28060952,0.28528374,1.2753328,0.47429276,-0.03255332,-0.1315838,0.34131312,-0.2371129,-0.71364266,-0.65282434,-0.046960574
2024-02-03 18:53:51.316,0.17689258,-0.2824314,-0.21938467,0.3989454,0.8417033,0.051504333,0.011900471,1.0322682,1.2682936,0.20289397,0.055977635,1.2755973,0.43692777,0.010345735,-0.10235039,0.36704758,-0.2737217,-0.78559494,-0.6138527,-0.008851016
2024-02-03 18:53:51.822,0.36063233,-0.16921446,-0.12809739,0.4260986,0.96791065,0.036066692,0.1510848,1.1564779,1.239718,0.19698535,0.107115276,1.2771323,0.38051388,0.007160548,-0.05869127,0.35176355,-0.25537312,-0.80601263,-0.5740432,0.02119533
2024-02-03 18:53:52.328,0.2648083,-0.071514174,-0.0034465715,0.38474822,0.88873553,0.18298893,0.07719697,1.051015,1.1319404,0.42696524,0.088304535,1.2025132,0.3107144,-0.027803145,-0.17611153,0.31761634,-0.23488046,-0.7205284,-0.66277367,0.021762015
2024-02-03 18:53:52.836,0.2566649,-0.09654948,0.13007231,0.22517157,0.85323596,0.23774724,-0.030185757,0.8570838,1.1747177,0.5230523,0.13540323,0.8838553,0.32411316,-0.079907805,-0.29707518,0.30632165,-0.23351932,-0.59705627,-0.65242654,-0.029970326
2024-02-03 18:53:53.360,0.047334697,-0.12700753,0.19895269,0.054430198,0.754976,0.26927343,-0.20175603,0.5489941,1.1809769,0.5230523,0.15008375,0.9269761,0.2532157,-0.15283808,-0.4493366,0.3208934,-0.26100105,-0.5077557,-0.70822644,-0.06648322
2024-02-03 18:53:53.864,0.3233568,-0.04978797,0.26092744,0.088551626,0.71659255,0.11244673,-0.22544695,0.50285023,1.1655855,0.49061874,0.2489285,0.9474427,0.26098529,-0.12332121,-0.44331485,0.34556898,-0.14870104,-0.5215934,-0.7017825,-0.011505813
2024-02-03 18:53:54.386,0.5461477,0.13965325,0.355738,0.4206228,0.612742,0.077405244,-0.09931023,0.5590801,1.015165,0.3348715,0.26135156,0.8560757,0.23142642,-0.09265997,-0.3972365,0.32908517,-0.15292977,-0.56194615,-0.74963987,-0.012515828
