TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-02 21:45:51.342,0.65158,0.7853868,0.0,0.7550943,0.58873385,-0.04279468,0.0,0.6326803,1.3663175,0.1417387,0.0,1.3537921,0.33015487,-0.13995497,0.0,0.22836271,-0.17328508,-0.47913176,0.0,-0.020879867
2024-02-02 21:45:52.354,0.9042399,0.8053534,0.0,0.8915989,0.17914984,-0.10413927,0.0,0.2600515,1.215198,0.24605165,0.0,0.9763666,0.27607062,-0.20917894,0.0,0.17120112,-0.08725116,-0.49850088,0.0,0.16036926
2024-02-02 21:45:53.358,0.4383194,0.46691182,0.0,0.39747632,0.35579693,-0.08835403,0.0,0.631213,1.2905409,0.47803953,0.0,1.2650187,0.45149967,-0.028426459,0.0,0.24435721,-0.14644316,-0.4921594,0.0,-0.046497323
2024-02-02 21:45:54.396,0.33849153,0.3191729,0.0,0.45972678,0.30992407,0.03235731,0.0,0.8425673,1.3184627,0.58197767,0.0,1.3310815,0.44062695,-0.005833108,0.0,0.2154688,-0.1974351,-0.51833475,0.0,-0.12911794
2024-02-02 21:45:55.427,0.1745082,0.07869521,0.0,0.42172214,0.50132203,0.0005699936,0.0,0.8834899,1.1990485,0.51297265,0.0,1.3047088,0.3643321,-0.17504634,0.0,0.2166034,-0.22336668,-0.4892212,0.0,-0.11706887
2024-02-02 21:45:56.455,0.22931553,0.044807326,0.0,0.28980884,0.58421296,-0.05591505,0.0,0.4854629,1.0388588,0.33291054,0.0,1.0388888,0.30042914,-0.084888875,0.0,0.40478748,-0.083168514,-0.41522437,0.0,0.013729812
2024-02-02 21:45:57.460,0.4783111,0.4107773,0.0,0.50735193,0.64876705,-0.029294841,0.0,0.4175734,0.9353904,0.27423066,0.0,0.6807732,0.31800058,-0.0047900598,0.0,0.3248049,-0.25165752,-0.56252545,0.0,0.06841479
2024-02-02 21:45:58.474,0.96002626,0.9542708,0.0,0.8591563,0.7172087,-0.19308858,0.0,0.5081036,1.3011919,0.09359696,0.0,0.48040497,0.22932361,-0.10828266,0.0,0.17554483,-0.2962092,-0.52718335,0.0,0.042325888
2024-02-02 21:45:59.479,0.9725983,0.98410696,0.0,0.8591563,0.43034616,0.08963749,0.0,0.5081036,1.279438,0.1137111,0.0,0.48040497,0.07820598,-0.29899365,0.0,0.17554483,-0.077526726,-0.53250295,0.0,0.042325888
2024-02-02 21:46:00.493,0.6527508,0.55184203,0.0,0.31124294,0.45419443,0.025977938,0.0,0.36143887,1.1334997,0.20855463,0.0,0.9143027,0.21816102,-0.060810514,0.0,0.447857,-0.01062319,-0.580288,0.0,-0.01792995
