TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-01-11 11:03:51.320,0.46369487,-0.0071108467,-0.08764035,0.38004872,0.59967905,-0.10331502,-0.09330716,0.57855594,1.3735412,0.25445232,0.36359018,1.2358631,0.16862492,0.08436023,-0.14063711,0.2530701,-0.44870728,-0.38540196,-0.6006008,-0.10716088
2024-01-11 11:03:51.828,0.5075645,-0.14617808,0.0047741462,0.40630978,0.67583233,-0.114672326,0.061005928,0.60893947,1.3735412,0.30864245,0.2073865,1.1054181,0.18566409,0.07167049,-0.18485714,0.22125201,-0.3854485,-0.41444358,-0.52282274,-0.042065576
2024-01-11 11:03:52.349,0.45089707,-0.2794864,0.23592217,0.34624222,0.69672376,-0.029741505,0.26618016,0.5556504,1.3496361,0.34504393,0.18051419,1.1241544,0.22455713,0.021169739,-0.22660911,0.15568402,-0.36576003,-0.44204122,-0.47039294,0.012755172
2024-01-11 11:03:52.858,0.037773483,-0.08314251,0.28182507,0.26887414,0.65468305,-0.09763986,0.27303356,0.4663159,1.2528875,0.3251479,0.2748247,1.1027454,0.18492286,0.019516531,-0.1510821,0.16648598,-0.33433133,-0.599351,-0.51640457,-0.02744641
2024-01-11 11:03:53.362,0.00477027,0.0500913,0.17588666,0.281603,0.57570285,-0.15251878,0.12987323,0.4413807,1.2286372,0.3270575,0.32650635,1.1826899,0.15461846,0.06539184,-0.041780364,0.21277449,-0.30487034,-0.6240469,-0.4756989,-0.02064158
2024-01-11 11:03:53.876,0.29723692,0.07807463,-0.14550915,0.5100514,0.53770334,-0.11690178,-0.116790794,0.4197046,1.2422462,0.32338342,0.30863595,1.1826899,0.093543425,0.14342272,-0.02783586,0.22719876,-0.3248117,-0.58687735,-0.552511,-0.099064305
2024-01-11 11:03:54.388,0.33199772,0.06292192,-0.1916011,0.48121685,0.5527842,0.030947572,-0.05001615,0.24101405,0.9203359,0.28200242,0.36857894,1.1839088,0.11063471,0.16822089,-0.0239491,0.22579472,-0.340333,-0.5506276,-0.5414495,-0.1072533
2024-01-11 11:03:54.904,0.34272882,0.10177947,-0.1507942,0.63053983,0.5412701,0.046679165,-0.072977535,0.29995134,0.8890299,0.28064397,0.3687817,1.051788,0.1788771,0.16897652,-0.01873602,0.23545352,-0.34869507,-0.5869933,-0.6377159,-0.13783778
2024-01-11 11:03:55.423,0.17920692,0.15807545,-0.12824605,0.51596034,0.47348276,-0.055468254,0.01735493,0.38889462,0.868486,0.5053869,0.43194658,0.9889394,0.18372102,0.061475284,-0.00035010412,0.23225728,-0.25407118,-0.5995545,-0.59772706,-0.04954644
2024-01-11 11:03:55.943,0.2388956,0.20551604,0.26743835,0.46238557,0.45669106,-0.24794994,0.112557866,0.3733078,0.87967557,0.4999062,0.4263203,0.94719565,0.21135159,0.02525575,-0.015828824,0.22307125,-0.2372159,-0.6084021,-0.60351783,0.014196802
2024-01-11 11:03:56.465,0.41405663,0.16107252,0.4227286,0.39091516,0.52625513,-0.24235073,0.19122829,0.46965125,1.1657135,0.49862635,0.38496828,1.3504156,0.22359937,0.02849446,0.06748899,0.2575206,-0.24536914,-0.54206204,-0.677122,0.04968684
2024-01-11 11:03:56.995,0.50856805,0.09476744,0.3866919,0.56467044,0.7173402,-0.028298886,0.08803332,0.562754,1.3008449,0.32868454,0.06748177,1.3877208,0.27667168,0.10692901,0.01956575,0.30420107,-0.26687148,-0.47521037,-0.7139464,0.003857284
2024-01-11 11:03:57.530,0.45847026,-0.0036544167,0.09558755,0.53637415,0.7162315,-0.044561222,-0.0618206,0.5941947,1.2990535,-0.0037373113,0.0834055,1.4115348,0.31309667,0.11682781,-0.047932804,0.29425633,-0.16863108,-0.5140128,-0.68990195,-0.027503522
2024-01-11 11:03:58.052,0.44163084,-0.102706686,-0.12877075,0.4369618,0.65247816,-0.17232615,-0.1671034,0.5156136,1.3536276,-0.0036509107,0.105391264,1.4465199,0.2777659,0.046459608,-0.19355074,0.24883018,-0.15982015,-0.56067985,-0.6766881,-0.13827184
2024-01-11 11:03:58.554,0.47038415,-0.13687977,-0.04928197,0.18162394,0.43836334,-0.57269764,-0.20616652,0.32921574,1.178992,-0.0097335065,0.1091396,1.4075631,0.21128343,0.004665386,-0.07148429,0.19013228,-0.1760489,-0.54186106,-0.6027326,-0.14128426
2024-01-11 11:03:59.056,0.5029446,-0.12896223,0.080778286,0.14481679,0.5091548,-0.18297,-0.059984554,0.24512695,1.4357345,0.38771024,0.36259192,1.4216205,0.24293014,0.035556912,-0.049201235,0.3236041,-0.25721076,-0.4780837,-0.49712685,-0.18839805
2024-01-11 11:03:59.568,0.44143683,0.042506646,0.0862676,0.25744492,0.7896431,0.066254206,0.11608625,0.32316837,1.4747554,0.500722,0.46469104,1.3043042,0.3001015,0.1338805,-0.057621967,0.35406923,-0.2884321,-0.44929156,-0.44782642,-0.16137071
2024-01-11 11:04:00.101,0.4553395,0.11749277,0.12916425,0.5204673,0.81404334,0.19213632,0.19413294,0.48293802,1.4738184,0.5341754,0.4683037,1.3305901,0.35396373,0.21027882,-0.014138044,0.40945056,-0.32430536,-0.5114545,-0.42873263,-0.13247281
2024-01-11 11:04:00.636,0.65294427,0.15602286,0.10011135,0.6335806,0.7858,0.13153356,0.16002911,0.47717512,1.4167886,0.61003524,0.42949823,1.2860924,0.29693577,0.19370206,0.09384328,0.31205675,-0.3373146,-0.50744355,-0.51129717,-0.08429418
2024-01-11 11:04:01.142,0.5841036,-0.029063929,0.06651038,0.52252656,0.41432363,-0.090787895,0.061049093,0.27818042,0.78396636,0.31430635,0.25314245,1.2103531,0.21343131,0.13929981,0.16894364,0.27744958,-0.38285923,-0.5385263,-0.4525965,-0.047129788
2024-01-11 11:04:01.666,0.5017206,-0.22787236,0.058160555,0.37149993,0.16248773,-0.27786815,-0.04569618,0.20702857,0.9216193,0.27896664,0.19994053,1.1388423,0.14386758,0.07100048,0.10477943,0.32257637,-0.4349967,-0.55228686,-0.47504017,0.004288712
2024-01-11 11:04:02.171,0.22582835,-0.32539663,0.09611368,0.28479484,0.07773449,-0.34850857,-0.053853545,0.22805871,0.95238215,-0.16678543,0.15324628,1.2219914,0.12498106,0.09292929,0.005180026,0.31672075,-0.47496453,-0.57196945,-0.50178367,-0.043723922
2024-01-11 11:04:02.681,0.27917087,-0.087375365,0.07675262,0.3935833,0.09857559,-0.3385348,-0.25763953,0.23763841,0.95238215,0.15149945,0.19025986,1.2179595,0.13885574,0.09467261,-0.02021605,0.311609,-0.3457904,-0.4393922,-0.59192556,-0.076264136
2024-01-11 11:04:03.200,0.20463203,0.0073992033,0.11428874,0.32289582,0.2951755,-0.27022,-0.40313715,0.44860053,1.223557,0.18003334,0.25628117,1.3415045,0.24656972,0.10568217,-0.033608466,0.33260065,-0.27745515,-0.40686768,-0.46857068,-0.17512934
2024-01-11 11:04:03.721,0.1957412,0.047707304,0.020855615,0.35956308,0.45757923,0.0783699,-0.43887556,0.7119076,1.3886541,0.33320913,0.17165935,1.4315584,0.37496543,0.14195533,-0.072865814,0.3385102,-0.18208872,-0.37889892,-0.35962078,-0.16001941
2024-01-11 11:04:04.243,0.27263248,-0.0646607,0.23187236,0.34200257,0.8134971,0.08067588,-0.33985668,0.91308576,1.5363559,0.37321365,0.1539665,1.4355067,0.3662914,0.14072444,-0.15480584,0.37195867,-0.21796916,-0.4946604,-0.3824827,-0.081519954
2024-01-11 11:04:04.765,0.3350702,-0.2204152,0.18277818,0.39093682,0.801594,0.027225956,-0.12890956,0.86879295,1.5321478,0.37321365,0.14645045,1.4292234,0.20879959,0.18372445,-0.2054562,0.275902,-0.29769868,-0.51520884,-0.54922885,-0.07549575
2024-01-11 11:04:05.277,0.37273172,-0.0927584,0.30948454,0.2720421,0.7529833,-0.30491707,-0.06463843,0.79513985,1.5208231,0.26985475,0.24887542,1.4140544,-0.0050659436,0.20083812,-0.07649234,0.32741404,-0.43364796,-0.59445256,-0.6745766,-0.012345789
2024-01-11 11:04:05.789,0.28362685,0.025380304,0.29054558,0.1910495,0.3840679,-0.2941878,0.091154374,0.56985474,1.2993392,0.113764964,0.32691962,1.2738236,-0.016962696,0.2014882,-0.09791203,0.31349578,-0.40834272,-0.53758293,-0.64954185,-0.009948561
2024-01-11 11:04:06.305,0.15779236,0.1278595,0.35954395,0.016457628,0.31282106,-0.1384853,0.18035068,0.5195736,1.0599688,0.29797047,0.37254563,1.2765688,0.0772867,0.18905424,-0.036391426,0.30971387,-0.31021792,-0.600501,-0.61330694,0.04054396
2024-01-11 11:04:06.809,0.12922017,0.044865727,0.3316061,0.11022491,0.23324801,-0.11142482,0.16599472,0.44305104,0.9575372,0.33781826,0.3607989,1.1188583,0.13174719,0.16718723,-0.10538704,0.29588318,-0.2596515,-0.5551004,-0.63208956,0.033252776
2024-01-11 11:04:07.335,0.20643067,-0.0025763514,0.21546252,0.248953,0.3036683,0.012814637,0.07240568,0.5377513,0.9625109,0.3986299,0.3150164,1.1221634,0.14811654,0.12149427,-0.087996095,0.29813907,-0.31501496,-0.5633095,-0.6310265,0.013076527
2024-01-11 11:04:07.841,0.21206786,-0.07104712,0.05501728,0.3870936,0.30827123,-0.059490178,-0.060353417,0.51633596,0.8228031,0.27288055,0.108974285,1.1250762,0.21843323,0.041045513,-0.12676804,0.35096735,-0.35254171,-0.33634132,-0.6218204,0.06666052
2024-01-11 11:04:08.361,0.2500967,-0.03679477,-0.15705758,0.4285878,0.36058778,0.06371506,0.0092402045,0.45264167,0.7859681,0.199614,0.23580086,1.1060086,0.2577878,0.01235323,-0.13290305,0.33813572,-0.37977245,-0.3416511,-0.60133857,0.036319003
2024-01-11 11:04:08.873,0.296199,-0.08140469,-0.22015019,0.53518194,0.36103684,0.0042298823,-0.07602855,0.31773672,1.2294441,0.1003482,0.24733555,1.0721436,0.28935528,0.010680936,-0.14408599,0.3889927,-0.3101998,-0.30850345,-0.53194153,-0.05476611
2024-01-11 11:04:09.378,0.41481012,0.028747045,0.027573543,0.65570104,0.42434445,0.08098221,-0.19511734,0.48308906,1.2253015,0.4029944,0.31911656,1.0497787,0.29386866,0.07249709,-0.24833633,0.41865548,-0.35891786,-0.47925246,-0.46777722,-0.2279199
2024-01-11 11:04:09.895,0.51226175,0.062593676,0.26584533,0.62625307,0.5333074,0.012477338,-0.07594687,0.5611828,1.3272997,0.40067577,0.34015018,1.1214769,0.31724593,0.081557244,-0.29531255,0.43567255,-0.40541917,-0.48995543,-0.47836652,-0.28381786
2024-01-11 11:04:10.397,0.4332658,0.18503968,0.40315667,0.44602606,0.47210783,-0.026646912,0.1612547,0.58246595,1.3026929,0.38124433,0.40787312,1.2286539,0.35486165,0.106593415,-0.27418265,0.36368865,-0.5086794,-0.6552635,-0.56095904,-0.15644889
2024-01-11 11:04:10.926,0.34900877,0.1879578,0.4106067,0.18197455,0.43030712,-0.08549532,0.22751522,0.49582243,1.303274,0.19467719,0.5068228,1.2465227,0.36354578,0.08061732,-0.1499084,0.2740964,-0.4172781,-0.629707,-0.6401152,-0.05462392
2024-01-11 11:04:11.453,0.024823695,0.14629653,0.35891703,0.19918285,0.54771036,-0.14691612,0.3212378,0.77774364,1.3194205,0.17387931,0.58277106,1.3892001,0.36497498,0.057177737,-0.009493624,0.1734465,-0.34753564,-0.62632525,-0.6557699,-0.015959574
2024-01-11 11:04:11.980,0.076063804,0.12744403,0.34301612,0.1940009,0.77778816,-0.058544643,0.3568766,0.88510615,1.3212874,0.07276782,0.5798656,1.3924415,0.316466,0.024464818,0.017640725,0.1339868,-0.25798824,-0.6161978,-0.6258733,-0.03555013
