TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-07 17:11:31.703,0.2360435,0.23009351,0.57722133,0.36936322,0.919495,0.30539992,0.6638622,0.76746786,0.95532,0.11269217,0.75585634,0.5861985,0.24502021,-0.033228334,-0.12917615,0.3764247,0.18609259,-0.41924736,-0.5051926,0.039986398
2024-02-07 17:11:32.209,0.17624043,0.12022759,0.0967255,0.3111806,0.8782355,0.17892987,0.33914617,0.8952863,1.0260226,0.19865705,0.41091675,0.92961794,0.35103628,-0.026231572,-0.17310654,0.3510629,0.16336732,-0.5281049,-0.41691807,0.049560223
2024-02-07 17:11:32.761,0.019681308,-0.10238875,0.14582162,0.34664282,0.76468486,0.018578537,0.25200358,0.88704586,0.76096094,0.18030638,0.41687968,0.93103397,0.35980508,-0.025286503,-0.17539051,0.36732253,0.14078927,-0.6388889,-0.39583045,0.12810645
2024-02-07 17:11:33.273,0.23585473,-0.19426611,0.11248195,0.45744336,0.769615,0.1654782,0.28394777,0.81164056,0.8604124,0.18110369,0.43927753,0.9181253,0.35495552,-0.090543136,-0.063975625,0.33698592,0.10010164,-0.63687027,-0.42883483,0.29407832
2024-02-07 17:11:33.802,0.4176427,0.0057056197,-0.009781301,0.65645593,0.7992565,0.46030456,0.3203384,0.67544204,0.8004986,0.07723801,0.47690856,0.76807725,0.2626845,-0.17423111,0.047581024,0.37035772,0.17995706,-0.5981918,-0.56725913,0.3845031
2024-02-07 17:11:34.304,0.58208877,0.3449134,-0.06542796,0.6917016,0.9730083,0.716884,0.32445052,0.7453487,0.954193,0.12552278,0.4522585,0.90538394,0.2922334,-0.24234718,0.08574416,0.3262638,0.14470999,-0.61354566,-0.53186214,0.33507144
2024-02-07 17:11:34.821,0.4825193,0.39506975,0.002346776,0.55733955,0.9811993,0.74241364,0.28859624,0.84503806,1.2255671,0.25851047,0.38058153,0.9526676,0.34742254,-0.2294753,0.042449664,0.31352666,0.11615504,-0.57863194,-0.52270865,0.19647355
2024-02-07 17:11:35.325,0.7525327,0.6785924,0.0034904117,0.76207703,1.159549,0.70241445,0.35159478,1.0006539,1.4814118,0.53313667,0.3538115,1.2929586,0.38838214,-0.27662966,-0.032473233,0.32023174,-0.001385909,-0.47961256,-0.52612805,0.011283751
2024-02-07 17:11:35.827,0.8034149,0.7143247,0.015838588,0.83346754,1.1866165,0.58138525,0.5639863,1.0476239,1.4790938,0.5204066,0.345291,1.2892637,0.38293478,-0.31590268,-0.040809885,0.3624407,0.010002567,-0.41228172,-0.5785078,-0.023515636
2024-02-07 17:11:36.337,1.1233556,0.7242439,-0.056303922,1.0966312,1.3847096,0.37244818,0.5246411,1.1013124,1.4740275,0.50229174,0.31234136,1.2763858,0.3702816,-0.18342113,0.008583214,0.451946,0.092891306,-0.38157654,-0.56310725,-0.00030088885
2024-02-07 17:11:36.866,0.48849154,-0.20086667,-0.10120056,0.5824021,0.44318953,-0.096292704,0.39272845,0.36733395,0.8948208,0.22314249,0.27204117,0.56928873,0.2647912,-0.083017,-0.031076895,0.5305668,0.058717027,-0.5163072,-0.36382926,0.23163368
2024-02-07 17:11:37.420,0.5962909,-0.10517629,-0.2344341,0.60784334,0.3415715,-0.06620376,-0.07676158,0.33062944,0.93690664,0.26964366,-0.05091613,0.6456788,0.34139115,-0.08556276,-0.05642853,0.470178,-0.004992636,-0.5012542,-0.29667857,0.27720568
2024-02-07 17:11:37.958,0.6155479,0.34285995,0.08319464,0.6257296,0.3233775,0.12443502,-0.10860302,0.3830759,0.93690664,0.26975557,0.04723734,0.62166053,0.34217775,-0.089344926,-0.17902613,0.4532027,0.0032742152,-0.57439846,-0.32807085,0.31252477
2024-02-07 17:11:38.476,0.7131555,0.58814305,0.17415978,0.6765991,0.25625783,0.32584852,0.084718175,0.24622507,0.8279707,0.37323004,0.51316434,0.5803411,0.42052907,-0.08574017,-0.14586712,0.33781993,-0.14029159,-0.4950843,-0.45954484,0.28278142
