TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-03 17:53:20.126,0.61252534,1.1293375,0.88328594,0.77624524,0.24498743,0.30201596,0.0077945963,0.46068034,0.9439334,0.42359975,0.18367212,1.0239153,0.12832208,-0.122562215,-0.30225286,0.37201723,-0.06603145,-0.48088974,-0.63122845,0.08262639
2024-02-03 17:53:20.633,0.772139,1.0767846,1.0956707,0.7590569,0.35383338,0.36159918,0.018511856,0.45400953,0.9461351,0.43447584,0.1698362,1.0596123,0.115243636,-0.16886862,-0.3431766,0.38861454,-0.022726472,-0.53231144,-0.6559553,0.051786385
2024-02-03 17:53:21.138,0.92746925,0.8556477,1.0450748,0.5883719,0.49150124,0.25307962,-0.13057092,0.42902705,0.97035,0.41993138,0.18107024,0.88342553,0.11879169,-0.28802136,-0.2723552,0.42804337,-0.022955531,-0.5275773,-0.5325708,0.037859622
2024-02-03 17:53:21.655,0.99144834,0.4443869,0.9069951,0.48941565,0.5875414,0.12530528,-0.11489454,0.44576243,1.1695874,0.43861705,0.21129274,1.0268139,0.08746863,-0.2282695,-0.14445955,0.41644233,-0.116291784,-0.61044383,-0.58935565,-0.021153757
2024-02-03 17:53:22.162,0.8696863,0.7273054,0.73376805,0.5316522,0.50362235,0.13560781,0.18300436,0.41192782,1.1695874,0.40072805,0.2536648,1.0154115,0.087573975,-0.09675435,-0.07968999,0.38854265,-0.26340497,-0.6520505,-0.4876725,0.022227788
2024-02-03 17:53:22.671,0.9283383,0.8814005,0.8185591,0.5970474,0.39462793,0.1821477,0.33276504,0.34653887,1.1695874,0.40129557,0.28100994,0.9943981,0.04085026,-0.0237984,-0.06467945,0.35593557,-0.25597948,-0.6097696,-0.51121116,0.0147105055
2024-02-03 17:53:23.180,0.86848223,1.081777,0.790063,0.6149448,0.36420313,0.18224747,0.31081167,0.38147023,0.9888942,0.24364567,0.27188617,0.66588396,0.11891851,-0.08020451,-0.17254822,0.36849582,-0.17081854,-0.50574017,-0.51897395,0.0037393847
2024-02-03 17:53:23.681,0.9449876,1.0950997,0.6825008,0.43898705,0.37634036,0.12451512,0.16428667,0.40989047,0.6904277,0.26787123,0.3500056,0.480223,0.14036754,-0.13766965,-0.24487318,0.3943647,-0.11826137,-0.4596466,-0.6779203,-0.08081143
2024-02-03 17:53:24.183,0.79211134,1.0315714,0.5562215,0.28058955,0.6255936,0.3483041,0.14007947,0.466498,0.5027206,0.540918,0.44599697,0.4461975,0.30268744,-0.093863055,-0.26814178,0.45906806,-0.025611892,-0.5092318,-0.622109,-0.05938098
2024-02-03 17:53:24.684,0.79211134,0.8448562,0.4888697,0.9328658,0.6255936,0.45237464,0.3743462,1.106156,0.5027206,0.5533193,0.4576959,0.7821688,0.30268744,-0.04138785,-0.11456767,0.6737959,-0.025611892,-0.48756757,-0.5749248,0.087985896
