TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2024-02-06 23:33:32.046,0.118653744,0.03357071,0.25677994,0.21633849,0.44446182,-0.08938539,0.24563941,0.45607188,0.77902645,0.29001102,0.22816864,0.7124681,0.48149824,0.08184226,0.06413112,0.57190996,0.11558589,-0.32450372,-0.10280494,0.32387412
2024-02-06 23:33:33.059,0.60138243,0.35368052,0.8390078,0.4629885,0.2711501,-0.025314007,-0.07269303,0.21755336,0.7430769,0.28608572,0.16126145,0.48722523,0.54227036,-0.011305653,0.077046774,0.49909574,0.09848019,-0.29003295,-0.16757642,0.34364596
2024-02-06 23:33:34.072,0.35046744,0.04388783,0.55719334,0.2678928,0.36737162,-0.31631434,-0.19648063,0.4223762,0.82222754,0.2596344,0.04649175,0.8070675,0.45703885,-0.037037537,0.0852073,0.6109768,0.16701432,-0.27626684,-0.09596137,0.31788573
2024-02-06 23:33:35.097,0.18529531,-0.08091369,0.3818409,0.25518534,0.37029645,-0.07851717,-0.1579025,0.36530277,0.68097746,0.06514627,-0.10552132,0.8307471,0.36258066,0.025963949,0.04503523,0.5738091,0.2021363,-0.35156995,-0.07396601,0.4067012
2024-02-06 23:33:36.101,0.541497,0.5008503,0.4521035,0.68002915,0.5390038,0.16396038,0.06865649,0.5551466,0.7962644,0.40489966,0.31885138,0.70950097,0.41760734,0.013834015,0.05763167,0.57944727,0.15321764,-0.26442936,-0.039264735,0.27473876
2024-02-06 23:33:37.128,0.6592583,0.73672676,0.48290738,0.5822514,0.57937,0.26745895,0.17730276,0.6313767,0.99938685,0.43523774,0.42448545,1.0685586,0.53092915,0.08597552,0.18991727,0.6036121,0.21723732,-0.15060468,-0.043845676,0.41497448
2024-02-06 23:33:38.138,0.69577897,0.84809947,0.30848232,0.36364815,0.40690747,0.2152086,0.13737981,0.83580506,1.0183896,0.031378824,0.37414414,1.3826007,0.5222769,0.16200878,-0.05614796,0.43913388,0.099615015,-0.19910838,-0.09126907,0.23957156
2024-02-06 23:33:39.161,0.3410763,0.14115857,0.20183457,0.32470447,0.32706982,-0.25701582,0.09292108,0.85541373,1.0276773,0.08444799,0.5919227,1.3207886,0.4854842,-0.0024162803,-0.033719286,0.45593017,0.07487337,-0.20159578,-0.18613777,0.3328074
2024-02-06 23:33:40.166,0.31586775,0.021830013,0.0064469567,0.24422243,0.25067556,-0.13922226,0.12785187,0.744703,0.9914537,0.24916703,0.58494717,1.0521891,0.50898546,-0.025085727,0.07236907,0.51682,0.21140444,-0.20431525,-0.18926454,0.31954873
2024-02-06 23:33:41.197,0.62125367,-0.072871305,0.570842,0.67795926,0.46301585,-0.0509397,-0.015187748,0.8601221,1.1105713,0.3849164,0.22513098,1.2008003,0.5656389,0.0036171356,0.2150782,0.45856807,0.23786066,-0.35045928,-0.23559451,0.3146806
2024-02-06 23:33:42.207,0.992946,0.36501977,1.0341799,0.79175574,0.7051394,0.15709966,0.20674548,0.7366138,0.9913946,0.2309146,0.14409974,1.1026236,0.5020414,0.037014283,0.2819374,0.43736562,0.10004003,-0.4115537,-0.28781265,0.34069762
2024-02-06 23:33:43.228,0.8475808,0.3102265,0.56663686,0.52450514,0.69541585,0.18918481,-0.040782653,0.76832175,0.9951465,0.024043305,0.25281167,1.0259819,0.4335701,0.012320434,-0.018969882,0.48252332,0.15484113,-0.39483842,-0.32804215,0.3415264
2024-02-06 23:33:44.235,0.59271544,0.3829629,0.59313303,0.6492973,0.77883637,0.3020631,0.16959195,0.69202304,1.0262035,0.41184407,0.55050015,1.0138131,0.339487,0.09887932,-0.030481357,0.44278443,0.14822143,-0.25715044,-0.44223267,0.36530915
2024-02-06 23:33:45.261,0.71549314,0.8420958,0.7883291,0.72997874,0.70952433,0.30478245,0.4494645,0.46714088,1.1787257,0.60530007,0.5968448,0.9455943,0.544168,0.11204065,0.17395777,0.5048132,0.010605725,-0.17216258,-0.31172282,0.3452585
2024-02-06 23:33:46.277,0.68559915,0.7911957,0.75657815,0.8145437,0.55209035,0.3408161,0.5861974,0.5772796,1.1678399,0.7127393,0.5270198,0.9641201,0.5772441,0.010094798,0.28152975,0.53102356,0.1466274,-0.18242188,-0.049173214,0.15300414
2024-02-06 23:33:47.291,0.5910312,0.7522258,0.557339,0.7507429,0.63684714,0.25902215,0.3327613,0.7367348,1.1889715,0.63705003,0.40159234,1.0445219,0.336299,-0.037822604,0.21037379,0.38803357,0.04791364,-0.32637352,-0.015433867,0.21519841
2024-02-06 23:33:48.323,0.4663859,0.29785135,0.40035054,0.5431472,0.5692993,0.23363142,0.07221858,0.5479885,1.0724093,0.23975272,0.45716062,1.0083642,0.4409939,-0.14552909,0.12916982,0.6002072,0.015191332,-0.48862782,-0.052986275,0.30646515
2024-02-06 23:33:49.344,0.8042135,0.4756872,0.56468445,0.6695305,0.6568468,-0.1241907,0.05167956,0.5205211,1.2574124,0.2993542,0.44723356,1.0627599,0.3452124,0.22915253,0.15787561,0.6193824,0.10499736,-0.4170236,-0.25042737,0.2682042
2024-02-06 23:33:50.344,0.8995403,0.5826488,0.72894883,0.78865755,0.9741303,0.12805225,0.44205466,0.82108355,1.4122803,0.40863958,0.6972789,1.1652607,0.36462796,0.1781166,0.24663962,0.5758638,0.16077851,-0.26843444,-0.24421151,0.14110738
2024-02-06 23:33:51.347,1.3593994,0.7856979,0.87012374,1.2196007,0.93539697,0.30255836,0.7795987,0.9230506,1.4240398,0.316575,0.77246755,1.1302087,0.4458559,0.16334987,0.44604132,0.6469157,0.12729819,-0.13469182,-0.09043364,0.1963839
2024-02-06 23:33:52.380,1.2951208,-0.27789706,0.5749857,1.2441255,0.49107975,0.09747125,0.5980981,0.5737642,1.0303324,0.06391979,0.6925559,0.77957827,0.44114524,-0.17240259,0.24159037,0.57474095,0.022210278,-0.2561697,-0.027736764,0.37602675
2024-02-06 23:33:53.397,0.4009068,0.13748077,0.105760835,0.33221492,0.4322787,0.11369946,-0.19811812,0.49223188,1.0488838,0.41002104,0.06512674,0.90634394,0.35675007,-0.037300285,-0.13400874,0.47781646,0.13416436,-0.21200684,-0.028663315,0.31467295
