Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Output
0.22834621,-0.18972836,0.17800881,0.5964259,0.2550517,-0.18952262,-0.025803734,0.42473087,0.5322651,0.42296803,0.07285059,0.52787304,0.12077138,0.3112786,-0.0011538684,0.4387865,-0.14463212,0.0050187767,-0.4572774,0.018175656,Doctor
0.42536262,-0.06846467,0.11156259,0.5628316,0.27073535,-0.26548526,0.008431181,0.31032246,0.6858171,0.5365675,0.22486474,0.52842444,0.19314393,0.37866217,-0.05102209,0.45238337,-0.20633003,-0.11130427,-0.40970534,-0.057190698,Doctor
0.48464638,0.05386239,0.012143358,0.5746696,0.045650356,-0.32303798,0.021182632,-0.09956175,0.8362686,0.42089552,0.26204416,0.4834184,0.15022898,0.39323926,-0.21442275,0.27606508,-0.22783081,-0.100443825,-0.48384622,0.03456541,Doctor
0.47004035,0.16632399,0.30184573,0.6505797,0.1403041,-0.15253225,0.10053674,-0.07653672,0.84747815,0.40836427,0.29323116,0.64933485,0.14776884,0.4032935,-0.24824587,0.34628966,-0.16074581,-0.0066954354,-0.5316357,0.047911946,Doctor
0.37472215,0.21835652,0.4211787,0.6743291,0.10632969,-0.07154645,0.0780123,-0.06959507,0.841245,0.23838957,0.304976,0.75618005,0.04451219,0.3304195,-0.22755551,0.4041428,-0.09293759,0.04784472,-0.5606655,0.07638104,Doctor
0.313316,0.28142953,0.9099235,0.56935674,0.22307946,-0.047946367,0.47848254,0.0077279583,0.47454438,0.19382145,0.28305122,0.75131744,0.030176986,0.3028404,-0.14066215,0.5105751,-0.024473444,0.08797353,-0.4824871,-0.0040302775,Doctor
0.36782104,0.18401359,0.8770921,0.53115916,0.32411724,-0.018692268,0.46550405,0.0766806,0.213962,0.32132635,0.28305122,0.7231528,-0.07361284,0.26808625,-0.14693557,0.5441869,0.07333698,-0.061070275,-0.49166542,-0.015125884,Doctor
0.47671765,-0.13149707,0.8369381,0.53115916,0.58908176,0.1658109,0.45765382,0.0766806,0.59301746,0.42779094,0.2879714,0.7231528,0.13417736,0.29795977,-0.11023238,0.5441869,0.047801893,-0.19019099,-0.45064476,-0.015125884,Doctor
0.747267,-0.0010605053,0.07799827,0.53115916,0.47087684,0.14175482,-0.062108714,0.0766806,0.61431473,0.42779094,0.19913371,0.7231528,0.13586922,0.3255578,-0.0438052,0.5441869,-0.0159434,-0.21569812,-0.27170545,-0.015125884,Doctor
0.7176363,0.05224591,0.21444146,0.53115916,0.5641086,0.18843684,-0.10011157,0.0766806,0.75757074,0.42779094,0.35663733,0.7231528,0.22785899,0.41875976,0.2721597,0.5441869,0.05607451,-0.1142866,0.0255596,-0.015125884,Doctor
0.7978457,0.12829082,0.6175045,0.53115916,0.56805795,0.1848297,0.22803064,0.0766806,0.66347605,-0.06820029,0.3685309,0.7231528,0.2826397,0.49696732,0.36404616,0.5441869,0.08110476,-0.06046352,0.10658045,-0.015125884,Doctor
0.6424997,0.11074366,0.6112466,0.53115916,0.7208667,0.2771848,0.18982832,0.0766806,0.66347605,-0.269858,0.4005885,0.7231528,0.38304052,0.58599097,0.24344236,0.5441869,0.18441463,0.069295384,0.041640088,-0.015125884,Doctor
0.538383,0.43346676,0.5081695,0.5776695,-0.09545166,-0.013277101,0.07182027,0.29256713,0.81923085,0.07952398,0.1837568,0.916154,0.27617082,0.5154124,0.05783549,0.501974,-0.1755512,-0.11766223,-0.115914345,-0.014201649,Doctor
0.45654443,0.45892605,0.24757595,0.5698917,0.02963302,-0.024655664,-0.32352945,0.27584568,0.8752712,0.21982405,0.23834184,0.916154,0.30613577,0.49385443,-0.054396413,0.47518313,-0.19580731,-0.16809875,-0.20073989,-0.030864028,Doctor
0.6227443,0.62940294,0.485543,0.5698917,0.39467713,0.027268551,-0.2769862,0.27584568,0.99645543,0.32176515,0.21376003,0.916154,0.3406793,0.4748954,0.16183996,0.47518313,-0.06230835,-0.147385,-0.08520145,-0.030864028,Doctor
0.8648581,0.6522791,0.63852763,0.5932798,0.49189618,-0.030951701,-0.12840366,0.23651376,0.8100081,0.35621625,0.35838887,0.87257034,0.3366179,0.38671398,0.30786425,0.4197034,-0.00019986785,-0.21737552,0.18367006,-0.09007636,Doctor
0.89877254,0.5481979,0.6728067,0.6962771,0.5509304,-0.1429025,0.10482523,0.47988072,0.7918522,0.34390664,0.39651927,0.7553002,0.3621579,0.29810777,0.4479021,0.6827097,0.088369265,-0.20925471,0.40232664,0.5117582,Doctor
0.72360057,0.17751728,0.5089861,0.48366386,0.3385647,-0.2923478,0.2546242,0.26658893,0.49579772,0.21493533,0.39651927,0.76110005,0.3540542,0.19341828,0.4296039,0.6218582,0.01393782,-0.20448144,0.40097028,0.491848,Doctor
0.6658421,0.076223485,0.4379202,0.44316736,0.2553875,-0.34243664,0.22190881,0.23491874,0.7802082,0.08906698,0.24773353,0.78883016,0.41579103,0.2051872,0.38706386,0.614225,-0.045356117,-0.14569522,0.3520676,0.4338724,Doctor
0.6831427,0.089572474,0.2846006,0.12839973,0.22531986,-0.3647052,0.058941424,-0.022726506,0.9780968,0.16453697,0.18819727,0.49039435,0.3938618,0.2495006,0.29245898,0.5442647,-0.11550364,-0.11118949,0.20842987,0.32070976,Doctor
0.6177541,0.16347998,0.3059137,0.21566913,0.24413128,-0.36063084,-0.1214884,0.079862766,0.9858967,0.16303557,0.18604511,0.43782544,0.37875092,0.22130927,0.3163841,0.5702,-0.06484599,-0.1996579,0.16319506,0.16900541,Doctor
0.39860794,0.17605604,0.2337291,0.21566913,0.4223647,-0.16152559,-0.13048987,0.079862766,0.98588216,-0.0817156,0.11092596,0.43782544,0.26720655,0.22073348,0.28849187,0.5702,-0.04053217,-0.25825968,0.09837542,0.16900541,Doctor
0.43537775,0.2748565,0.25322923,0.7346164,0.34261724,-0.10841451,-0.20825174,0.26486075,0.61583287,-0.18716381,0.14706741,0.61675453,0.20648359,0.16890974,0.19591118,0.49568737,-0.14065638,-0.30019903,-0.021286631,0.074996054,Doctor
0.70452094,0.25537044,0.14584944,0.65232337,0.3816315,-0.047079697,-0.3251874,0.36563286,0.50799125,-0.048821226,0.13183743,0.6785807,0.32639897,0.20736516,0.13527267,0.45970803,-0.1988134,-0.14096001,-0.15688087,0.04047576,Doctor
0.7890431,0.5596064,0.42157286,0.45360726,0.12979895,0.26624078,0.26649377,0.34260738,0.47973388,0.014259661,0.36981827,0.38950533,0.39904204,0.23266996,0.14528804,0.42105302,-0.2545887,-0.15129577,-0.19468594,-0.031183988,Doctor
0.9727465,0.7050112,0.53166795,0.52109337,0.1808529,0.47039956,0.5019369,0.46560803,0.29465646,0.06172494,0.42289597,0.30538386,0.55614865,0.25940952,0.12287717,0.41008872,-0.1527573,-0.13432705,-0.18844405,-0.006931754,Doctor
0.65172774,0.69563025,0.4565716,0.52109337,0.64074033,0.46748847,0.5412435,0.46560803,0.5891855,0.058378205,0.40332413,0.30538386,0.19948585,0.21342333,0.0675451,0.41008872,0.05493603,-0.22209178,-0.10283162,-0.006931754,Doctor
0.6975688,0.35442278,0.052035637,0.5511717,0.6964154,0.2634834,0.26359922,0.46376827,0.6811895,0.07293687,0.14926293,0.3666678,0.34188455,0.23860307,0.05124407,0.49597678,0.19430499,-0.15650345,-0.14709309,0.215548,Doctor
0.7343919,0.18964782,-0.11347378,0.5511717,0.6315214,0.34067452,0.09187125,0.46376827,0.87817544,0.21477522,-0.15752041,0.3666678,0.53666854,0.5350563,0.066462584,0.49597678,0.48499742,0.33188552,-0.20175251,0.215548,Doctor
0.68923604,0.29948163,0.029331999,0.5629897,0.545155,0.37824145,0.056495756,0.4152952,0.8648396,0.20329933,-0.4402016,0.52229583,0.63760793,0.5726021,0.16634165,0.5102545,0.52151525,0.34612137,-0.32751274,0.20441876,Doctor
0.6285934,0.50274277,-0.042689424,0.5629897,0.4884146,0.30232975,-0.4977682,0.4152952,0.8156315,0.18227842,-0.12150295,0.52229583,0.6308889,0.55774605,0.03823506,0.5102545,0.4377389,0.34622616,0.11249077,0.20441876,Doctor
0.74850726,0.71499044,-0.08814711,0.5629897,0.50320816,0.06949017,-0.29652935,0.4152952,0.8331471,0.06366504,-0.00896743,0.52229583,0.42549118,0.31589934,0.07516186,0.5102545,-0.18603477,-0.19746587,0.0337238,0.20441876,Doctor
