Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Output
1.0940486,0.12084409,0.6523457,0.95799106,0.8477422,-0.13924935,0.15517783,0.611481,0.85102695,0.32607463,0.38512516,0.7380514,0.74695855,0.9798328,0.6880074,0.662427,0.319216,0.6559884,0.6917272,0.40427575,Doctor
1.1297092,0.12084409,0.6218757,0.9933887,0.85726833,-0.13924935,0.049060162,0.66323894,0.941342,0.32607463,0.27989662,0.69842535,0.7450544,0.9798328,0.76014566,0.7195304,0.40233517,0.6559884,0.7300631,0.4760503,Doctor
1.0656755,0.12084409,0.5085899,0.9621368,0.6749761,-0.13924935,0.22902592,0.6443917,1.268533,0.32607463,0.4023331,0.9421302,0.7434369,0.9798328,0.8550021,0.74392813,0.56005776,0.6559884,0.7706261,0.50463367,Doctor
1.0924299,0.12084409,0.34522164,0.96192527,0.5602647,-0.13924935,0.21490957,0.568838,1.2889267,0.32607463,0.37914544,0.9532034,0.6634533,0.9798328,0.86781824,0.68384725,0.5433507,0.6559884,0.7710388,0.56419593,Doctor
1.0641096,0.22994003,0.30460507,1.0521803,0.6836929,0.13908778,0.007974212,0.58595866,1.2627362,0.431357,0.3603217,0.95855963,0.5933761,0.79619014,0.8972991,0.6538099,0.42355344,0.6174038,0.76260656,0.50557095,Doctor
1.0188236,0.15601963,0.3117741,1.0601906,0.81509924,0.2513848,-0.17047696,0.7805304,1.2547244,0.5655625,0.1001454,0.85834455,0.58481646,0.876511,0.86088306,0.7389084,0.22861342,0.5970282,0.70043594,0.45955735,Doctor
0.8804284,0.22794858,0.2866126,0.94614816,0.9184803,0.22535232,-0.10549517,0.94723815,0.8756471,0.5755286,-0.013249592,0.8497124,0.607968,0.89497113,0.89552295,0.7159102,0.16495857,0.6222324,0.6552722,0.36116508,Doctor
0.616963,0.28180405,0.299207,0.8936331,0.8365615,0.2566588,0.08950932,0.8390002,0.59091866,0.5509091,0.0978433,0.8615024,0.6631904,0.9967154,0.79785305,0.6492145,0.11083337,0.6579072,0.5337043,0.36259446,Doctor
0.7451457,0.35661232,0.1915609,1.0614482,0.7807662,0.19527471,0.034107797,0.77731043,0.7461977,0.5242461,0.16562583,0.87191015,0.72207314,1.0300174,0.76703453,0.6364221,0.24270487,0.6988523,0.4832835,0.33924317,Doctor
1.037821,0.35661232,0.1545578,1.1861129,0.9070122,0.19527471,-0.037298042,0.82964283,0.8160918,0.5242461,0.3444386,0.8026409,0.7047128,1.0300174,0.6949243,0.6485971,0.40751764,0.6988523,0.43077534,0.4410225,Doctor
1.1132156,0.29617378,0.26219916,1.1805327,0.97542137,0.152157,-0.2148002,0.90700614,0.8997553,0.2666981,0.58969223,0.86197317,0.68507034,0.88674754,0.7373118,0.69288784,0.5461693,0.6965408,0.39446345,0.4544242,Doctor
1.1262647,0.3004748,0.32386646,1.0462192,1.0807235,0.070107386,-0.09245503,0.9440196,1.0963019,0.31756622,0.62756276,0.7923972,0.65488124,0.85102826,0.7286506,0.7337536,0.52340907,0.64774424,0.4316246,0.49448177,Doctor
1.0100673,0.47538987,0.15990897,1.0060819,1.024685,0.14344336,-0.018245826,0.9527981,1.0638965,0.43985042,0.5644528,0.81196314,0.73168635,0.8761094,0.67054826,0.73146963,0.41266972,0.5681668,0.590757,0.3480485,Doctor
1.097303,0.6395603,-0.15787233,1.0782181,1.0845445,0.24476539,-0.053689938,1.0435209,1.0894144,0.43330243,0.3007157,0.78530616,0.73705757,0.86951053,0.62694824,0.7364062,0.27740678,0.47134942,0.6687248,0.22336912,Doctor
1.091075,0.7347344,-0.29062414,1.0703484,1.0014244,0.34713855,-0.17944965,1.0192127,1.1026605,0.4513792,0.22970186,0.7408738,0.7208685,0.906181,0.6260035,0.6765069,0.2987,0.46657327,0.67821115,0.18497752,Doctor
1.0348449,0.8032783,-0.10578138,1.0026313,0.9236357,0.3750466,-0.031212144,0.9302613,1.0801882,0.42209807,0.10564481,0.87339455,0.69633216,0.93923306,0.67964995,0.670126,0.28526357,0.49713814,0.6521121,0.21593168,Doctor
1.0119188,0.89049494,-0.00039479794,0.9461776,0.72891086,0.31839803,0.13113844,0.7412066,1.0413203,0.3658789,-0.28747407,0.8588172,0.60860974,0.9911889,0.6939716,0.6278628,0.22736089,0.58403695,0.629624,0.36093736,Doctor
1.093894,0.93854874,0.14655171,0.9888356,0.7443946,0.33920464,0.34314606,0.63117486,0.9951853,0.3258946,-0.28747407,0.817167,0.59529567,1.0162377,0.7501222,0.59421474,0.25747204,0.59747344,0.62916225,0.3813677,Doctor
1.0592208,0.93854874,0.14655171,0.9491698,0.7270358,0.33920464,0.34314606,0.57190216,0.9806605,0.3258946,-0.28747407,0.7746063,0.6760785,1.0162377,0.7501222,0.6647654,0.52038676,0.59747344,0.62916225,0.4489993,Doctor
1.1472623,0.93854874,0.14655171,1.155263,0.7844793,0.33920464,0.34314606,0.5377241,1.0005606,0.3258946,-0.28747407,0.72054905,0.7123141,1.0162377,0.7501222,0.69631284,0.5874768,0.59747344,0.62916225,0.45024368,Doctor
1.1215101,0.5696662,0.71439457,1.0747912,0.78350604,0.0034039968,0.33937034,0.5168739,0.9919134,-0.020668877,-0.009851925,0.7396323,0.662977,1.0953165,0.5699026,0.6434086,0.56716573,0.65586233,0.7653135,0.44012144,Doctor
1.1474671,0.41598946,0.59438044,1.0538367,0.74605095,-0.14332005,0.20534337,0.4033825,0.84885615,0.016019462,0.18221453,0.8317346,0.572562,0.9637914,0.5083077,0.60067165,0.33207005,0.52610415,0.80174375,0.3190763,Doctor
1.0268321,0.27267802,0.52767193,0.9352172,0.52132356,-0.03700149,0.11055183,0.32399693,0.78890926,0.27212757,0.18221453,0.86516666,0.6429149,0.902269,0.6224285,0.6752202,0.22858064,0.4967826,0.7537586,0.122800075,Doctor
0.99036616,0.27278784,0.37749612,0.93129516,0.33416504,0.03515377,-0.3237283,0.3377837,0.70315826,0.23141362,0.122103706,0.86286134,0.7117819,0.8626974,0.6782615,0.73793805,0.24208423,0.47637984,0.69568795,0.09513708,Doctor
1.0356688,0.29182088,0.43649277,0.99356055,0.30712324,0.1812238,-0.4075986,0.37671146,0.64381355,0.22734384,-0.4285829,0.76296914,0.7651725,0.90883785,0.85694504,0.7807773,0.2451157,0.56922203,0.49540803,0.14990291,Doctor
0.92144984,0.30112404,0.43649277,1.0101411,0.5436831,0.20623298,-0.4075986,0.47197294,0.86207086,0.2257298,-0.4285829,0.6795229,0.69534236,0.93198985,0.85694504,0.7144808,0.21024098,0.60519856,0.49540803,0.22419114,Doctor
