Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Output
0.4215955,0.20988943,-0.07809403,0.50692356,0.48050156,0.30858827,-0.19404519,0.23728117,0.80689013,0.39333874,0.390873,0.40769675,0.7267123,1.2935228,0.966023,0.817223,0.7825092,1.5555452,1.0923125,0.91100216,Doctor
0.48553357,-0.5668798,-0.005925594,0.5197468,0.6453204,0.82556224,-0.08443786,0.45926705,0.7830025,0.8786937,0.48658052,0.56484187,0.7163711,1.3227873,0.9026339,0.8379221,0.8372043,1.25729,1.0530239,0.9088869,Doctor
0.37748802,-0.5668798,0.05681268,0.60393953,0.5675122,0.82556224,0.013936332,0.45167586,0.815973,0.8786937,0.48658052,0.62248355,0.78365755,1.3227873,0.8628376,0.9104105,0.8519569,1.25729,1.0494776,0.9003008,Doctor
0.40724236,-0.5668798,0.23848738,0.5872315,0.5550104,0.82556224,0.18359305,0.43195468,0.7780609,0.8786937,0.43336624,0.6218145,0.8546248,1.3227873,0.8891643,0.9051591,0.7910733,1.25729,1.0537881,0.94919324,Doctor
0.34302032,-0.5668798,0.31442147,0.48604006,0.3069993,0.82556224,0.20495822,0.13662949,0.76425207,0.8786937,0.4159012,0.4481046,0.8539753,1.3227873,0.90048295,0.8807733,0.7367886,1.25729,1.0646752,0.931507,Doctor
0.55107933,-0.5668798,0.025394231,0.54513836,0.67633414,0.82556224,0.025019135,0.21602617,1.0754557,0.8786937,0.22250628,0.30590874,0.8384165,1.3227873,0.9234778,0.86474055,0.766189,1.25729,0.6444648,0.9858279,Doctor
0.7497508,-0.5668798,0.026451975,0.5501679,0.97379726,0.82556224,-0.002451564,0.25621164,1.0754557,0.8786937,0.25477198,0.22507118,0.8576534,1.3227873,0.9545794,0.94687545,0.83180135,1.25729,0.67347413,0.9780697,Doctor
0.59573877,-0.101791345,0.07461474,0.57892334,0.8851166,0.17413843,-0.22778153,0.34285417,1.0754557,0.4048271,0.47580308,0.48844895,0.8546029,1.3981265,1.0478615,0.9461416,0.7137286,1.3913627,1.0445443,0.9528947,Doctor
0.32637897,-0.101791345,0.3910708,0.42424345,0.5218343,0.17413843,-0.10579518,0.39844626,0.53335124,0.4048271,0.5091853,0.5839142,0.8224262,1.3981265,1.0538348,0.89327145,0.64800626,1.3913627,1.2071947,0.86329484,Doctor
0.4375116,-0.101791345,0.34126136,0.634682,0.5764701,0.17413843,-0.12990297,0.5770377,0.53335124,0.4048271,0.5660326,0.6178322,0.80295295,1.3981265,1.0697244,0.78222275,0.68239653,1.3913627,1.1876422,0.8081569,Doctor
0.35408136,-0.31186566,0.21532302,0.66809076,0.51242423,-0.14521217,-0.033457927,0.58179265,0.52401763,0.44865143,0.4742964,0.5817629,0.79721886,1.4228438,1.0512087,0.75476044,0.73724633,1.2738658,1.0679418,0.8586377,Doctor
0.27726093,-0.32800826,-0.1937936,0.6578742,0.2632984,-0.15860409,-0.12646917,0.48801285,0.4490431,0.44865143,0.38124022,0.5556767,0.75685763,1.3961239,1.0579864,0.7435231,0.66176087,1.3161616,1.0203893,0.8845302,Doctor
0.34554443,-0.32800826,-0.18159977,0.87251735,0.24443287,-0.15860409,-0.13878143,0.39260778,0.41740128,0.44865143,0.40803528,0.44622624,0.86624277,1.3961239,1.0281913,0.7511643,0.7287269,1.3161616,1.1198432,0.94030017,Doctor
0.5173232,-0.46611747,-0.106425576,0.84154105,0.36321026,-0.21556632,-0.3838541,0.28903928,0.21439445,0.20045608,0.17061834,0.26245114,0.8902357,1.345691,0.99414194,0.748224,0.75205004,1.3836571,1.1367457,0.88894355,Doctor
0.41028365,-0.46611747,-0.14760397,0.65704805,0.26038113,-0.21556632,-0.28104016,0.24050017,0.43444017,0.20045608,0.20618074,0.30424833,0.7907938,1.345691,1.036747,0.89666325,0.7275847,1.3836571,1.0733975,0.809927,Doctor
0.2606337,-0.18318176,-0.06282451,0.36314896,0.11738846,0.07009651,-0.14747326,0.08274751,0.6074736,0.5583807,0.16686146,0.3041017,0.75543463,1.3587703,0.9993441,0.94660175,0.5914564,1.5612174,0.9744228,0.7229317,Doctor
0.47906184,-0.12302839,-0.0049669133,0.301166,0.22971939,0.043139435,-0.045054656,0.16751963,0.6074736,0.65866905,0.140029,0.3873085,0.7754693,1.3531042,1.0172416,1.0288769,0.6312475,1.51605,1.0040882,0.77438587,Doctor
0.5218912,-0.1014531,0.13235518,0.253022,0.31667566,0.0037689856,-0.19011839,0.29681313,0.57248044,0.6421956,0.05642979,0.49782476,0.83560634,1.3352654,0.94938964,0.98961455,0.7023014,1.518807,1.200588,0.9437492,Doctor
0.5761869,-0.07409224,0.07421705,0.0844587,0.27927792,-0.11626558,-0.019533493,0.25661984,0.607966,0.5206691,0.24598493,0.6119625,0.8534743,1.3670266,1.0205868,0.99752474,0.7996209,1.4435705,1.2539061,0.90458196,Doctor
0.7329971,-0.07409224,0.11338533,0.430467,0.4590824,-0.11626558,-0.016168628,0.31630704,0.91251034,0.5206691,0.25507444,0.733092,0.8986169,1.3670266,1.0118473,1.0343874,0.81213963,1.4435705,1.1697019,0.8455435,Doctor
0.77816087,-0.07409224,0.06905991,0.48855516,0.48808363,-0.11626558,0.041701447,0.28346795,0.91251034,0.5206691,0.2888733,0.71473485,0.82286936,1.3670266,1.0373207,0.9822771,0.7912615,1.4435705,0.9920673,0.7460016,Doctor
0.70690024,-0.07409224,-0.039557155,0.4973253,0.53483206,-0.11626558,-0.06545795,0.3831135,0.89794356,0.5206691,0.19387911,0.74476737,0.76763314,1.3670266,0.9710592,0.9981296,0.7044581,1.4435705,0.9262189,0.78952545,Doctor
