Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Output
0.14571024,-0.22518137,-0.09250601,0.162503,-0.18725777,-0.09325244,-0.4465271,-0.4049876,0.37604904,0.19785969,0.08052929,0.5021909,0.33868882,-0.21621136,-0.040454276,0.43846798,0.06714053,-0.54298145,-0.5560003,-0.13975246,Doctor
0.091594584,-0.0353253,-0.09031059,-0.041266844,0.04824651,-0.19865048,-0.4322554,-0.29377928,0.42356858,0.11569949,0.009668664,0.534347,0.35104063,-0.21729565,-0.059295263,0.4407436,0.016110234,-0.57619584,-0.59168607,-0.14771225,Doctor
-0.025580646,-0.026039938,-0.030885667,-0.053133808,0.02275906,-0.16117074,-0.2913291,-0.13936034,0.43318415,0.006716755,-0.053702474,0.42071187,0.35648865,-0.2197386,-0.11559718,0.4089024,-0.06798577,-0.5955409,-0.652374,-0.10870408,Doctor
0.006034794,0.0125959385,-0.22000451,0.23579137,-0.021995641,-0.17240158,-0.27893633,-0.0012548597,0.3969447,-0.08188208,0.1169822,0.5046061,0.34196097,-0.25758356,-0.1328335,0.41709998,-0.117470376,-0.60910296,-0.57159764,-0.084985755,Doctor
0.06099534,-0.24709839,-0.30843875,0.46668258,-0.33464608,-0.16147889,-0.2333189,0.08701307,0.35757533,0.18199737,0.12523915,0.49477372,0.31945658,-0.29003236,-0.13332166,0.48782948,-0.0066607934,-0.5626625,-0.47814313,0.055790342,Doctor
0.45345327,-0.36541855,-0.33309042,0.6304213,-0.14547668,-0.17866601,-0.2986799,0.16282786,0.36953568,0.18199737,0.1479693,0.5779195,0.26774856,-0.31063524,-0.1797095,0.47404143,0.0112491725,-0.534118,-0.44894654,0.03758658,Doctor
0.56475174,-0.325471,-0.26364064,0.5794432,0.03036612,-0.11061808,-0.22086594,0.24420436,0.40232873,0.18341874,0.059775416,0.5475251,0.3359949,-0.35032168,-0.15984565,0.44867018,0.016119184,-0.52973884,-0.44153345,0.050604347,Doctor
0.5659813,-0.17684945,-0.2641518,0.4982016,0.17442204,-0.10084229,-0.14195873,0.41499242,0.5233137,0.090755515,0.047139578,0.63594717,0.31118786,-0.32150373,-0.23028453,0.3397471,-0.061317734,-0.49836814,-0.44253424,-0.02139727,Doctor
0.2696231,-0.1490485,-0.5362954,0.32668543,0.13371852,-0.04867641,-0.18765873,0.30872357,0.46579227,0.085792616,0.016990148,0.6342134,0.26699024,-0.2544054,-0.233473,0.29021272,-0.016741455,-0.5181731,-0.37381545,0.07331066,Doctor
0.18371584,-0.1577356,-0.45606852,0.1810977,0.043208554,-0.13990852,-0.25727606,0.32444298,0.4760303,0.1274491,0.07241692,0.6196839,0.14911158,-0.23517066,-0.23383258,0.23650853,-0.07880753,-0.60959005,-0.41614023,0.06796058,Doctor
0.20723115,-0.009489902,-0.27500746,0.076654054,0.19480838,-0.083884686,-0.34685138,0.2425349,0.6142805,0.1457077,0.090451814,0.5846237,0.194092,-0.16716677,-0.14852785,0.21691751,-0.15495192,-0.6361138,-0.43164635,-0.034481566,Doctor
0.25497827,-0.07000691,-0.20373918,0.3007974,0.32865834,-0.12078537,0.01827274,0.3238726,0.6146057,0.1662831,0.28275007,0.59344965,0.28490514,-0.16345693,-0.12898353,0.22802699,-0.22695006,-0.57157004,-0.5185186,-0.26267925,Doctor
0.21673961,-0.18927592,-0.36663637,0.38008484,0.37808943,-0.121232964,0.0893369,0.29829735,0.6036883,0.16256635,0.27653655,0.5230692,0.35540244,-0.18153985,-0.12146073,0.27596128,-0.2141633,-0.5180732,-0.4333674,-0.3671061,Doctor
0.25830343,-0.6844914,-0.56767076,0.27347007,0.34345874,-0.16080156,0.035467014,0.13344318,0.5165267,-0.0423575,0.17119275,0.47799775,0.441245,-0.17562532,-0.13417952,0.333375,-0.21381222,-0.5906283,-0.43854576,-0.32594618,Doctor
0.34121862,-0.55461735,-0.5880466,0.04634016,0.3242692,-0.16722584,-0.24976602,0.27665332,0.47235012,-0.12032039,-0.07066775,0.52538186,0.43329072,-0.12260906,-0.110868484,0.39295575,-0.1839184,-0.6436749,-0.4011988,-0.29418874,Doctor
0.21456082,-0.5132849,-0.40413392,-0.2106109,0.30318186,-0.23792356,-0.43508384,0.29821643,0.55802995,-0.110259,-0.0993505,0.54859626,0.41549042,-0.078190185,-0.13119702,0.46150094,-0.22804299,-0.63201886,-0.47055805,-0.29303586,Doctor
0.13327754,-0.44839326,-0.2458909,0.07369847,0.16531773,-0.28427085,-0.30508438,0.3164703,0.47676215,-0.099613376,-0.08831154,0.5573524,0.28019845,-0.17083244,-0.09600813,0.42183602,-0.18299228,-0.5843502,-0.42996693,-0.31487244,Doctor
0.253509,-0.39890793,-0.11146245,0.33867747,0.1421161,-0.29047966,-0.22515407,0.1730229,0.45841986,-0.039927114,-0.13021678,0.5647724,0.17672385,-0.27454403,-0.10081441,0.36012223,-0.1684894,-0.56227213,-0.42279363,-0.40391687,Doctor
0.44826904,-0.36628595,-0.13175316,0.43324316,0.2165378,-0.17843619,-0.33134443,0.14700437,0.5812411,-0.025735645,-0.20111048,0.49090648,0.18767145,-0.20021822,-0.082236916,0.2698382,-0.08655649,-0.6346739,-0.4667905,-0.07873763,Doctor
0.5677027,-0.3333494,-0.13867547,0.4493803,0.19065377,-0.050704893,-0.54377466,0.092825264,0.5641443,-0.10340724,-0.3176873,0.42602286,0.22421141,-0.18821518,-0.14302011,0.2625163,-0.060630567,-0.6293993,-0.5132191,0.0005529091,Doctor
0.4442012,-0.25106975,-0.06255778,0.2977308,-0.011172172,-0.11612793,-0.5496135,-0.034134082,0.56293434,-0.13248233,-0.04113793,0.42284644,0.20793648,-0.17378698,-0.18383546,0.263625,-0.139245,-0.59208214,-0.43805596,0.070547394,Doctor
0.43131346,-0.20142227,0.015619289,0.18594934,-0.071109064,-0.10400437,-0.14375667,-0.14019488,0.16924192,-0.04690711,0.070297696,0.121394895,0.22375655,-0.20233765,-0.21161775,0.24341708,-0.17947698,-0.61088836,-0.40211913,-0.017288188,Doctor
