Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Output
0.6929091,0.13877515,-0.0372946,-0.07460872,0.82709193,0.31964335,-0.07674892,0.27243367,1.3616725,0.6230263,0.26197484,0.7766867,0.42665535,-0.13233978,0.20119569,0.65514284,0.44775668,-0.3975533,0.033333454,0.3135067,Doctor
0.590711,0.06485352,0.11855478,0.44499797,0.559506,-0.07266345,-0.23067868,0.32404837,1.0743454,0.046093047,0.3198948,0.8285315,0.50330025,-0.13124768,0.115662955,0.5336828,0.36655134,-0.49741668,0.008147514,0.35700423,Doctor
0.4023859,0.28172523,0.14646673,0.38471314,0.5315933,-0.077265814,0.005111091,0.3662373,1.0155523,-0.002476048,0.3455338,0.87320775,0.45177555,-0.0707086,0.177398,0.4388513,0.4973858,-0.5412381,-0.0046215192,0.45000938,Doctor
0.5543132,0.2647769,0.17317614,0.46781743,0.46824762,-0.047444053,-0.018154366,0.00909424,1.0330623,0.11540631,0.21102837,0.56491566,0.47357285,-0.079618864,0.2317234,0.40454942,0.4085879,-0.40103775,0.08688575,0.43135875,Doctor
0.40686068,0.14189589,0.21311769,0.6755916,0.35804084,-0.2771854,0.10544226,0.0968188,1.1025387,-0.11199515,0.27134326,0.7714264,0.43152466,-0.14673063,0.28156555,0.460385,0.4301541,-0.39183432,0.05662274,0.22604875,Doctor
0.3178743,0.07399208,0.13101253,0.5442956,0.31003526,-0.38584536,0.015202591,0.50411785,0.92940676,0.18938343,0.31638286,0.96783096,0.54486424,-0.06655936,0.21928303,0.48377544,0.5079269,-0.5552141,-0.1723964,0.40541723,Doctor
0.4097569,0.51256543,0.3879527,0.3760295,0.88736004,0.12262215,0.3140854,0.7187977,0.9739917,0.4752185,0.50516504,0.95933723,0.6048067,-0.0540505,0.16292533,0.5209741,0.51504594,-0.5722094,-0.06675611,0.4714414,Doctor
0.47707215,0.3383838,0.38713706,0.20248905,0.8786209,-0.011273801,0.057538472,0.5338499,0.9480505,0.37263715,0.39527756,0.7888123,0.45969576,-0.26581123,0.102078706,0.5900173,0.3286357,-0.55959445,-0.042561267,0.32083943,Doctor
0.89160955,0.11462701,0.65679276,0.67679375,0.5169215,0.07322077,0.17883809,0.4589115,0.7164759,0.31360638,0.15114687,0.7854365,0.40260598,-0.29736537,0.12344714,0.6119925,0.34273264,-0.5571278,-0.0310836,0.118311726,Doctor
1.0868815,0.26495707,0.79057735,0.4295988,0.44120878,0.0044632754,0.23546012,0.443386,0.6302869,0.15694293,0.19670308,0.273557,0.3673647,-0.31883115,0.14394102,0.44289842,0.29286233,-0.5569383,0.13080882,0.41972977,Doctor
