Group_1,Group_2,Doctor_Group_1,MoveColumn_Group_2,T-Statistic,P-Value,Significant Difference
Doctor,Move,Delta_AF7,Delta_AF7,-47.609842386818656,0.0,Yes
Doctor,Move,Delta_AF8,Delta_AF8,-37.75946045355148,1.4628166612290077e-292,Yes
Doctor,Move,Delta_TP10,Delta_TP10,-6.85328359006317,7.625139982976148e-12,Yes
Doctor,Move,Theta_TP9,Theta_TP9,11.434200912040671,4.262319757138742e-30,Yes
Doctor,Move,Theta_AF7,Theta_AF7,-28.546002830989348,1.2257408832499715e-172,Yes
Doctor,Move,Theta_AF8,Theta_AF8,-38.49666471775669,2.7823253620965523e-303,Yes
Doctor,Move,Theta_TP10,Theta_TP10,7.067780681982485,1.6750205980038082e-12,Yes
Doctor,Move,Alpha_TP9,Alpha_TP9,8.230147927564374,2.092984377780409e-16,Yes
Doctor,Move,Alpha_AF7,Alpha_AF7,-11.494222475463815,2.149392731548748e-30,Yes
Doctor,Move,Alpha_AF8,Alpha_AF8,-30.921679244256786,6.022561855005615e-201,Yes
Doctor,Move,Alpha_TP10,Alpha_TP10,7.034200672914126,2.1298240142446364e-12,Yes
Doctor,Move,Beta_TP9,Beta_TP9,-5.064149610585105,4.1724140748988205e-07,Yes
Doctor,Move,Beta_AF7,Beta_AF7,14.87086333229952,1.6362370592168648e-49,Yes
Doctor,Move,Beta_AF8,Beta_AF8,-0.4266089066422023,0.6696730166227439,No
Doctor,Move,Beta_TP10,Beta_TP10,-7.1516354701844405,9.150352019681298e-13,Yes
Doctor,Move,Gamma_TP9,Gamma_TP9,-3.0163358420428863,0.002564663929390498,Yes
Doctor,Move,Gamma_AF7,Gamma_AF7,12.438738415449734,2.863643866515438e-35,Yes
Doctor,Move,Gamma_AF8,Gamma_AF8,4.6021313271736535,4.231269566845479e-06,Yes
Doctor,Move,Gamma_TP10,Gamma_TP10,-8.607141507910335,8.568745196487942e-18,Yes
