Group_1,Group_2,Doctor_Group_1,NoColumn_Group_2,T-Statistic,P-Value,Significant Difference
Doctor,No,Delta_AF7,Delta_AF7,-33.96347495267013,1.4009126313576734e-238,Yes
Doctor,No,Delta_AF8,Delta_AF8,-30.446937666071374,2.942163728794456e-194,Yes
Doctor,No,Delta_TP10,Delta_TP10,-10.124731957038184,5.6965595540448434e-24,Yes
Doctor,No,Theta_TP9,Theta_TP9,-9.065716818203994,1.486709058832216e-19,Yes
Doctor,No,Theta_AF7,Theta_AF7,-20.324577903392925,6.5863826838190125e-90,Yes
Doctor,No,Theta_AF8,Theta_AF8,-37.196500683938744,1.2575214175414923e-282,Yes
Doctor,No,Theta_TP10,Theta_TP10,4.313720724249135,1.6217231262911027e-05,Yes
Doctor,No,Alpha_TP9,Alpha_TP9,-4.551938447163371,5.382244105453378e-06,Yes
Doctor,No,Alpha_AF7,Alpha_AF7,-0.8444385913674425,0.3984458829175639,No
Doctor,No,Alpha_AF8,Alpha_AF8,-28.794215229581596,8.574252650186623e-175,Yes
Doctor,No,Alpha_TP10,Alpha_TP10,5.4339143060748025,5.651079437346207e-08,Yes
Doctor,No,Beta_TP9,Beta_TP9,-15.160461509976319,2.6104604762049487e-51,Yes
Doctor,No,Beta_AF7,Beta_AF7,12.43715731207758,3.109899660103784e-35,Yes
Doctor,No,Beta_AF8,Beta_AF8,-4.750226067792984,2.0620202176542994e-06,Yes
Doctor,No,Beta_TP10,Beta_TP10,-3.899497249837093,9.706419665624931e-05,Yes
Doctor,No,Gamma_TP9,Gamma_TP9,-7.6093903781938845,3.0192022324234325e-14,Yes
Doctor,No,Gamma_AF7,Gamma_AF7,10.697157093351201,1.4921498410029765e-26,Yes
Doctor,No,Gamma_AF8,Gamma_AF8,3.2351355159103234,0.0012200609405012108,Yes
Doctor,No,Gamma_TP10,Gamma_TP10,0.5781689557515017,0.563163923777943,No
