Group_1,Group_2,Doctor_Group_1,SilentColumn_Group_2,T-Statistic,P-Value,Significant Difference
Doctor,Silent,Delta_AF7,Delta_AF7,-45.103584900044986,0.0,Yes
Doctor,Silent,Delta_AF8,Delta_AF8,-25.176417846936488,9.7984993292129e-136,Yes
Doctor,Silent,Delta_TP10,Delta_TP10,10.685511390812035,1.6444132512267108e-26,Yes
Doctor,Silent,Theta_TP9,Theta_TP9,7.55528829128814,4.538913203826416e-14,Yes
Doctor,Silent,Theta_AF7,Theta_AF7,-25.57959176695745,6.391973948674227e-140,Yes
Doctor,Silent,Theta_AF8,Theta_AF8,-17.935900543107554,7.579903841359846e-71,Yes
Doctor,Silent,Theta_TP10,Theta_TP10,9.84705413412955,8.921539614714369e-23,Yes
Doctor,Silent,Alpha_TP9,Alpha_TP9,-37.36663037243629,1.7313095851680486e-286,Yes
Doctor,Silent,Alpha_AF7,Alpha_AF7,-11.62949707562164,4.58592271449416e-31,Yes
Doctor,Silent,Alpha_AF8,Alpha_AF8,-18.91898410649516,1.7541577701592224e-78,Yes
Doctor,Silent,Alpha_TP10,Alpha_TP10,-43.174610802114174,0.0,Yes
Doctor,Silent,Beta_TP9,Beta_TP9,41.58332270612309,0.0,Yes
Doctor,Silent,Beta_AF7,Beta_AF7,39.82893910715186,0.0,Yes
Doctor,Silent,Beta_AF8,Beta_AF8,45.42149882137095,0.0,Yes
Doctor,Silent,Beta_TP10,Beta_TP10,49.310259944130536,0.0,Yes
Doctor,Silent,Gamma_TP9,Gamma_TP9,58.680956901577005,0.0,Yes
Doctor,Silent,Gamma_AF7,Gamma_AF7,41.748124673868084,0.0,Yes
Doctor,Silent,Gamma_AF8,Gamma_AF8,58.37149352364598,0.0,Yes
Doctor,Silent,Gamma_TP10,Gamma_TP10,56.1637468402462,0.0,Yes
