Group_1,Group_2,Move_Group_1,PainColumn_Group_2,T-Statistic,P-Value,Significant Difference
Move,Pain,Delta_AF7,Delta_AF7,29.01683349232441,1.0068440824769066e-178,Yes
Move,Pain,Delta_AF8,Delta_AF8,23.42499300662589,1.3838534527729303e-118,Yes
Move,Pain,Delta_TP10,Delta_TP10,4.887716413494864,1.0338929490799628e-06,Yes
Move,Pain,Theta_TP9,Theta_TP9,0.8252838403457882,0.40922757827363554,No
Move,Pain,Theta_AF7,Theta_AF7,36.781183671522456,4.1782133111817112e-280,Yes
Move,Pain,Theta_AF8,Theta_AF8,21.01561981676247,3.002341756509039e-96,Yes
Move,Pain,Theta_TP10,Theta_TP10,9.48186331950923,2.9863584442599596e-21,Yes
Move,Pain,Alpha_TP9,Alpha_TP9,-3.956668634558258,7.645867476936636e-05,Yes
Move,Pain,Alpha_AF7,Alpha_AF7,29.455365382271257,6.51607704900936e-184,Yes
Move,Pain,Alpha_AF8,Alpha_AF8,-0.9012194282997981,0.36749053123068054,No
Move,Pain,Alpha_TP10,Alpha_TP10,0.19650520026098978,0.8442182342195126,No
Move,Pain,Beta_TP9,Beta_TP9,-7.482125630955334,7.845612598730748e-14,Yes
Move,Pain,Beta_AF7,Beta_AF7,-2.951791349561476,0.003165741877483224,Yes
Move,Pain,Beta_AF8,Beta_AF8,-20.176365761597413,5.4232268303643794e-89,Yes
Move,Pain,Beta_TP10,Beta_TP10,-2.727800981018606,0.006385481229789609,Yes
Move,Pain,Gamma_TP9,Gamma_TP9,-5.770142619357042,8.12479920052361e-09,Yes
Move,Pain,Gamma_AF7,Gamma_AF7,-6.2392225462966,4.55201517252314e-10,Yes
Move,Pain,Gamma_AF8,Gamma_AF8,-19.910447188958525,9.471793399336025e-87,Yes
Move,Pain,Gamma_TP10,Gamma_TP10,-0.27131778657442657,0.7861514962640872,No
