Group_1,Group_2,Move_Group_1,WaterColumn_Group_2,T-Statistic,P-Value,Significant Difference
Move,Water,Delta_AF7,Delta_AF7,28.002876939223942,5.3396325015168153e-166,Yes
Move,Water,Delta_AF8,Delta_AF8,36.62988493761555,3.0233715978977e-275,Yes
Move,Water,Delta_TP10,Delta_TP10,4.315714191627577,1.6066627936102456e-05,Yes
Move,Water,Theta_TP9,Theta_TP9,-10.481281317995288,1.4421473279094198e-25,Yes
Move,Water,Theta_AF7,Theta_AF7,26.9576596118959,2.067489468062676e-154,Yes
Move,Water,Theta_AF8,Theta_AF8,29.24696192399459,2.8160173923453617e-180,Yes
Move,Water,Theta_TP10,Theta_TP10,-3.107975263658851,0.0018891867713264978,Yes
Move,Water,Alpha_TP9,Alpha_TP9,-4.773125577445937,1.8404070848779764e-06,Yes
Move,Water,Alpha_AF7,Alpha_AF7,24.162723195145123,2.6427560973707267e-125,Yes
Move,Water,Alpha_AF8,Alpha_AF8,21.244389274724877,6.19615186544631e-98,Yes
Move,Water,Alpha_TP10,Alpha_TP10,-2.988013991654519,0.0028149984342432477,Yes
Move,Water,Beta_TP9,Beta_TP9,-9.298351164512695,1.735253420792253e-20,Yes
Move,Water,Beta_AF7,Beta_AF7,3.7990250146251077,0.0001461541212876487,Yes
Move,Water,Beta_AF8,Beta_AF8,-0.1393181022357915,0.8892016790622892,No
Move,Water,Beta_TP10,Beta_TP10,-0.2209967426478513,0.8250996221992061,No
Move,Water,Gamma_TP9,Gamma_TP9,-13.845102977937897,3.5029585253106386e-43,Yes
Move,Water,Gamma_AF7,Gamma_AF7,0.5586148317173265,0.5764375139997613,No
Move,Water,Gamma_AF8,Gamma_AF8,-3.430894962959531,0.0006041018621932677,Yes
Move,Water,Gamma_TP10,Gamma_TP10,4.469523347551598,7.928378888309862e-06,Yes
