Group_1,Group_2,Move_Group_1,YesColumn_Group_2,T-Statistic,P-Value,Significant Difference
Move,Yes,Delta_AF7,Delta_AF7,12.352399428411385,9.253223356715196e-35,Yes
Move,Yes,Delta_AF8,Delta_AF8,9.157925079332221,6.501150994470562e-20,Yes
Move,Yes,Delta_TP10,Delta_TP10,0.19403399514623315,0.846153803972715,No
Move,Yes,Theta_TP9,Theta_TP9,-9.11523079532154,9.610591492245406e-20,Yes
Move,Yes,Theta_AF7,Theta_AF7,8.38330548848514,5.952164845624177e-17,Yes
Move,Yes,Theta_AF8,Theta_AF8,0.20173062836386196,0.8401320441475757,No
Move,Yes,Theta_TP10,Theta_TP10,0.6226294492198288,0.5335444105787874,No
Move,Yes,Alpha_TP9,Alpha_TP9,-6.67017598733184,2.7111968898256778e-11,Yes
Move,Yes,Alpha_AF7,Alpha_AF7,14.188122670268985,3.46476098524829e-45,Yes
Move,Yes,Alpha_AF8,Alpha_AF8,-1.9639956525508864,0.049562461233513766,Yes
Move,Yes,Alpha_TP10,Alpha_TP10,-0.2615493029648494,0.7936751396547062,No
Move,Yes,Beta_TP9,Beta_TP9,-12.338405111830761,1.0977589169949463e-34,Yes
Move,Yes,Beta_AF7,Beta_AF7,-1.9233085167646267,0.05447398855273872,No
Move,Yes,Beta_AF8,Beta_AF8,-6.593408923725781,4.549281645534473e-11,Yes
Move,Yes,Beta_TP10,Beta_TP10,0.2595638905561206,0.7952063487773751,No
Move,Yes,Gamma_TP9,Gamma_TP9,-9.18647551900647,5.000859282576972e-20,Yes
Move,Yes,Gamma_AF7,Gamma_AF7,-0.546948489046891,0.5844281819683022,No
Move,Yes,Gamma_AF8,Gamma_AF8,-6.11782085111056,9.89682417012929e-10,Yes
Move,Yes,Gamma_TP10,Gamma_TP10,6.829448198646123,9.097458209289328e-12,Yes
