Group_1,Group_2,Pain_Group_1,ToiletColumn_Group_2,T-Statistic,P-Value,Significant Difference
Pain,Toilet,Delta_AF7,Delta_AF7,-14.274418427516032,7.479239003433935e-46,Yes
Pain,Toilet,Delta_AF8,Delta_AF8,-4.058395253842237,4.9723597544513244e-05,Yes
Pain,Toilet,Delta_TP10,Delta_TP10,-17.514951655094617,7.638907003875321e-68,Yes
Pain,Toilet,Theta_TP9,Theta_TP9,-8.699555064237058,3.763045371610874e-18,Yes
Pain,Toilet,Theta_AF7,Theta_AF7,-34.80848870856338,5.0625435332115857e-253,Yes
Pain,Toilet,Theta_AF8,Theta_AF8,-19.46323833796998,4.247200570323221e-83,Yes
Pain,Toilet,Theta_TP10,Theta_TP10,-33.04351562218825,2.865175955166406e-229,Yes
Pain,Toilet,Alpha_TP9,Alpha_TP9,9.82234053725975,1.0980891718453682e-22,Yes
Pain,Toilet,Alpha_AF7,Alpha_AF7,-25.193517491873806,1.580864292836361e-136,Yes
Pain,Toilet,Alpha_AF8,Alpha_AF8,-1.5812219238349663,0.11385360215782128,No
Pain,Toilet,Alpha_TP10,Alpha_TP10,-11.069579851528443,2.414932730297761e-28,Yes
Pain,Toilet,Beta_TP9,Beta_TP9,8.148299432119565,4.054694705024802e-16,Yes
Pain,Toilet,Beta_AF7,Beta_AF7,4.515084380778815,6.3893244654707226e-06,Yes
Pain,Toilet,Beta_AF8,Beta_AF8,18.82039912726234,6.732421007145548e-78,Yes
Pain,Toilet,Beta_TP10,Beta_TP10,5.765134982673948,8.359828371048616e-09,Yes
Pain,Toilet,Gamma_TP9,Gamma_TP9,6.521327858555989,7.247780596248416e-11,Yes
Pain,Toilet,Gamma_AF7,Gamma_AF7,8.55868463327231,1.2796208544168656e-17,Yes
Pain,Toilet,Gamma_AF8,Gamma_AF8,19.92281922355517,6.464662018071612e-87,Yes
Pain,Toilet,Gamma_TP10,Gamma_TP10,9.215315511764004,3.615729240853831e-20,Yes
