Group_1,Group_2,Pain_Group_1,YesColumn_Group_2,T-Statistic,P-Value,Significant Difference
Pain,Yes,Delta_AF7,Delta_AF7,-12.594020637697726,4.136150973101185e-36,Yes
Pain,Yes,Delta_AF8,Delta_AF8,-12.184408610907186,6.352677117345825e-34,Yes
Pain,Yes,Delta_TP10,Delta_TP10,-4.301125071572192,1.7145979513695302e-05,Yes
Pain,Yes,Theta_TP9,Theta_TP9,-10.60990855133352,3.6283137591966176e-26,Yes
Pain,Yes,Theta_AF7,Theta_AF7,-25.639694458770762,1.041955923959583e-140,Yes
Pain,Yes,Theta_AF8,Theta_AF8,-19.161488741395598,1.7823365786444086e-80,Yes
Pain,Yes,Theta_TP10,Theta_TP10,-8.494385301796823,2.2569694478409723e-17,Yes
Pain,Yes,Alpha_TP9,Alpha_TP9,-3.7469073300928506,0.00017998082523718373,Yes
Pain,Yes,Alpha_AF7,Alpha_AF7,-11.714432170067402,1.682795941726216e-31,Yes
Pain,Yes,Alpha_AF8,Alpha_AF8,-1.0771061376173279,0.2814574355116493,No
Pain,Yes,Alpha_TP10,Alpha_TP10,-0.4902388323368416,0.6239750815532147,No
Pain,Yes,Beta_TP9,Beta_TP9,-5.668299408917182,1.4800115686900135e-08,Yes
Pain,Yes,Beta_AF7,Beta_AF7,0.5097704754835387,0.6102229164696136,No
Pain,Yes,Beta_AF8,Beta_AF8,11.988169074228743,6.696349966929232e-33,Yes
Pain,Yes,Beta_TP10,Beta_TP10,2.5010173500454327,0.012398722878260137,Yes
Pain,Yes,Gamma_TP9,Gamma_TP9,-3.3731119981744238,0.0007459059960663014,Yes
Pain,Yes,Gamma_AF7,Gamma_AF7,5.179652192269842,2.2639342088140445e-07,Yes
Pain,Yes,Gamma_AF8,Gamma_AF8,12.244625885719232,3.0611551734581006e-34,Yes
Pain,Yes,Gamma_TP10,Gamma_TP10,6.092527753422178,1.1501390958716795e-09,Yes
