Group_1,Group_2,Silent_Group_1,WaterColumn_Group_2,T-Statistic,P-Value,Significant Difference
Silent,Water,Delta_AF7,Delta_AF7,24.805732715303332,1.1927554003970645e-131,Yes
Silent,Water,Delta_AF8,Delta_AF8,25.88147977416654,9.402650623867546e-143,Yes
Silent,Water,Delta_TP10,Delta_TP10,-11.74241585824155,1.2807641241786045e-31,Yes
Silent,Water,Theta_TP9,Theta_TP9,-6.707276419247861,2.0965994402023113e-11,Yes
Silent,Water,Theta_AF7,Theta_AF7,24.194241759514266,1.600518602710094e-125,Yes
Silent,Water,Theta_AF8,Theta_AF8,8.56160806380663,1.2871427153787837e-17,Yes
Silent,Water,Theta_TP10,Theta_TP10,-5.451708843643648,5.114499981498158e-08,Yes
Silent,Water,Alpha_TP9,Alpha_TP9,40.30324444405123,0.0,Yes
Silent,Water,Alpha_AF7,Alpha_AF7,22.856890433617767,1.3626223712862678e-112,Yes
Silent,Water,Alpha_AF8,Alpha_AF8,10.570855562442292,5.679408300767152e-26,Yes
Silent,Water,Alpha_TP10,Alpha_TP10,47.88713948664378,0.0,Yes
Silent,Water,Beta_TP9,Beta_TP9,-42.153899195855864,0.0,Yes
Silent,Water,Beta_AF7,Beta_AF7,-20.164437331723704,1.445556327879576e-88,Yes
Silent,Water,Beta_AF8,Beta_AF8,-34.40514997406896,1.684896609999106e-244,Yes
Silent,Water,Beta_TP10,Beta_TP10,-35.978835649441265,8.849843313363281e-266,Yes
Silent,Water,Gamma_TP9,Gamma_TP9,-64.07476947273615,0.0,Yes
Silent,Water,Gamma_AF7,Gamma_AF7,-27.55400853544707,8.051569792554825e-161,Yes
Silent,Water,Gamma_AF8,Gamma_AF8,-43.44017120106497,0.0,Yes
Silent,Water,Gamma_TP10,Gamma_TP10,-42.483888026925406,0.0,Yes
