Group_1,Group_2,Silent_Group_1,YesColumn_Group_2,T-Statistic,P-Value,Significant Difference
Silent,Yes,Delta_AF7,Delta_AF7,9.027161606085693,2.1529756791316773e-19,Yes
Silent,Yes,Delta_AF8,Delta_AF8,-3.614540911076623,0.00030263485229549246,Yes
Silent,Yes,Delta_TP10,Delta_TP10,-15.53316021919262,1.142563861432416e-53,Yes
Silent,Yes,Theta_TP9,Theta_TP9,-5.803574072187611,6.726411200022576e-09,Yes
Silent,Yes,Theta_AF7,Theta_AF7,4.713492328294684,2.474121936397719e-06,Yes
Silent,Yes,Theta_AF8,Theta_AF8,-18.523293433923225,4.096073637255553e-75,Yes
Silent,Yes,Theta_TP10,Theta_TP10,-1.3117125017594955,0.18965288609634742,No
Silent,Yes,Alpha_TP9,Alpha_TP9,34.470073139096314,1.0517096975937451e-243,Yes
Silent,Yes,Alpha_AF7,Alpha_AF7,13.797331220690317,7.711577852188822e-43,Yes
Silent,Yes,Alpha_AF8,Alpha_AF8,-10.185210788450986,3.187875865197139e-24,Yes
Silent,Yes,Alpha_TP10,Alpha_TP10,47.46118370742809,0.0,Yes
Silent,Yes,Beta_TP9,Beta_TP9,-52.41844938415558,0.0,Yes
Silent,Yes,Beta_AF7,Beta_AF7,-28.29386887413674,2.520573042064608e-168,Yes
Silent,Yes,Beta_AF8,Beta_AF8,-44.1538703113477,0.0,Yes
Silent,Yes,Beta_TP10,Beta_TP10,-41.96212292272392,0.0,Yes
Silent,Yes,Gamma_TP9,Gamma_TP9,-67.58791950721151,0.0,Yes
Silent,Yes,Gamma_AF7,Gamma_AF7,-31.548322735778726,1.377345145276022e-206,Yes
Silent,Yes,Gamma_AF8,Gamma_AF8,-49.96311212646688,0.0,Yes
Silent,Yes,Gamma_TP10,Gamma_TP10,-47.94093515953214,0.0,Yes
