Group_1,Group_2,Toilet_Group_1,WaterColumn_Group_2,T-Statistic,P-Value,Significant Difference
Toilet,Water,Delta_AF7,Delta_AF7,14.518024619404919,2.749176422290553e-47,Yes
Toilet,Water,Delta_AF8,Delta_AF8,20.156865453893438,1.2211185407931142e-88,Yes
Toilet,Water,Delta_TP10,Delta_TP10,15.487338459847566,1.708319903665061e-53,Yes
Toilet,Water,Theta_TP9,Theta_TP9,-3.8349816840489264,0.0001263280165222453,Yes
Toilet,Water,Theta_AF7,Theta_AF7,24.46533940826521,1.6392010729127455e-128,Yes
Toilet,Water,Theta_AF8,Theta_AF8,30.894261527935413,1.942367356336661e-200,Yes
Toilet,Water,Theta_TP10,Theta_TP10,18.977101801154326,5.956442207271763e-79,Yes
Toilet,Water,Alpha_TP9,Alpha_TP9,-10.2657433484952,1.3235936289613902e-24,Yes
Toilet,Water,Alpha_AF7,Alpha_AF7,20.008669325545913,2.1542448416684834e-87,Yes
Toilet,Water,Alpha_AF8,Alpha_AF8,24.292693263545498,8.81026522056641e-127,Yes
Toilet,Water,Alpha_TP10,Alpha_TP10,6.784088896874764,1.2328907941008465e-11,Yes
Toilet,Water,Beta_TP9,Beta_TP9,-9.921082110090973,4.286203758226244e-23,Yes
Toilet,Water,Beta_AF7,Beta_AF7,2.6222270202427818,0.008748676521103126,Yes
Toilet,Water,Beta_AF8,Beta_AF8,1.2111532147180946,0.22586469466144274,No
Toilet,Water,Beta_TP10,Beta_TP10,-2.8761586700257116,0.0040337973464877,Yes
Toilet,Water,Gamma_TP9,Gamma_TP9,-14.535004930376052,2.156512275222214e-47,Yes
Toilet,Water,Gamma_AF7,Gamma_AF7,-1.2923723167165266,0.19625745813063172,No
Toilet,Water,Gamma_AF8,Gamma_AF8,-3.414385556266037,0.0006417442630752955,Yes
Toilet,Water,Gamma_TP10,Gamma_TP10,-3.642508835578251,0.0002713297344072548,Yes
